active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,8,-10,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,1279,3,7,0,2,2,2,0,1,1,0,0,2,2,2.5
True,2022-10-21,20,-8,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1830,8,10,3,4,1,2,0,1,5,1,0,3,2,16.8
True,2022-10-22,5,-5,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,WIN,1575,2,8,1,3,0,2,1,1,3,0,1,0,1,2.8
True,2022-10-24,6,-16,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1465,3,6,0,1,0,0,2,3,4,1,1,1,1,8.4
True,2022-10-26,18,24,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1981,7,12,4,6,0,0,2,3,4,2,0,0,3,18.3
True,2022-10-28,7,-3,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1823,3,7,1,3,0,0,1,4,3,0,0,1,2,5.5
True,2022-10-30,10,-28,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,1671,4,10,2,5,0,0,2,0,4,0,0,3,0,5.8
True,2022-11-03,15,8,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,1911,6,11,3,6,0,0,1,4,9,1,1,0,4,18.0
True,2022-11-05,9,17,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,1198,3,9,0,3,3,3,1,2,3,1,0,0,2,7.5
True,2022-11-07,2,-6,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,WIN,1483,1,5,0,1,0,0,0,0,3,1,2,1,2,1.6
True,2022-11-09,2,5,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,1295,1,5,0,1,0,0,0,1,3,1,1,1,2,1.2
True,2022-11-11,16,-8,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,2201,5,14,1,2,5,5,5,5,6,2,0,1,1,18.0
True,2022-11-13,12,12,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,1890,5,9,1,4,1,1,1,10,6,0,1,6,2,9.5
True,2022-11-16,12,0,DENVER NUGGETS,HOME,NEW YORK KNICKS,LOSS,1312,5,10,2,5,0,0,1,5,3,1,2,4,1,9.3
