active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,3,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,2100,0,3,0,2,2,2,0,4,6,2,1,1,2,6.2
True,2022-10-21,17,-10,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1967,7,14,3,6,0,0,2,2,1,2,0,2,3,11.5
True,2022-10-22,21,16,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,WIN,1915,7,13,6,10,1,1,0,5,2,0,0,2,5,13.6
True,2022-10-24,6,-15,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1825,2,6,1,3,1,1,1,1,5,1,0,1,2,6.3
True,2022-10-26,13,12,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1515,4,7,3,5,2,2,0,4,1,1,0,0,1,12.2
True,2022-10-30,9,5,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,2009,3,8,3,4,0,0,0,5,5,1,2,1,1,10.6
True,2022-11-03,11,14,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2106,4,9,3,6,0,0,0,3,1,0,1,0,2,7.8
True,2022-11-05,12,16,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,1618,5,6,2,3,0,3,0,1,3,4,0,2,3,11.8
True,2022-11-07,11,17,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,WIN,1896,5,8,1,3,0,0,0,4,3,3,0,2,1,11.3
True,2022-11-09,15,9,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,1885,5,7,3,4,2,2,1,7,2,2,0,3,0,15.3
True,2022-11-11,15,-6,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,2014,5,11,5,7,0,0,0,0,1,0,0,0,3,8.8
True,2022-11-13,10,25,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,1493,3,8,0,2,4,5,0,3,2,2,0,1,1,8.1
True,2022-11-16,13,-2,DENVER NUGGETS,HOME,NEW YORK KNICKS,LOSS,1861,5,9,2,5,1,1,1,0,2,0,0,1,4,8.2
True,2022-11-18,18,-17,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,LOSS,2013,7,13,3,5,1,1,2,2,1,0,0,1,1,13.0
True,2022-11-20,9,8,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,2283,2,11,1,5,4,4,0,4,3,1,0,4,0,2.4
True,2022-11-22,10,11,DENVER NUGGETS,HOME,DETROIT PISTONS,LOSS,1794,4,10,2,5,0,0,1,1,1,2,2,1,4,7.1
True,2022-11-23,15,12,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2466,4,10,3,8,4,6,2,5,1,0,1,2,4,9.5
True,2022-11-25,6,23,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,1850,2,4,1,2,1,2,0,0,1,1,0,0,1,4.9
True,2022-11-28,8,2,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1407,3,4,2,3,0,0,0,0,2,0,1,0,0,8.5
True,2022-11-30,5,8,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1495,2,7,1,3,0,0,0,1,2,2,1,1,1,3.9
True,2022-12-02,9,-1,DENVER NUGGETS,AWAY,ATLANTA HAWKS,LOSS,1821,4,9,1,5,0,0,1,0,0,1,0,1,1,4.6
True,2022-12-04,6,2,DENVER NUGGETS,AWAY,NEW ORLEANS PELICANS,LOSS,1831,2,8,0,4,2,2,1,0,1,1,0,2,1,1.2
True,2022-12-06,12,1,DENVER NUGGETS,HOME,DALLAS MAVERICKS,LOSS,1794,5,9,2,5,0,0,0,2,2,2,1,2,4,8.8
True,2022-12-08,7,-20,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1702,2,6,2,4,1,1,0,3,2,0,0,0,1,5.5
True,2022-12-10,15,9,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,2044,6,9,3,6,0,0,0,6,3,1,0,0,3,14.8
True,2022-12-14,11,23,DENVER NUGGETS,HOME,WASHINGTON WIZARDS,WIN,1839,4,11,0,2,3,4,1,4,3,2,1,0,1,10.8
True,2022-12-16,9,0,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,1800,3,5,1,1,2,2,0,1,0,0,0,2,3,3.8
True,2022-12-18,20,12,DENVER NUGGETS,HOME,CHARLOTTE HORNETS,WIN,1940,8,15,4,9,0,0,1,3,5,0,0,0,3,16.6
True,2022-12-20,12,17,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,2259,5,11,2,4,0,0,0,7,1,1,0,3,2,6.3
True,2022-12-23,14,5,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,2051,5,8,3,5,1,2,0,2,0,2,0,0,2,11.8
True,2022-12-25,15,16,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,2332,4,10,3,5,4,4,0,2,4,2,0,1,3,12.8
True,2022-12-27,11,16,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,WIN,1833,4,12,1,5,2,2,2,1,3,1,1,3,0,6.7
True,2022-12-28,7,6,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,1856,3,7,1,3,0,0,0,3,3,3,0,0,5,7.3
True,2022-12-30,20,7,DENVER NUGGETS,HOME,MIAMI HEAT,WIN,1813,7,7,4,4,2,2,0,2,2,0,0,2,3,16.7
True,2023-01-01,6,6,DENVER NUGGETS,HOME,BOSTON CELTICS,WIN,1785,2,7,2,3,0,0,0,3,4,1,0,1,4,4.0
True,2023-01-02,10,-11,DENVER NUGGETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1971,3,7,1,2,3,3,1,3,2,0,0,1,4,6.7
True,2023-01-05,9,31,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,1739,3,8,3,5,0,0,0,4,5,1,0,1,1,8.9
True,2023-01-06,14,15,DENVER NUGGETS,HOME,CLEVELAND CAVALIERS,WIN,1794,4,7,2,4,4,4,0,1,2,0,0,1,1,11.0
True,2023-01-09,16,18,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1839,6,14,1,5,3,3,1,2,3,1,0,1,1,11.6
True,2023-01-11,15,26,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,1607,5,7,4,5,1,1,0,3,2,2,0,0,1,16.0
True,2023-01-13,14,16,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,1853,5,9,3,5,1,2,0,2,2,2,1,0,2,13.2
True,2023-01-15,12,11,DENVER NUGGETS,HOME,ORLANDO MAGIC,WIN,2091,5,11,2,7,0,1,1,3,0,2,1,1,1,8.8
True,2023-01-17,9,16,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,1925,2,9,0,3,5,5,0,1,3,3,1,0,4,8.0
True,2023-01-18,11,18,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2090,4,6,2,2,1,2,0,1,2,3,0,1,1,11.3
True,2023-01-20,9,20,DENVER NUGGETS,HOME,INDIANA PACERS,WIN,1580,4,7,1,3,0,0,0,1,1,3,0,3,4,5.1
True,2023-01-22,10,-3,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,LOSS,2214,3,8,2,6,2,3,1,3,1,2,0,2,2,6.7
True,2023-01-24,7,-10,DENVER NUGGETS,AWAY,NEW ORLEANS PELICANS,WIN,1838,3,9,1,4,0,0,1,1,4,2,1,2,4,4.8
True,2023-01-28,8,5,DENVER NUGGETS,AWAY,PHILADELPHIA 76ERS,LOSS,2020,3,8,2,4,0,0,1,4,4,3,0,0,2,10.5
True,2023-01-31,15,16,DENVER NUGGETS,HOME,NEW ORLEANS PELICANS,WIN,2304,5,11,3,7,2,2,2,3,1,4,2,0,1,17.3
True,2023-02-02,18,16,DENVER NUGGETS,HOME,GOLDEN STATE WARRIORS,WIN,1931,8,14,1,3,1,1,1,2,2,1,1,2,3,12.6
True,2023-02-04,4,-4,DENVER NUGGETS,HOME,ATLANTA HAWKS,WIN,701,1,4,1,2,1,2,0,0,0,0,0,0,1,0.8
True,2023-02-07,11,24,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1449,4,8,1,3,2,2,0,2,1,2,0,0,0,10.3
True,2023-02-09,9,5,DENVER NUGGETS,AWAY,ORLANDO MAGIC,LOSS,2352,4,7,0,3,1,1,1,3,5,1,0,1,3,9.6
True,2023-02-11,15,11,DENVER NUGGETS,AWAY,CHARLOTTE HORNETS,WIN,1907,6,14,0,4,3,3,1,1,5,1,2,3,1,11.1
True,2023-02-13,8,-2,DENVER NUGGETS,AWAY,MIAMI HEAT,WIN,2165,3,5,2,3,0,0,1,3,6,0,2,3,1,9.5
True,2023-02-15,14,8,DENVER NUGGETS,HOME,DALLAS MAVERICKS,WIN,1900,4,7,3,6,3,3,0,5,5,3,1,3,0,16.4
True,2023-02-23,17,7,DENVER NUGGETS,AWAY,CLEVELAND CAVALIERS,WIN,2068,6,6,4,4,1,1,0,3,2,3,2,2,2,19.1
True,2023-02-25,11,-20,DENVER NUGGETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1601,4,8,0,4,3,4,0,1,1,1,1,1,2,7.5
True,2023-02-26,8,9,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,2262,2,4,1,2,3,3,1,0,0,3,0,2,5,5.7
True,2023-02-28,14,18,DENVER NUGGETS,AWAY,HOUSTON ROCKETS,WIN,1770,5,9,2,5,2,3,0,1,6,2,0,1,0,14.8
True,2023-03-03,8,14,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,1856,2,6,1,3,3,4,0,0,5,1,0,1,3,6.5
True,2023-03-06,6,8,DENVER NUGGETS,HOME,TORONTO RAPTORS,WIN,2136,3,10,0,4,0,0,0,2,4,1,0,0,2,3.8
True,2023-03-08,5,-7,DENVER NUGGETS,HOME,CHICAGO BULLS,LOSS,1863,2,7,1,4,0,0,1,1,4,3,0,0,2,6.9
True,2023-03-10,13,-5,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,LOSS,2225,4,8,3,6,2,2,1,1,5,4,1,0,0,18.2
True,2023-03-12,8,15,DENVER NUGGETS,HOME,BROOKLYN NETS,LOSS,2239,3,5,0,2,2,2,0,3,1,0,2,1,1,7.3
True,2023-03-14,3,-8,DENVER NUGGETS,AWAY,TORONTO RAPTORS,LOSS,1742,1,2,0,1,1,1,0,2,4,2,1,0,1,7.7
True,2023-03-16,20,16,DENVER NUGGETS,AWAY,DETROIT PISTONS,WIN,1783,7,15,4,7,2,3,0,1,2,3,0,0,2,15.8
True,2023-03-18,4,3,DENVER NUGGETS,AWAY,NEW YORK KNICKS,LOSS,2235,2,7,0,5,0,0,0,1,1,0,0,1,2,-0.9
True,2023-03-19,8,7,DENVER NUGGETS,AWAY,BROOKLYN NETS,WIN,2045,3,7,2,4,0,0,0,1,2,1,0,2,0,5.0
True,2023-03-22,6,6,DENVER NUGGETS,AWAY,WASHINGTON WIZARDS,WIN,1767,2,9,0,4,2,3,0,3,4,1,0,0,1,4.4
True,2023-03-25,11,15,DENVER NUGGETS,HOME,MILWAUKEE BUCKS,WIN,1687,4,8,0,0,3,5,2,6,1,1,0,1,0,10.1
True,2023-03-27,5,8,DENVER NUGGETS,HOME,PHILADELPHIA 76ERS,WIN,1902,2,8,1,4,0,0,1,0,2,1,1,0,1,3.6
True,2023-03-30,5,-17,DENVER NUGGETS,HOME,NEW ORLEANS PELICANS,LOSS,1734,1,7,0,4,3,4,1,3,2,3,0,0,2,5.3
True,2023-04-02,3,-8,DENVER NUGGETS,HOME,GOLDEN STATE WARRIORS,WIN,1259,1,6,0,3,1,1,0,4,0,3,0,3,2,-0.4
True,2023-04-04,8,-23,DENVER NUGGETS,AWAY,HOUSTON ROCKETS,LOSS,1491,3,6,1,3,1,1,0,1,0,1,1,3,1,3.6
True,2023-04-08,21,-1,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,1726,7,12,6,8,1,1,0,0,3,1,2,1,3,17.7
