active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,22,-7,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,1978,10,17,0,2,2,2,4,6,2,1,1,1,1,20.4
True,2022-10-21,10,-10,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1727,5,12,0,6,0,0,1,2,3,0,0,3,1,3.6
True,2022-10-22,11,19,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,WIN,1702,3,9,1,3,4,8,5,5,2,0,2,2,0,10.1
True,2022-10-24,26,-16,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1657,12,16,0,2,2,2,2,4,1,0,0,1,4,20.3
True,2022-10-26,6,19,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1710,2,8,0,3,2,4,3,6,5,0,2,0,1,8.8
True,2022-10-28,3,0,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1279,1,4,1,3,0,2,0,1,0,0,2,2,0,-0.5
True,2022-10-30,18,17,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,1841,7,11,3,4,1,2,1,5,0,0,2,1,3,14.1
True,2022-11-03,27,-1,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2132,10,13,3,4,4,5,2,3,3,1,0,0,0,26.9
True,2022-11-05,8,15,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,1353,4,6,0,1,0,2,2,4,2,0,0,0,1,8.2
True,2022-11-07,9,10,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,WIN,1782,3,5,0,1,3,5,2,3,5,4,1,0,1,16.0
True,2022-11-09,18,4,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,2063,5,8,1,3,7,9,4,12,6,1,1,5,2,20.1
True,2022-11-11,17,-4,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,1824,6,10,1,2,4,6,3,4,2,0,0,0,3,15.1
True,2022-11-13,13,24,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,1559,4,6,1,1,4,6,0,5,2,0,0,1,2,10.7
True,2022-11-22,17,21,DENVER NUGGETS,HOME,DETROIT PISTONS,LOSS,1715,7,10,1,2,2,5,3,4,1,1,1,3,3,13.1
True,2022-11-23,31,5,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2263,10,16,4,5,7,11,5,3,4,0,2,1,1,29.4
