active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,10,-9,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,972,3,8,1,4,3,3,0,0,3,0,1,2,3,5.2
True,2022-10-21,14,13,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1155,4,10,1,3,5,6,0,0,5,0,0,3,3,7.5
True,2022-10-22,1,-15,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,WIN,857,0,5,0,1,1,2,0,1,3,0,0,1,2,-2.3
True,2022-10-24,15,-18,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1089,5,10,4,7,1,2,0,1,3,0,0,1,1,10.6
True,2022-10-26,6,-1,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1004,2,12,1,5,1,2,0,3,5,0,1,1,0,2.1
True,2022-10-28,26,18,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1442,8,18,7,12,3,4,0,1,3,1,0,2,3,16.4
True,2022-11-05,24,8,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,1498,9,17,6,8,0,0,1,4,7,2,0,1,0,23.5
True,2022-11-07,14,-9,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,WIN,1404,5,10,3,5,1,2,0,2,1,2,0,5,3,5.7
True,2022-11-09,16,-2,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,1786,4,13,3,7,5,5,0,2,3,1,1,2,2,10.1
True,2022-11-16,21,-6,DENVER NUGGETS,HOME,NEW YORK KNICKS,LOSS,1350,7,15,5,10,2,2,0,7,2,0,0,1,3,14.6
True,2022-11-18,17,-24,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,LOSS,1608,5,16,3,11,4,4,1,1,6,1,0,3,2,10.2
True,2022-11-20,29,-12,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,2102,10,21,3,8,6,6,1,2,6,1,1,1,2,23.7
True,2022-11-22,2,-12,DENVER NUGGETS,HOME,DETROIT PISTONS,LOSS,559,1,5,0,3,0,0,0,0,0,0,0,0,0,-1.1
True,2022-12-02,16,-1,DENVER NUGGETS,AWAY,ATLANTA HAWKS,LOSS,1321,6,11,3,6,1,2,1,1,2,1,0,4,0,9.7
