active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,8,9,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,1408,3,9,1,3,1,2,0,1,4,1,0,2,0,4.6
True,2022-10-22,14,0,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,WIN,1606,4,5,3,3,3,3,0,2,5,1,0,3,2,13.4
True,2022-10-23,0,-14,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,1425,0,5,0,2,0,0,0,2,2,1,0,0,0,-0.5
True,2022-10-25,9,-19,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1800,4,17,1,6,0,0,0,3,6,0,0,3,2,0.0
True,2022-10-27,18,-17,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2234,8,13,2,4,0,0,0,2,4,1,0,0,1,16.1
True,2022-10-30,9,-8,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,1641,4,12,1,7,0,0,2,3,3,1,0,4,1,3.2
True,2022-10-31,6,0,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1802,2,11,0,6,2,2,1,1,6,0,0,1,1,2.9
True,2022-11-02,12,11,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,2000,4,11,0,4,4,4,0,0,3,1,1,0,2,8.9
True,2022-11-04,14,7,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,2228,5,11,2,4,2,2,0,3,5,0,0,2,1,10.3
True,2022-11-06,3,3,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,LOSS,1181,1,3,1,1,0,0,0,1,0,1,0,1,1,1.2
True,2022-11-07,18,-2,LOS ANGELES CLIPPERS,HOME,CLEVELAND CAVALIERS,WIN,2174,6,11,2,5,4,4,0,2,7,0,0,4,4,12.6
True,2022-11-09,14,2,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,WIN,1442,7,14,0,2,0,0,0,0,3,1,0,4,5,4.1
True,2022-11-12,6,-18,LOS ANGELES CLIPPERS,HOME,BROOKLYN NETS,LOSS,2000,2,5,2,5,0,0,1,5,6,1,0,3,2,6.9
True,2022-11-14,17,7,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1368,7,11,3,7,0,0,0,2,6,0,0,3,4,12.3
True,2022-11-15,6,6,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,LOSS,1507,3,7,0,3,0,0,0,4,2,1,0,2,0,3.9
