active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,27,-5,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,2005,12,17,1,3,2,2,2,2,6,3,0,3,4,24.5
True,2022-10-21,26,-3,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,2064,7,13,1,2,11,11,3,9,10,0,0,5,4,24.9
True,2022-10-22,19,18,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,WIN,2321,6,10,1,1,6,9,1,15,13,1,1,3,2,25.4
True,2022-10-24,9,-10,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1618,3,4,0,0,3,3,1,8,9,0,0,1,5,13.8
True,2022-10-26,31,28,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,2088,12,17,0,4,7,7,1,12,9,4,0,3,3,34.3
True,2022-10-28,12,8,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1528,3,10,0,4,6,8,3,7,6,1,1,1,1,14.1
True,2022-10-30,23,0,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,2152,8,16,1,5,6,7,4,10,6,0,2,2,0,24.0
True,2022-11-03,15,15,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2138,6,9,0,0,3,3,0,13,14,1,0,10,3,14.6
True,2022-11-05,21,20,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,1594,9,10,1,1,2,2,0,6,10,2,0,4,2,23.6
True,2022-11-07,26,15,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,WIN,2037,11,20,0,1,4,5,1,7,10,2,3,4,2,25.1
True,2022-11-09,24,11,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,1242,10,20,1,3,3,3,1,3,6,2,1,1,5,19.5
True,2022-11-11,29,-14,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,1784,12,20,2,4,3,4,3,5,3,0,0,2,4,21.5
True,2022-11-13,8,29,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,1656,4,4,0,0,0,0,0,6,14,3,0,2,0,19.4
True,2022-11-22,31,13,DENVER NUGGETS,HOME,DETROIT PISTONS,LOSS,2204,12,16,0,0,7,11,2,7,10,1,1,5,3,29.0
True,2022-11-23,39,11,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2589,11,15,1,3,16,18,3,7,9,0,0,4,5,36.6
True,2022-11-25,19,19,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,1944,7,13,0,1,5,7,2,11,6,2,1,2,3,20.3
True,2022-11-28,32,8,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1647,11,17,1,2,9,10,6,6,8,0,0,3,2,31.9
True,2022-11-30,17,10,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1653,7,9,2,3,1,1,1,8,12,1,1,4,5,20.7
True,2022-12-02,24,-8,DENVER NUGGETS,AWAY,ATLANTA HAWKS,LOSS,2104,10,15,3,6,1,4,1,9,8,1,0,2,2,23.5
True,2022-12-04,32,2,DENVER NUGGETS,AWAY,NEW ORLEANS PELICANS,LOSS,2237,13,19,1,4,5,9,4,12,9,2,1,4,4,32.1
True,2022-12-06,19,2,DENVER NUGGETS,HOME,DALLAS MAVERICKS,LOSS,2043,7,13,0,3,5,6,0,8,8,1,0,3,1,17.9
True,2022-12-08,33,-8,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2061,14,25,1,3,4,6,3,7,9,0,1,6,1,25.1
True,2022-12-10,31,10,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,2122,11,20,1,4,8,10,3,9,14,1,4,3,3,34.8
True,2022-12-14,43,28,DENVER NUGGETS,HOME,WASHINGTON WIZARDS,WIN,1983,17,20,0,2,9,10,2,12,8,5,1,8,2,42.9
True,2022-12-16,25,-14,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,2117,8,15,1,3,8,9,2,9,8,4,0,5,3,24.8
True,2022-12-18,40,20,DENVER NUGGETS,HOME,CHARLOTTE HORNETS,WIN,2381,13,26,2,4,12,17,7,20,10,2,0,5,4,38.3
True,2022-12-20,13,13,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,2225,6,12,1,1,0,1,4,9,13,2,0,4,1,18.8
True,2022-12-23,29,8,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,2143,12,21,0,0,5,8,2,6,11,2,0,2,4,27.2
True,2022-12-25,41,12,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,2665,16,25,2,4,7,9,4,11,15,0,1,3,4,41.8
True,2022-12-27,20,13,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,WIN,2213,7,10,0,0,6,6,0,9,11,1,0,0,3,26.0
True,2022-12-28,40,-1,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,1949,15,24,0,3,10,10,1,6,6,1,1,5,3,31.4
True,2022-12-30,19,14,DENVER NUGGETS,HOME,MIAMI HEAT,WIN,2177,8,15,2,3,1,1,1,11,12,1,1,3,3,21.6
True,2023-01-01,30,14,DENVER NUGGETS,HOME,BOSTON CELTICS,WIN,1922,10,13,2,2,8,8,0,12,12,1,0,0,1,37.5
True,2023-01-02,24,-9,DENVER NUGGETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1997,10,20,1,3,3,4,1,6,9,2,0,5,4,17.8
True,2023-01-05,12,18,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,1451,4,8,0,1,4,5,0,6,9,1,0,2,0,14.7
True,2023-01-06,28,18,DENVER NUGGETS,HOME,CLEVELAND CAVALIERS,WIN,2123,10,17,3,4,5,5,4,11,10,2,0,4,4,29.6
True,2023-01-09,14,10,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,2109,5,5,1,1,3,3,2,9,16,1,1,4,2,24.7
True,2023-01-11,21,17,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,1698,10,15,0,0,1,3,4,14,9,1,0,3,3,23.8
True,2023-01-15,17,16,DENVER NUGGETS,HOME,ORLANDO MAGIC,WIN,2087,8,11,1,4,0,0,0,10,14,2,1,4,3,22.8
True,2023-01-17,36,19,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,2068,13,14,1,2,9,10,2,10,10,1,1,4,2,39.3
True,2023-01-18,31,21,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1872,12,20,0,0,7,7,4,7,13,1,0,3,5,31.8
True,2023-01-24,25,-6,DENVER NUGGETS,AWAY,NEW ORLEANS PELICANS,WIN,2165,11,15,2,4,1,2,2,9,10,1,0,3,2,26.8
True,2023-01-28,24,-1,DENVER NUGGETS,AWAY,PHILADELPHIA 76ERS,LOSS,2299,8,12,2,2,6,6,1,7,9,0,2,7,2,21.5
True,2023-01-31,26,20,DENVER NUGGETS,HOME,NEW ORLEANS PELICANS,WIN,2280,10,14,1,3,5,5,1,17,15,1,1,5,2,32.4
True,2023-02-02,22,26,DENVER NUGGETS,HOME,GOLDEN STATE WARRIORS,WIN,1962,9,13,0,0,4,5,2,12,16,1,1,3,0,31.0
