active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-13,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,388,0,0,0,0,0,0,0,2,1,0,0,0,1,0.9
True,2022-10-21,9,8,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,816,4,4,0,0,1,2,3,2,0,0,1,2,1,8.4
True,2022-10-24,4,-3,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,600,2,3,0,0,0,2,0,2,1,0,0,0,1,2.8
True,2022-10-26,2,-10,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,626,1,1,0,0,0,0,0,5,0,0,1,1,1,2.5
True,2022-10-28,12,11,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1232,4,6,1,1,3,6,4,9,1,0,0,4,5,8.4
True,2022-10-30,5,-11,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,728,2,2,0,0,1,2,2,4,0,1,2,0,2,8.2
True,2022-11-05,10,5,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,997,5,6,0,0,0,0,2,6,1,0,0,1,3,9.5
True,2022-11-07,4,-9,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,WIN,843,1,2,0,0,2,2,3,5,1,0,0,2,1,4.9
True,2022-11-09,8,-1,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,1056,3,3,0,0,2,2,0,2,1,0,1,3,0,6.1
True,2022-11-11,2,-5,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,551,1,2,0,0,0,0,0,0,0,0,1,0,0,1.7
True,2022-11-13,4,-5,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,1019,2,2,0,0,0,1,1,2,2,0,1,2,1,4.0
True,2022-11-16,4,10,DENVER NUGGETS,HOME,NEW YORK KNICKS,LOSS,1560,2,4,0,0,0,2,2,6,2,0,1,1,2,4.7
True,2022-11-18,6,-6,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,LOSS,1221,3,3,0,0,0,1,4,3,2,1,1,3,2,7.7
True,2022-11-20,8,4,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,2029,4,5,0,0,0,1,2,15,1,1,0,1,2,11.5
True,2022-11-22,1,-15,DENVER NUGGETS,HOME,DETROIT PISTONS,LOSS,676,0,2,0,0,1,2,1,3,2,0,1,1,3,0.7
True,2022-11-28,8,11,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1112,4,5,0,0,0,0,2,8,1,0,0,1,2,8.8
True,2022-11-30,8,14,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1117,3,4,0,0,2,3,2,4,1,0,2,2,3,7.5
True,2022-12-02,1,0,DENVER NUGGETS,AWAY,ATLANTA HAWKS,LOSS,776,0,1,0,0,1,2,2,2,2,0,0,0,0,3.3
True,2022-12-04,5,-19,DENVER NUGGETS,AWAY,NEW ORLEANS PELICANS,LOSS,520,2,2,0,0,1,2,1,1,0,0,0,1,1,3.6
True,2022-12-08,5,9,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,819,2,2,0,0,1,2,1,5,0,0,3,0,1,7.9
True,2022-12-10,2,-5,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,758,1,1,0,0,0,0,1,4,1,0,0,1,2,2.5
True,2022-12-14,4,-12,DENVER NUGGETS,HOME,WASHINGTON WIZARDS,WIN,793,2,3,0,0,0,0,0,2,0,0,1,1,3,1.8
