active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,12,-19,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,1555,5,13,1,4,1,1,1,1,1,2,0,3,0,5.6
True,2022-10-22,16,10,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,WIN,1650,6,12,1,4,3,4,0,4,5,2,0,5,0,11.3
True,2022-10-24,8,-15,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1597,3,12,2,4,0,2,0,2,1,0,0,0,2,0.5
True,2022-10-26,13,17,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1663,6,15,1,7,0,0,0,4,6,2,0,4,1,7.9
True,2022-10-28,13,0,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1233,5,9,2,4,1,2,0,1,1,0,0,0,0,9.3
True,2022-10-30,21,13,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,1891,9,21,3,7,0,0,0,4,5,0,0,1,1,13.2
True,2022-11-03,24,2,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,1977,8,19,4,6,4,4,1,4,2,0,0,2,0,15.2
True,2022-11-05,13,17,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,1382,6,10,1,3,0,0,1,0,9,0,0,1,0,14.4
True,2022-11-07,19,10,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,WIN,1898,9,17,0,3,1,3,1,4,6,1,0,4,1,12.6
True,2022-11-09,18,-3,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,1787,6,15,1,2,5,5,3,5,4,3,0,3,0,16.3
True,2022-11-11,14,-12,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,2082,6,17,1,5,1,2,0,4,10,0,0,0,2,11.5
True,2022-11-13,23,10,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,1930,9,18,2,6,3,3,1,1,2,2,0,2,2,15.6
True,2022-11-16,21,-1,DENVER NUGGETS,HOME,NEW YORK KNICKS,LOSS,1951,7,20,3,7,4,4,0,9,6,1,1,3,1,15.0
True,2022-11-22,10,13,DENVER NUGGETS,HOME,DETROIT PISTONS,LOSS,2063,3,12,0,2,4,5,0,1,8,2,1,2,3,7.8
True,2022-11-25,21,22,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,2016,9,21,3,9,0,0,1,5,9,1,0,1,2,17.6
True,2022-11-28,31,7,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1528,11,17,4,8,5,6,0,2,5,1,1,2,3,25.7
True,2022-11-30,26,8,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1838,9,15,4,6,4,5,1,3,2,0,0,0,2,20.9
True,2022-12-02,20,-1,DENVER NUGGETS,AWAY,ATLANTA HAWKS,LOSS,1997,7,14,2,5,4,5,0,3,7,1,0,2,2,16.6
True,2022-12-04,18,-7,DENVER NUGGETS,AWAY,NEW ORLEANS PELICANS,LOSS,1958,6,17,3,8,3,4,0,4,5,0,2,3,2,10.4
True,2022-12-06,11,15,DENVER NUGGETS,HOME,DALLAS MAVERICKS,LOSS,1818,2,11,0,5,7,9,0,2,5,1,0,2,5,4.4
True,2022-12-08,21,16,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2115,8,21,3,10,2,3,2,3,8,1,0,2,0,16.0
True,2022-12-10,30,11,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,2179,13,19,1,3,3,3,1,3,5,0,0,1,2,25.2
