active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-4,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-22,4,-10,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,WIN,554,2,3,0,0,0,0,0,0,0,0,0,1,4,0.1
True,2022-10-24,4,-3,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,247,2,3,0,1,0,0,0,0,0,1,0,0,3,2.5
True,2022-10-26,0,-7,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-28,0,-3,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,120,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2022-11-03,4,4,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,329,1,3,0,0,2,2,3,2,0,0,0,0,0,5.0
True,2022-11-11,0,-1,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,122,0,1,0,1,0,0,0,1,0,1,0,1,0,-0.4
True,2022-11-13,4,-1,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,205,2,2,0,0,0,0,1,0,0,0,0,0,1,3.7
True,2022-11-16,13,2,DENVER NUGGETS,HOME,NEW YORK KNICKS,LOSS,1577,5,7,1,3,2,3,2,1,0,1,0,2,5,8.4
True,2022-11-18,4,-18,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,LOSS,1277,2,2,0,0,0,0,1,0,1,0,0,0,1,4.4
True,2022-11-20,5,6,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,945,2,4,1,1,0,0,0,0,1,0,1,1,3,2.2
True,2022-11-22,8,-23,DENVER NUGGETS,HOME,DETROIT PISTONS,LOSS,1167,4,6,0,0,0,0,3,1,0,0,0,1,1,6.4
True,2022-11-23,8,-1,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,921,3,5,0,0,2,2,2,0,0,0,0,0,3,5.9
True,2022-11-25,6,-9,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,936,2,5,0,2,2,2,1,1,0,0,0,0,1,3.9
True,2022-11-28,15,9,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1064,7,12,1,4,0,1,2,1,0,0,0,1,2,8.9
True,2022-11-30,0,-3,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,186,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.3
True,2022-12-04,0,2,DENVER NUGGETS,AWAY,NEW ORLEANS PELICANS,LOSS,123,0,1,0,1,0,0,0,1,1,0,1,0,0,1.0
True,2022-12-06,2,-3,DENVER NUGGETS,HOME,DALLAS MAVERICKS,LOSS,835,1,1,0,0,0,0,1,0,1,0,1,1,1,2.4
True,2022-12-14,2,-3,DENVER NUGGETS,HOME,WASHINGTON WIZARDS,WIN,104,0,0,0,0,2,2,1,1,0,0,0,0,0,3.0
True,2022-12-16,0,2,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,146,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2022-12-20,3,1,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,655,0,0,0,0,3,4,1,1,1,0,0,0,1,3.9
True,2022-12-23,3,5,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,737,1,1,0,0,1,2,0,1,0,0,0,1,2,0.8
True,2022-12-25,0,-9,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,515,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.2
True,2022-12-27,0,2,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,WIN,920,0,3,0,1,0,0,3,3,0,0,0,1,6,-2.5
True,2022-12-28,14,2,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,LOSS,1855,7,9,0,1,0,0,2,1,0,1,1,1,2,12.1
True,2023-01-01,2,5,DENVER NUGGETS,HOME,BOSTON CELTICS,WIN,742,1,1,0,0,0,0,0,1,0,0,1,0,1,2.3
True,2023-01-02,3,0,DENVER NUGGETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,744,1,3,0,1,1,2,2,0,0,1,0,2,2,0.5
True,2023-01-05,13,13,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,1429,5,6,0,1,3,3,2,4,2,1,1,0,5,14.5
True,2023-01-06,0,-4,DENVER NUGGETS,HOME,CLEVELAND CAVALIERS,WIN,401,0,1,0,1,0,0,0,0,0,0,0,1,1,-2.1
True,2023-01-09,6,3,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,770,3,5,0,0,0,0,2,1,0,0,2,0,3,5.6
True,2023-01-11,15,12,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,1182,6,9,1,3,2,2,0,1,0,0,1,0,1,11.7
True,2023-01-13,9,0,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,1144,3,5,0,0,3,5,6,1,0,0,1,0,1,10.7
True,2023-01-15,9,-8,DENVER NUGGETS,HOME,ORLANDO MAGIC,WIN,936,4,4,1,1,0,0,0,1,1,0,0,0,2,8.0
True,2023-01-17,7,-10,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,812,3,8,1,4,0,2,6,0,0,0,0,0,1,5.6
True,2023-01-18,7,-13,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,962,3,4,1,1,0,2,0,0,0,0,0,1,2,2.8
True,2023-01-20,7,13,DENVER NUGGETS,HOME,INDIANA PACERS,WIN,1569,2,4,1,1,2,3,2,1,1,3,1,0,5,8.7
True,2023-01-22,12,2,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,LOSS,1671,3,5,2,3,4,8,3,7,1,0,2,0,4,12.8
True,2023-01-24,4,3,DENVER NUGGETS,AWAY,NEW ORLEANS PELICANS,WIN,1453,1,5,0,3,2,2,3,4,0,0,1,0,2,4.1
True,2023-01-25,6,-2,DENVER NUGGETS,AWAY,MILWAUKEE BUCKS,LOSS,1334,2,7,1,5,1,2,1,4,1,2,1,1,0,5.8
True,2023-01-28,5,-6,DENVER NUGGETS,AWAY,PHILADELPHIA 76ERS,LOSS,581,2,3,1,1,0,0,1,1,0,1,1,0,0,6.4
True,2023-01-31,0,-9,DENVER NUGGETS,HOME,NEW ORLEANS PELICANS,WIN,209,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2023-02-02,5,-4,DENVER NUGGETS,HOME,GOLDEN STATE WARRIORS,WIN,1029,1,2,0,1,3,3,1,2,0,1,0,1,3,4.1
True,2023-02-04,4,0,DENVER NUGGETS,HOME,ATLANTA HAWKS,WIN,820,2,4,0,1,0,0,3,2,0,2,2,0,1,7.7
True,2023-02-05,10,-21,DENVER NUGGETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1434,4,5,1,2,1,2,0,1,0,0,1,2,5,4.7
True,2023-03-19,4,-7,DENVER NUGGETS,AWAY,BROOKLYN NETS,WIN,693,2,2,0,0,0,0,0,5,1,0,1,1,2,4.5
True,2023-03-22,2,-8,DENVER NUGGETS,AWAY,WASHINGTON WIZARDS,WIN,700,0,0,0,0,2,2,0,2,0,0,0,1,3,0.4
True,2023-03-25,5,3,DENVER NUGGETS,HOME,MILWAUKEE BUCKS,WIN,770,2,3,0,1,1,2,1,5,1,0,1,0,2,6.1
True,2023-03-27,6,-6,DENVER NUGGETS,HOME,PHILADELPHIA 76ERS,WIN,782,3,5,0,2,0,0,0,0,2,0,0,0,2,4.3
True,2023-03-30,2,3,DENVER NUGGETS,HOME,NEW ORLEANS PELICANS,LOSS,1013,1,2,0,1,0,0,1,5,1,0,1,1,3,2.4
True,2023-03-31,9,0,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,1393,4,8,1,3,0,0,3,2,0,1,0,1,3,6.5
True,2023-04-06,7,0,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,1024,3,5,1,2,0,0,1,1,1,0,0,2,4,2.8
True,2023-04-08,1,-10,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,720,0,3,0,2,1,2,0,3,0,0,1,1,2,-1.7
True,2023-04-09,18,19,DENVER NUGGETS,HOME,SACRAMENTO KINGS,WIN,1554,8,16,2,9,0,2,3,4,1,1,0,4,3,9.0
