active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-12,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,471,0,0,0,0,0,0,0,0,0,0,0,2,0,-2.0
True,2022-10-21,1,14,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,657,0,1,0,0,1,2,0,2,1,3,0,1,1,2.8
True,2022-10-24,3,-3,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,454,1,4,1,3,0,0,0,0,0,0,0,1,1,-0.8
True,2022-10-26,0,-8,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,162,0,2,0,1,0,0,0,1,0,0,0,0,2,-1.9
True,2022-10-30,0,-11,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-03,5,3,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,494,2,4,1,1,0,0,0,1,0,0,0,2,1,0.9
True,2022-11-05,0,0,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,289,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-11-11,3,-1,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,128,1,1,1,1,0,0,0,0,0,0,0,1,0,1.7
True,2022-11-13,3,-5,DENVER NUGGETS,AWAY,CHICAGO BULLS,WIN,303,1,3,1,1,0,0,0,0,0,0,0,0,0,1.3
True,2022-11-18,3,-4,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,LOSS,711,0,3,0,0,3,4,1,5,0,0,0,0,2,1.9
True,2022-11-20,5,-7,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,1093,2,4,1,3,0,0,0,2,3,1,1,1,0,6.4
True,2022-11-22,0,-8,DENVER NUGGETS,HOME,DETROIT PISTONS,LOSS,494,0,1,0,0,0,0,0,2,0,0,0,1,2,-1.9
True,2022-11-23,0,-5,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,WIN,1474,0,7,0,5,0,0,1,3,2,0,0,2,2,-4.7
True,2022-11-25,7,3,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,1175,2,7,1,3,2,2,1,3,0,0,0,0,3,3.3
True,2022-11-28,9,20,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1508,3,6,3,6,0,0,0,3,1,0,0,0,2,6.8
True,2022-11-30,7,9,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1230,2,6,1,4,2,2,0,2,0,1,1,0,3,4.7
True,2022-12-02,2,0,DENVER NUGGETS,AWAY,ATLANTA HAWKS,LOSS,385,1,2,0,1,0,0,0,0,2,0,0,0,1,2.0
True,2022-12-04,3,-17,DENVER NUGGETS,AWAY,NEW ORLEANS PELICANS,LOSS,768,1,2,1,1,0,0,1,0,0,0,0,0,1,2.3
True,2022-12-14,0,-3,DENVER NUGGETS,HOME,WASHINGTON WIZARDS,WIN,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-16,1,0,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,LOSS,998,0,1,0,1,1,2,1,1,2,0,0,0,3,1.1
True,2022-12-20,0,-2,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,98,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-12-27,4,4,DENVER NUGGETS,AWAY,SACRAMENTO KINGS,WIN,540,1,2,1,2,1,2,1,1,0,2,0,1,1,4.2
