active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-4,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,88,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-10-24,4,1,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,160,2,3,0,0,0,0,1,1,0,0,0,0,0,3.7
True,2022-10-26,2,-7,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,166,1,2,0,0,0,0,0,0,0,0,0,0,1,0.6
True,2022-10-28,0,-1,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,109,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
True,2022-11-18,0,1,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,LOSS,262,0,2,0,1,0,0,0,0,0,0,0,0,0,-1.4
True,2022-11-25,0,-9,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-02,0,-4,DENVER NUGGETS,HOME,GOLDEN STATE WARRIORS,WIN,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-04,2,-1,DENVER NUGGETS,HOME,ATLANTA HAWKS,WIN,128,1,2,0,0,0,0,0,0,0,0,0,1,0,0.0
True,2023-02-05,2,-10,DENVER NUGGETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,558,1,1,0,0,0,0,0,3,1,0,0,1,0,2.3
True,2023-02-07,7,-3,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,469,3,4,1,1,0,2,1,1,0,0,1,0,1,5.9
True,2023-02-11,2,0,DENVER NUGGETS,AWAY,CHARLOTTE HORNETS,WIN,69,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2023-02-15,0,-3,DENVER NUGGETS,HOME,DALLAS MAVERICKS,WIN,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-25,3,10,DENVER NUGGETS,AWAY,MEMPHIS GRIZZLIES,LOSS,255,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2023-02-28,0,1,DENVER NUGGETS,AWAY,HOUSTON ROCKETS,WIN,136,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-03-22,0,-6,DENVER NUGGETS,AWAY,WASHINGTON WIZARDS,WIN,164,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3
True,2023-03-25,8,1,DENVER NUGGETS,HOME,MILWAUKEE BUCKS,WIN,191,3,4,2,2,0,0,0,0,0,0,0,0,0,6.4
True,2023-03-30,0,0,DENVER NUGGETS,HOME,NEW ORLEANS PELICANS,LOSS,100,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.1
True,2023-03-31,5,0,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,1604,2,6,1,2,0,0,0,8,1,0,2,1,1,4.7
True,2023-04-02,8,3,DENVER NUGGETS,HOME,GOLDEN STATE WARRIORS,WIN,1228,4,6,0,0,0,0,3,2,0,0,3,0,2,9.4
True,2023-04-04,10,-7,DENVER NUGGETS,AWAY,HOUSTON ROCKETS,LOSS,1068,4,7,1,3,1,2,0,3,2,1,1,0,1,9.9
True,2023-04-06,3,-6,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,1541,1,6,0,1,1,2,0,5,2,0,0,2,4,-1.9
True,2023-04-08,6,1,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,1028,1,1,0,0,4,7,0,3,4,0,3,0,1,9.9
True,2023-04-09,13,-9,DENVER NUGGETS,HOME,SACRAMENTO KINGS,WIN,1579,4,10,0,2,5,7,2,2,0,1,1,2,1,8.1
