active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-12,4,-9,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1088,2,5,0,1,0,0,2,2,1,0,2,0,0,5.4
True,2022-11-14,16,-4,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,1734,6,11,1,2,3,3,3,2,0,1,0,2,3,11.2
True,2022-11-17,4,-11,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1351,1,5,0,1,2,2,2,6,0,0,0,2,3,0.9
True,2022-11-18,11,-9,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,1361,5,10,0,2,1,2,0,3,0,1,0,0,3,6.3
True,2022-11-20,15,-1,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,1256,5,9,0,1,5,5,2,4,0,1,1,1,5,12.0
True,2022-11-22,14,-12,DETROIT PISTONS,AWAY,DENVER NUGGETS,WIN,1332,7,8,0,0,0,0,2,1,0,0,2,1,2,12.5
True,2022-11-23,19,3,DETROIT PISTONS,AWAY,UTAH JAZZ,WIN,1249,9,10,0,0,1,1,2,4,2,2,0,0,1,21.2
True,2022-11-25,13,-9,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,1879,6,12,1,1,0,0,7,5,1,1,1,1,2,14.0
True,2022-11-27,19,2,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,1664,6,12,1,2,6,8,1,9,0,3,1,3,3,15.1
True,2022-11-29,13,-20,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,1402,5,10,3,6,0,0,2,5,2,0,0,4,2,7.5
True,2022-12-01,19,10,DETROIT PISTONS,HOME,DALLAS MAVERICKS,WIN,2054,7,10,1,2,4,6,4,9,2,1,0,1,3,19.7
True,2022-12-04,8,-12,DETROIT PISTONS,HOME,MEMPHIS GRIZZLIES,LOSS,1259,4,9,0,1,0,0,1,4,0,0,1,0,2,5.1
True,2022-12-06,4,-9,DETROIT PISTONS,AWAY,MIAMI HEAT,WIN,1154,2,6,0,0,0,0,3,1,0,2,0,0,1,4.6
True,2022-12-07,0,-15,DETROIT PISTONS,AWAY,NEW ORLEANS PELICANS,LOSS,1180,0,4,0,0,0,0,0,2,0,0,0,0,2,-3.0
True,2022-12-09,14,1,DETROIT PISTONS,AWAY,MEMPHIS GRIZZLIES,LOSS,1228,6,12,0,2,2,5,4,5,1,0,4,3,3,10.4
True,2022-12-11,10,-2,DETROIT PISTONS,HOME,LOS ANGELES LAKERS,LOSS,1458,5,7,0,1,0,0,1,3,1,0,1,0,2,9.3
True,2022-12-14,4,0,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,WIN,609,2,3,0,0,0,0,1,2,0,0,0,0,1,3.6
True,2022-12-16,13,4,DETROIT PISTONS,HOME,SACRAMENTO KINGS,LOSS,1052,6,9,0,1,1,2,3,3,1,1,0,1,1,12.0
True,2022-12-18,12,-16,DETROIT PISTONS,HOME,BROOKLYN NETS,LOSS,1154,5,8,0,0,2,2,2,2,0,0,1,0,0,11.1
True,2022-12-20,10,-8,DETROIT PISTONS,HOME,UTAH JAZZ,LOSS,1059,4,6,0,0,2,2,1,3,0,0,0,0,2,8.2
True,2022-12-21,10,-18,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1190,1,5,1,3,7,8,2,8,2,0,0,1,2,9.9
True,2022-12-23,4,-19,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,1189,2,5,0,2,0,0,2,4,0,0,1,1,1,3.2
True,2022-12-30,7,-3,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,797,3,6,1,2,0,0,1,1,0,0,1,0,2,4.9
True,2022-12-31,18,21,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1738,8,16,0,3,2,4,3,7,1,0,2,0,3,14.3
True,2023-01-02,4,-2,DETROIT PISTONS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,500,1,3,0,0,2,2,1,1,0,0,0,1,2,1.5
True,2023-02-25,21,-3,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,1655,9,19,0,2,3,8,11,7,0,0,1,1,1,18.4
True,2023-02-27,21,-1,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,LOSS,1468,10,16,0,2,1,3,4,8,1,0,0,2,3,15.7
True,2023-03-01,8,14,DETROIT PISTONS,HOME,CHICAGO BULLS,LOSS,1130,2,5,0,0,4,4,2,7,1,0,1,1,2,8.4
True,2023-03-04,20,-20,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,2045,8,12,1,2,3,6,5,8,2,1,3,2,2,21.2
True,2023-03-06,10,-3,DETROIT PISTONS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2177,5,12,0,1,0,0,4,4,1,0,2,3,3,5.5
True,2023-03-07,15,0,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,LOSS,1769,6,9,0,2,3,3,2,3,4,0,0,2,1,13.8
True,2023-03-09,6,-14,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,LOSS,1247,2,5,0,1,2,2,1,2,0,0,0,2,2,1.8
True,2023-03-11,6,-8,DETROIT PISTONS,HOME,INDIANA PACERS,LOSS,1337,3,9,0,2,0,0,2,3,1,0,0,1,2,2.1
True,2023-03-19,14,2,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,1777,6,11,0,2,2,3,2,1,4,0,1,1,4,10.9
True,2023-03-21,31,-22,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,2479,12,19,4,5,3,3,2,6,1,3,2,0,1,30.4
True,2023-03-24,14,-18,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,1797,5,10,0,2,4,4,3,6,0,0,0,3,3,8.7
True,2023-03-27,16,-4,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,LOSS,2144,6,11,1,2,3,4,2,7,2,1,0,0,0,16.2
True,2023-03-29,8,-1,DETROIT PISTONS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1368,3,5,1,2,1,1,0,3,3,0,1,0,1,9.0
True,2023-03-31,21,0,DETROIT PISTONS,AWAY,HOUSTON ROCKETS,LOSS,2067,8,13,0,2,5,6,1,2,1,0,0,2,2,13.9
True,2023-04-02,2,-4,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,518,0,4,0,1,2,2,0,1,0,0,0,0,1,-0.9
True,2023-04-07,14,6,DETROIT PISTONS,AWAY,INDIANA PACERS,WIN,1370,4,9,1,1,5,7,1,4,1,0,1,2,0,9.8
True,2023-04-09,12,-4,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,1141,5,12,2,4,0,0,0,7,0,1,0,2,2,5.9
