active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-21,0,2,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-04,3,5,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,353,1,3,1,3,0,0,0,1,0,0,0,0,0,1.6
True,2023-03-13,3,13,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,1354,1,7,1,7,0,0,0,0,1,2,0,0,1,0.8
True,2023-03-14,8,-1,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,1361,2,7,2,6,2,2,2,0,2,0,0,0,2,5.9
True,2023-03-16,0,1,DETROIT PISTONS,HOME,DENVER NUGGETS,LOSS,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-19,0,-8,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,390,0,5,0,5,0,0,0,1,0,0,0,0,1,-3.6
True,2023-03-21,0,5,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,194,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-04-02,2,-5,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,313,1,1,0,0,0,0,0,1,0,0,0,0,1,1.6
True,2023-04-07,0,5,DETROIT PISTONS,AWAY,INDIANA PACERS,WIN,366,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2023-04-09,0,-14,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,611,0,3,0,3,0,0,0,1,1,0,0,0,0,-1.1
