active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-11,17,0,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,1520,5,12,1,5,6,8,0,2,1,0,0,0,3,9.9
True,2022-11-14,15,-10,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,1014,5,7,2,3,3,5,0,2,2,1,0,1,3,12.1
True,2022-11-17,6,10,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1094,1,6,0,2,4,4,0,2,2,1,0,1,1,3.8
True,2022-11-18,23,8,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,1452,6,10,5,8,6,8,1,2,3,1,0,1,4,19.4
True,2022-11-20,16,-11,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,1474,4,13,1,5,7,8,0,3,1,1,1,1,2,9.6
True,2022-11-22,21,8,DETROIT PISTONS,AWAY,DENVER NUGGETS,WIN,1235,7,13,2,5,5,6,0,0,2,3,0,3,2,14.9
True,2022-11-23,18,13,DETROIT PISTONS,AWAY,UTAH JAZZ,WIN,1127,4,10,4,6,6,6,1,2,1,1,0,0,4,14.0
True,2022-11-25,17,6,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,1058,4,12,2,4,7,8,0,2,1,0,0,3,3,6.9
True,2022-11-27,17,-8,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,1515,7,13,1,4,2,3,1,1,0,0,0,0,3,10.1
True,2022-11-29,0,-7,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,886,0,2,0,2,0,0,0,2,5,1,0,2,2,0.9
True,2022-12-01,10,0,DETROIT PISTONS,HOME,DALLAS MAVERICKS,WIN,1188,4,11,1,6,1,2,0,6,1,2,0,0,2,7.2
True,2022-12-04,7,-4,DETROIT PISTONS,HOME,MEMPHIS GRIZZLIES,LOSS,1119,3,8,1,4,0,0,1,3,1,1,0,1,2,4.1
True,2022-12-06,18,14,DETROIT PISTONS,AWAY,MIAMI HEAT,WIN,1297,6,13,4,10,2,3,0,9,2,0,0,1,2,13.2
True,2022-12-07,14,-3,DETROIT PISTONS,AWAY,NEW ORLEANS PELICANS,LOSS,1304,4,10,3,6,3,4,0,2,1,0,0,0,2,8.7
True,2022-12-09,6,0,DETROIT PISTONS,AWAY,MEMPHIS GRIZZLIES,LOSS,1033,2,5,1,2,1,2,0,0,4,2,0,0,2,6.9
True,2022-12-11,11,2,DETROIT PISTONS,HOME,LOS ANGELES LAKERS,LOSS,1431,5,10,1,4,0,0,0,4,3,1,0,0,3,9.1
True,2022-12-14,27,13,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,WIN,1572,8,12,4,6,7,8,0,3,3,0,1,1,3,22.9
True,2022-12-16,7,7,DETROIT PISTONS,HOME,SACRAMENTO KINGS,LOSS,1444,2,4,0,0,3,5,0,3,0,0,0,4,3,-0.1
True,2022-12-18,12,-13,DETROIT PISTONS,HOME,BROOKLYN NETS,LOSS,1318,4,10,2,5,2,3,1,4,1,1,0,2,2,7.0
True,2022-12-20,10,-11,DETROIT PISTONS,HOME,UTAH JAZZ,LOSS,1045,3,5,1,3,3,4,0,1,2,0,0,1,2,7.2
True,2022-12-21,7,-6,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,717,2,5,1,3,2,2,0,0,1,1,0,0,2,5.2
True,2022-12-23,7,-15,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,1238,2,6,2,4,1,3,0,3,1,0,0,4,0,0.4
True,2022-12-26,14,9,DETROIT PISTONS,HOME,LOS ANGELES CLIPPERS,LOSS,1689,3,11,3,7,5,6,1,4,5,2,0,2,2,11.7
True,2022-12-28,32,12,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,1830,10,11,6,7,6,6,0,2,4,2,1,0,2,33.6
True,2022-12-30,19,-1,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,1305,7,9,4,4,1,1,0,1,4,0,0,2,2,15.8
