active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,19,-4,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,1904,8,15,2,4,1,1,1,2,4,3,0,2,3,15.6
True,2022-10-21,17,-5,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,1745,6,12,1,4,4,4,1,1,9,0,0,4,4,12.7
True,2022-10-22,17,-4,DETROIT PISTONS,AWAY,INDIANA PACERS,LOSS,2068,6,13,2,3,3,6,2,8,5,1,0,5,3,11.2
True,2022-10-25,11,-18,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,1730,4,10,1,3,2,4,0,2,4,2,0,0,5,8.2
True,2022-10-28,12,-12,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,1403,4,11,2,6,2,2,1,1,0,0,0,0,2,6.1
True,2022-10-30,15,16,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,WIN,1889,5,11,2,5,3,5,1,3,3,1,1,2,4,10.3
True,2022-10-31,19,-9,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,2416,8,17,0,4,3,4,2,5,1,2,0,3,3,11.3
True,2022-11-02,7,-13,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1815,3,11,1,4,0,0,0,2,1,4,0,2,0,3.8
True,2022-11-04,18,-21,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,2051,6,13,1,5,5,6,1,5,3,0,1,4,4,10.3
True,2022-11-07,15,13,DETROIT PISTONS,HOME,OKLAHOMA CITY THUNDER,WIN,2031,6,15,2,7,1,1,3,8,6,2,3,2,2,16.9
True,2022-11-09,19,-19,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,1883,6,12,2,5,5,7,3,7,6,1,0,0,0,21.6
True,2022-11-11,10,-17,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,1502,4,11,0,1,2,5,1,2,4,2,0,4,1,4.4
True,2022-11-12,26,-4,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,2050,8,15,4,6,6,6,2,2,3,0,0,4,4,17.2
True,2022-11-14,21,3,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,2056,6,16,1,5,8,10,0,4,8,1,0,4,6,12.8
True,2022-11-17,18,-3,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,2266,8,21,1,7,1,2,1,3,5,0,0,4,5,5.2
True,2022-11-18,17,-7,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,2012,5,18,1,9,6,8,1,3,5,0,1,1,2,9.6
True,2022-11-20,24,-14,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,1930,8,14,4,4,4,6,1,3,3,0,0,3,5,15.3
True,2022-11-22,7,-10,DETROIT PISTONS,AWAY,DENVER NUGGETS,WIN,1535,3,11,1,4,0,0,1,5,5,1,0,4,2,2.4
True,2022-11-23,16,0,DETROIT PISTONS,AWAY,UTAH JAZZ,WIN,1923,5,13,0,2,6,7,1,4,6,1,0,1,1,14.2
True,2022-12-01,16,3,DETROIT PISTONS,HOME,DALLAS MAVERICKS,WIN,2106,6,15,2,7,2,4,1,2,6,1,0,4,2,8.8
True,2022-12-04,10,-23,DETROIT PISTONS,HOME,MEMPHIS GRIZZLIES,LOSS,1677,2,9,1,5,5,6,0,6,3,3,0,4,2,6.2
True,2022-12-06,10,6,DETROIT PISTONS,AWAY,MIAMI HEAT,WIN,1583,3,9,1,4,3,4,1,1,3,0,0,2,3,4.4
True,2022-12-07,12,-3,DETROIT PISTONS,AWAY,NEW ORLEANS PELICANS,LOSS,1309,4,10,2,5,2,4,1,1,0,0,1,3,2,3.7
True,2022-12-09,10,-9,DETROIT PISTONS,AWAY,MEMPHIS GRIZZLIES,LOSS,1646,4,14,1,5,1,2,0,4,5,1,0,5,3,0.9
True,2022-12-11,16,-8,DETROIT PISTONS,HOME,LOS ANGELES LAKERS,LOSS,1510,6,16,1,6,3,4,1,0,2,1,1,2,2,7.8
True,2022-12-14,13,3,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,WIN,1738,5,9,0,1,3,4,1,2,4,0,0,2,3,9.2
True,2022-12-16,5,-16,DETROIT PISTONS,HOME,SACRAMENTO KINGS,LOSS,1214,2,9,1,4,0,0,1,2,5,1,0,1,6,1.9
True,2022-12-18,19,7,DETROIT PISTONS,HOME,BROOKLYN NETS,LOSS,1653,7,11,1,3,4,6,1,3,1,1,0,1,2,14.8
True,2022-12-20,30,-10,DETROIT PISTONS,HOME,UTAH JAZZ,LOSS,1970,10,14,2,2,8,11,1,3,5,1,0,5,2,23.3
True,2022-12-21,18,-5,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,2036,7,18,1,3,3,6,2,1,1,2,0,3,1,8.0
True,2022-12-23,15,-20,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,1700,5,14,1,3,4,5,0,2,4,1,0,0,5,9.2
True,2022-12-26,15,-16,DETROIT PISTONS,HOME,LOS ANGELES CLIPPERS,LOSS,1824,4,11,2,3,5,6,2,1,8,1,0,3,4,12.2
True,2022-12-28,8,-1,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,1669,1,7,0,1,6,7,1,5,4,1,1,3,4,5.2
True,2022-12-30,22,-14,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,1753,6,10,2,5,8,9,0,1,6,0,0,3,4,16.9
True,2022-12-31,1,-14,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1198,0,4,0,1,1,2,0,1,4,0,0,6,2,-5.9
True,2023-01-02,13,-31,DETROIT PISTONS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1603,3,11,1,3,6,9,0,3,2,0,0,5,5,0.6
True,2023-01-04,12,-3,DETROIT PISTONS,AWAY,GOLDEN STATE WARRIORS,WIN,1640,5,14,1,4,1,4,2,4,5,1,0,0,2,9.3
True,2023-01-06,20,-12,DETROIT PISTONS,AWAY,SAN ANTONIO SPURS,LOSS,2008,8,14,2,2,2,2,2,1,5,0,0,2,4,15.0
True,2023-01-08,10,-14,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,LOSS,1679,4,13,1,2,1,2,2,4,6,0,0,4,2,4.1
True,2023-01-10,17,-32,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1443,4,8,3,5,6,6,0,2,4,1,0,4,2,12.6
True,2023-01-11,18,8,DETROIT PISTONS,HOME,MINNESOTA TIMBERWOLVES,WIN,2418,7,11,2,3,2,4,0,4,8,3,0,2,4,18.5
True,2023-01-13,12,-3,DETROIT PISTONS,HOME,NEW ORLEANS PELICANS,LOSS,2043,4,15,0,6,4,5,1,6,6,0,0,4,4,3.8
True,2023-01-15,21,-21,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,2237,7,19,2,8,5,6,1,5,6,0,1,3,5,12.2
True,2023-01-19,16,-13,DETROIT PISTONS,HOME,CHICAGO BULLS,LOSS,1990,7,14,1,5,1,1,0,3,4,0,0,4,2,7.9
True,2023-01-23,12,-9,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,LOSS,1773,4,10,1,4,3,6,2,2,11,2,0,4,3,11.9
True,2023-01-26,16,4,DETROIT PISTONS,AWAY,BROOKLYN NETS,WIN,1907,5,12,1,4,5,5,0,3,8,2,1,3,2,15.0
True,2023-01-28,16,-7,DETROIT PISTONS,HOME,HOUSTON ROCKETS,LOSS,1663,4,9,2,4,6,8,2,5,5,1,1,6,3,11.4
True,2023-01-30,14,5,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,1267,5,8,0,2,4,7,0,2,3,0,0,2,6,7.5
True,2023-02-03,24,12,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,WIN,1762,8,11,4,4,4,4,1,2,7,0,1,1,3,24.2
True,2023-02-04,13,-15,DETROIT PISTONS,HOME,PHOENIX SUNS,LOSS,1961,5,13,2,5,1,5,0,0,6,3,0,3,4,6.9
True,2023-02-06,14,-15,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1615,5,12,1,3,3,5,1,0,5,0,0,1,0,10.0
True,2023-02-08,10,-23,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,1536,3,6,2,3,2,2,0,1,1,1,0,4,5,3.0
True,2023-02-10,17,2,DETROIT PISTONS,HOME,SAN ANTONIO SPURS,WIN,2613,3,15,0,7,11,12,2,6,8,1,0,3,5,12.1
True,2023-02-12,18,-2,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,1649,6,11,3,4,3,4,1,1,7,0,0,2,5,14.2
True,2023-02-15,17,-7,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,1589,7,13,1,5,2,4,2,3,4,1,0,3,3,11.8
True,2023-02-23,25,-13,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,1851,9,13,5,7,2,4,0,2,4,0,1,3,0,19.8
True,2023-02-25,10,-4,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,1919,3,16,0,5,4,4,1,1,10,0,1,3,5,3.7
True,2023-03-01,18,-10,DETROIT PISTONS,HOME,CHICAGO BULLS,LOSS,1888,5,9,2,4,6,9,0,4,2,1,0,4,4,10.5
True,2023-03-04,10,-18,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,1822,4,14,1,4,1,2,2,2,2,0,0,5,1,-0.6
True,2023-03-06,13,-1,DETROIT PISTONS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1858,4,14,0,7,5,5,0,5,13,1,0,1,4,13.8
True,2023-03-07,26,-7,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,LOSS,1914,9,20,3,6,5,6,2,3,12,1,0,5,5,19.9
True,2023-03-09,16,-13,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,LOSS,1910,5,17,2,7,4,4,2,1,6,0,2,7,4,4.8
True,2023-03-16,14,-10,DETROIT PISTONS,HOME,DENVER NUGGETS,LOSS,2128,4,15,2,5,4,8,1,1,6,0,0,4,3,3.5
True,2023-03-19,11,-19,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,2280,3,7,2,4,3,4,1,3,5,0,0,3,4,7.4
True,2023-03-21,17,-20,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,1819,6,19,2,9,3,4,1,3,5,0,0,1,3,8.6
True,2023-03-24,20,-13,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,2474,7,13,2,6,4,4,1,2,8,1,0,9,3,11.4
True,2023-03-27,32,1,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,LOSS,1901,9,19,3,6,11,12,1,7,8,0,0,4,4,24.7
True,2023-03-29,24,-7,DETROIT PISTONS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1862,8,18,5,8,3,3,0,2,9,0,0,5,6,14.1
True,2023-03-31,18,0,DETROIT PISTONS,AWAY,HOUSTON ROCKETS,LOSS,2098,8,20,2,9,0,0,1,2,9,2,0,4,5,10.8
True,2023-04-02,14,-11,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,1851,4,14,2,7,4,4,1,2,6,1,0,4,5,6.3
True,2023-04-04,30,-6,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,2225,11,15,4,6,4,5,0,4,7,1,0,5,3,24.4
True,2023-04-05,23,-20,DETROIT PISTONS,HOME,BROOKLYN NETS,LOSS,2554,9,22,2,6,3,3,2,3,10,0,0,5,2,14.7
True,2023-04-07,29,-6,DETROIT PISTONS,AWAY,INDIANA PACERS,WIN,2525,9,20,3,8,8,10,1,4,9,2,0,4,3,22.8
True,2023-04-09,16,-30,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,2190,7,20,2,7,0,0,1,2,3,0,0,5,6,0.8
