active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,8,-12,DETROIT PISTONS,AWAY,INDIANA PACERS,LOSS,956,3,6,2,3,0,0,0,2,0,2,0,3,3,3.4
True,2022-10-25,5,-4,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,1228,1,6,0,5,3,3,1,2,1,0,0,1,3,1.0
True,2022-10-26,12,-1,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,1424,4,7,4,6,0,0,1,1,3,1,1,0,4,11.9
True,2022-10-28,0,-5,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,911,0,3,0,3,0,0,2,0,0,0,0,0,2,-1.5
True,2022-10-30,6,11,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,WIN,1015,2,4,2,4,0,0,1,2,0,0,0,0,3,4.1
True,2022-10-31,3,12,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1003,1,2,1,2,0,0,0,1,0,0,0,0,1,1.9
True,2022-11-02,3,-8,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1002,1,4,1,4,0,0,0,3,1,0,0,1,1,0.8
True,2022-11-04,11,-20,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,1278,3,7,3,5,2,2,0,1,0,0,1,0,1,7.9
True,2022-11-07,5,-14,DETROIT PISTONS,HOME,OKLAHOMA CITY THUNDER,WIN,1240,2,6,1,3,0,0,0,5,0,1,0,0,1,3.7
True,2022-11-09,3,-7,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,1106,1,3,1,3,0,2,0,2,0,0,1,1,2,0.0
True,2022-11-11,11,-5,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,1326,3,6,3,6,2,2,2,2,1,0,2,0,2,11.3
True,2022-11-12,3,-7,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1101,1,5,0,3,1,2,2,3,0,0,1,1,3,0.3
True,2022-11-14,7,2,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,1406,1,5,1,5,4,5,1,2,2,0,0,0,0,6.2
True,2022-11-17,5,-14,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1017,2,5,0,3,1,1,0,1,0,1,0,0,1,3.2
True,2022-11-18,3,-4,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,948,1,4,1,3,0,0,1,1,1,2,0,2,4,0.7
True,2022-11-20,5,3,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,978,2,4,1,3,0,0,0,2,1,0,0,1,1,2.9
True,2022-11-22,5,-9,DETROIT PISTONS,AWAY,DENVER NUGGETS,WIN,1461,2,3,1,2,0,0,0,2,0,0,3,0,1,6.0
True,2022-11-23,7,1,DETROIT PISTONS,AWAY,UTAH JAZZ,WIN,1170,3,5,1,3,0,0,0,1,1,0,0,1,1,4.3
True,2022-11-25,7,-15,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,1808,3,7,1,4,0,0,0,1,1,1,0,0,2,4.5
True,2022-11-27,7,-7,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,1635,2,5,1,4,2,3,0,2,0,1,3,1,5,4.6
True,2022-11-29,6,-23,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,1390,2,5,2,5,0,0,0,3,1,0,0,0,0,4.9
True,2022-12-01,6,-3,DETROIT PISTONS,HOME,DALLAS MAVERICKS,WIN,412,2,2,2,2,0,0,0,0,0,0,0,1,1,4.0
True,2023-01-11,3,7,DETROIT PISTONS,HOME,MINNESOTA TIMBERWOLVES,WIN,1098,1,2,1,2,0,0,1,3,0,0,1,0,1,3.9
True,2023-01-13,2,1,DETROIT PISTONS,HOME,NEW ORLEANS PELICANS,LOSS,1275,1,4,0,3,0,0,0,3,0,0,0,0,2,-0.3
True,2023-01-15,11,-3,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,2350,4,9,3,8,0,0,3,3,3,1,1,1,0,12.1
True,2023-01-19,6,-10,DETROIT PISTONS,HOME,CHICAGO BULLS,LOSS,1328,2,4,2,2,0,0,1,1,2,0,0,0,4,4.8
True,2023-01-23,9,-4,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,LOSS,1298,2,5,2,4,3,3,0,1,1,1,0,0,2,7.5
True,2023-01-26,2,6,DETROIT PISTONS,AWAY,BROOKLYN NETS,WIN,1360,1,5,0,2,0,0,1,2,1,0,1,0,2,0.8
True,2023-01-28,5,-5,DETROIT PISTONS,HOME,HOUSTON ROCKETS,LOSS,1525,2,5,1,4,0,0,0,1,0,0,1,0,2,2.5
True,2023-01-30,9,-7,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,1720,2,5,2,4,3,4,0,1,0,1,1,0,4,6.3
True,2023-02-03,3,-5,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,WIN,848,1,3,1,3,0,0,0,2,0,1,1,5,0,-1.4
True,2023-02-04,0,-1,DETROIT PISTONS,HOME,PHOENIX SUNS,LOSS,437,0,1,0,1,0,0,0,0,0,0,0,2,2,-3.5
True,2023-02-06,5,6,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1365,2,3,1,2,0,0,0,1,0,2,1,0,3,5.5
True,2023-02-08,6,-9,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,1159,2,4,1,3,1,1,0,0,0,0,0,0,1,3.6
True,2023-02-10,11,16,DETROIT PISTONS,HOME,SAN ANTONIO SPURS,WIN,2414,4,8,3,6,0,0,1,9,1,2,0,0,2,12.3
True,2023-02-12,2,16,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,1623,1,5,0,4,0,0,1,1,1,1,1,1,4,-0.3
True,2023-02-15,0,-18,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,1300,0,1,0,0,0,0,0,2,1,1,0,0,1,1.2
True,2023-02-23,9,4,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,1295,3,5,3,5,0,0,0,2,1,0,1,1,3,6.5
True,2023-02-25,11,1,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,1741,4,6,3,4,0,0,0,2,1,0,1,0,1,10.0
True,2023-02-27,0,-9,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,LOSS,499,0,3,0,3,0,0,0,0,0,1,0,0,0,-1.1
True,2023-03-04,7,-11,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,1475,3,6,1,4,0,0,0,4,2,1,0,0,2,6.8
True,2023-03-06,17,-14,DETROIT PISTONS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2337,7,12,3,8,0,0,1,4,2,0,0,2,0,12.7
True,2023-03-07,9,2,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,LOSS,2240,3,12,3,9,0,0,0,2,1,2,1,0,4,4.2
True,2023-03-09,13,-8,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,LOSS,1846,6,9,1,3,0,0,0,5,2,0,0,1,1,10.6
True,2023-03-11,18,4,DETROIT PISTONS,HOME,INDIANA PACERS,LOSS,2259,7,20,3,10,1,2,1,3,2,4,2,0,2,14.0
True,2023-03-13,2,9,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,1193,1,7,0,4,0,0,2,2,0,0,0,0,3,-1.7
True,2023-03-24,12,-24,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,1809,4,8,1,4,3,3,1,3,2,0,0,0,1,10.6
True,2023-03-27,9,8,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,LOSS,2070,4,5,1,1,0,0,1,5,2,0,0,0,2,9.9
True,2023-03-29,0,-11,DETROIT PISTONS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1262,0,3,0,2,0,0,0,4,1,1,1,1,1,0.1
