active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-31,2,1,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1110,0,3,0,0,2,2,2,2,2,1,1,0,1,4.6
True,2022-11-02,4,-7,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,795,2,4,0,0,0,0,0,3,1,0,0,0,2,2.8
True,2022-11-04,2,-10,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,1123,1,3,0,0,0,0,0,6,0,2,0,3,2,0.3
True,2022-11-09,3,4,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,204,1,2,0,0,1,2,0,2,0,0,0,0,0,2.2
True,2022-11-18,0,6,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,352,0,0,0,0,0,0,0,3,0,2,1,0,3,2.4
True,2022-11-25,0,-3,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,136,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.4
True,2022-12-28,1,0,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,33,0,0,0,0,1,2,0,0,0,1,0,0,0,1.6
True,2023-01-02,0,-2,DETROIT PISTONS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,342,0,1,0,0,0,0,0,0,0,1,0,1,1,-1.1
True,2023-01-08,6,-11,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,LOSS,774,3,3,0,0,0,0,2,2,0,1,0,0,3,6.9
True,2023-01-10,5,-22,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1239,2,5,1,2,0,0,0,5,1,1,3,1,3,5.4
True,2023-01-11,2,0,DETROIT PISTONS,HOME,MINNESOTA TIMBERWOLVES,WIN,1279,1,2,0,0,0,0,1,4,2,3,4,1,2,8.3
True,2023-01-13,4,-12,DETROIT PISTONS,HOME,NEW ORLEANS PELICANS,LOSS,1140,2,3,0,0,0,0,1,0,1,1,0,0,4,3.5
True,2023-01-23,3,1,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,LOSS,366,0,1,0,0,3,4,0,2,0,0,0,2,2,-0.3
True,2023-02-08,0,-8,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,202,0,2,0,0,0,0,0,1,0,0,0,0,1,-1.5
True,2023-03-07,2,-4,BROOKLYN NETS,AWAY,HOUSTON ROCKETS,WIN,1068,1,1,0,0,0,0,0,3,0,1,0,3,5,-1.4
True,2023-03-09,0,2,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,1088,0,3,0,0,0,0,3,3,3,1,1,2,1,2.3
True,2023-03-12,1,-11,BROOKLYN NETS,AWAY,DENVER NUGGETS,WIN,429,0,2,0,0,1,2,0,0,0,1,0,0,1,-0.2
