active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2023-01-10,2,1,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,720,1,3,0,1,0,0,0,1,0,0,0,0,3,-0.6
True,2023-03-04,2,6,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,543,1,4,0,1,0,0,2,1,0,0,0,0,0,1.3
True,2023-03-06,4,0,DETROIT PISTONS,HOME,PORTLAND TRAIL BLAZERS,LOSS,373,2,2,0,0,0,0,3,1,0,0,0,0,1,5.4
True,2023-03-07,0,0,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,LOSS,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-13,0,2,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-14,7,6,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,1039,2,5,1,3,2,2,1,3,0,1,0,0,1,6.5
True,2023-03-21,0,2,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,889,0,2,0,2,0,0,1,1,2,1,0,0,2,1.2
True,2023-03-24,0,6,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,496,0,1,0,1,0,0,1,1,0,0,0,1,2,-1.5
True,2023-03-31,7,0,DETROIT PISTONS,AWAY,HOUSTON ROCKETS,LOSS,944,2,3,1,2,2,2,0,3,1,0,0,0,2,6.5
True,2023-04-02,4,-14,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,997,1,1,0,0,2,2,0,2,0,0,0,1,1,2.9
True,2023-04-04,0,-11,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,165,0,1,0,1,0,0,0,0,0,0,0,1,1,-2.1
True,2023-04-05,2,6,DETROIT PISTONS,HOME,BROOKLYN NETS,LOSS,1174,1,5,0,2,0,0,1,3,0,0,0,0,4,-1.1
True,2023-04-07,10,18,DETROIT PISTONS,AWAY,INDIANA PACERS,WIN,2048,4,9,2,3,0,0,1,5,1,2,1,0,3,9.7
True,2023-04-09,7,-7,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,2104,3,8,1,4,0,0,1,5,0,0,0,0,3,3.6
