active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,14,-1,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,1578,3,6,1,4,7,8,0,5,3,2,0,0,2,15.4
True,2022-10-21,8,-7,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,1820,3,9,1,6,1,4,2,8,1,1,1,1,3,5.7
True,2022-10-22,11,-1,DETROIT PISTONS,AWAY,INDIANA PACERS,LOSS,1773,2,10,1,4,6,10,6,11,2,0,0,2,5,8.1
True,2022-10-25,13,-13,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,1635,5,11,1,4,2,2,1,9,1,0,0,0,2,10.6
True,2022-10-26,7,-3,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,1625,2,6,0,4,3,4,3,6,0,0,1,0,0,7.8
True,2022-10-28,17,-11,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,1764,6,11,2,5,3,5,4,4,1,0,1,0,2,15.5
True,2022-10-30,24,12,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,WIN,1976,6,10,2,5,10,11,5,8,0,0,0,0,3,23.7
True,2022-10-31,11,-3,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1770,4,9,0,2,3,4,5,6,2,0,1,2,5,9.3
True,2022-11-02,16,-21,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1950,6,9,2,3,2,2,1,9,1,0,1,2,1,14.5
True,2022-11-04,6,-16,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,1420,3,5,0,1,0,0,3,1,1,2,1,2,4,5.9
True,2022-11-07,11,22,DETROIT PISTONS,HOME,OKLAHOMA CITY THUNDER,WIN,1587,4,7,1,2,2,4,4,8,1,2,2,1,5,13.2
True,2022-11-09,12,-2,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,1229,3,6,1,4,5,6,3,7,1,0,0,1,4,10.9
True,2022-11-11,13,-5,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,1769,4,7,2,4,3,4,4,4,3,0,2,2,4,13.2
True,2022-11-12,8,2,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1662,3,8,2,4,0,0,1,8,2,1,0,1,3,6.9
True,2022-11-14,9,3,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,760,3,6,2,2,1,1,1,3,0,0,1,2,2,5.5
True,2022-11-29,19,-22,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,1562,6,13,5,9,2,2,1,4,1,0,1,2,2,12.8
True,2022-12-01,9,8,DETROIT PISTONS,HOME,DALLAS MAVERICKS,WIN,2194,4,12,1,4,0,0,3,9,3,0,0,1,2,7.3
True,2022-12-04,8,-14,DETROIT PISTONS,HOME,MEMPHIS GRIZZLIES,LOSS,1620,3,7,2,5,0,0,0,4,1,0,2,0,4,6.0
True,2022-12-06,11,9,DETROIT PISTONS,AWAY,MIAMI HEAT,WIN,1699,5,9,1,3,0,2,2,9,2,0,0,1,2,9.6
True,2022-12-07,10,0,DETROIT PISTONS,AWAY,NEW ORLEANS PELICANS,LOSS,1775,3,8,2,5,2,2,1,3,1,0,0,1,4,5.3
True,2022-12-09,13,-12,DETROIT PISTONS,AWAY,MEMPHIS GRIZZLIES,LOSS,1703,5,9,3,6,0,0,2,5,0,0,2,3,4,8.4
True,2022-12-11,8,-4,DETROIT PISTONS,HOME,LOS ANGELES LAKERS,LOSS,1455,2,8,2,7,2,2,1,4,0,0,0,1,0,4.1
True,2022-12-14,19,12,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,WIN,2480,8,10,2,3,1,2,3,8,1,0,2,2,4,17.8
True,2022-12-16,13,-6,DETROIT PISTONS,HOME,SACRAMENTO KINGS,LOSS,1556,4,7,3,5,2,2,0,7,1,0,0,4,2,7.7
True,2022-12-18,9,13,DETROIT PISTONS,HOME,BROOKLYN NETS,LOSS,1726,2,7,1,3,4,4,1,6,0,1,1,0,1,8.7
True,2022-12-20,7,-10,DETROIT PISTONS,HOME,UTAH JAZZ,LOSS,1648,3,9,0,5,1,1,0,3,1,0,1,0,0,4.2
True,2022-12-21,6,-11,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1313,3,7,0,1,0,0,2,3,1,0,0,5,5,-1.7
True,2022-12-23,7,-14,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,1677,2,7,2,4,1,2,1,3,3,0,0,2,1,3.8
True,2022-12-26,21,-18,DETROIT PISTONS,HOME,LOS ANGELES CLIPPERS,LOSS,2383,8,10,3,4,2,3,2,5,1,1,2,0,3,21.6
True,2022-12-28,11,10,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,1590,4,12,2,8,1,2,0,3,0,0,0,1,2,2.9
True,2022-12-30,16,-5,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,1998,6,15,2,7,2,2,4,6,2,3,0,1,2,15.1
True,2022-12-31,6,-3,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1463,3,7,0,1,0,0,4,3,0,1,1,2,2,4.9
True,2023-01-02,9,-25,DETROIT PISTONS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1701,3,8,0,2,3,4,0,6,1,0,1,3,3,3.2
True,2023-01-04,13,4,DETROIT PISTONS,AWAY,GOLDEN STATE WARRIORS,WIN,1840,6,14,1,7,0,0,2,5,1,0,1,2,1,7.5
True,2023-01-06,11,-1,DETROIT PISTONS,AWAY,SAN ANTONIO SPURS,LOSS,1783,3,8,2,6,3,6,4,4,3,1,0,2,5,8.5
True,2023-01-08,20,-1,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,LOSS,2106,7,15,0,3,6,7,3,10,2,1,0,4,1,15.0
True,2023-01-15,6,2,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,1755,3,6,0,3,0,1,3,6,1,0,2,2,5,4.6
True,2023-01-19,7,-23,DETROIT PISTONS,HOME,CHICAGO BULLS,LOSS,1787,1,10,0,4,5,6,6,5,2,0,0,0,2,6.3
True,2023-01-26,11,6,DETROIT PISTONS,AWAY,BROOKLYN NETS,WIN,1246,3,6,0,0,5,5,4,1,0,0,0,1,5,8.1
True,2023-01-28,6,0,DETROIT PISTONS,HOME,HOUSTON ROCKETS,LOSS,1434,3,6,0,1,0,0,3,3,3,0,1,1,2,7.0
True,2023-01-30,7,-9,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,1228,2,5,0,0,3,5,2,3,0,1,1,1,3,5.3
True,2023-02-03,8,0,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,WIN,1693,3,12,0,2,2,2,5,11,6,1,0,0,1,12.4
True,2023-02-04,17,-22,DETROIT PISTONS,HOME,PHOENIX SUNS,LOSS,2199,7,13,3,8,0,1,2,7,2,1,0,1,3,14.0
True,2023-02-06,10,-25,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1866,4,12,0,7,2,4,0,12,0,0,0,2,2,3.2
True,2023-02-08,9,-22,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,1688,4,12,1,5,0,0,2,5,3,1,1,1,3,6.7
True,2023-02-10,15,15,DETROIT PISTONS,HOME,SAN ANTONIO SPURS,WIN,1744,4,11,1,6,6,8,5,6,4,0,1,2,5,12.9
True,2023-02-12,16,5,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,2261,5,7,3,4,3,5,0,3,1,0,0,1,1,12.5
True,2023-02-15,14,0,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,1580,5,8,4,6,0,0,1,5,0,0,1,2,1,10.9
True,2023-02-23,10,-14,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,1630,2,6,2,5,4,4,1,7,3,0,1,1,3,10.0
True,2023-02-25,5,-5,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,1139,2,5,1,2,0,0,2,7,1,0,1,0,2,6.4
