active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-30,0,0,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,LOSS,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-04,0,-13,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,234,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-21,7,-18,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,931,3,6,1,4,0,0,0,5,0,3,0,1,0,7.5
True,2022-11-23,3,-12,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,232,1,3,1,3,0,0,0,1,0,0,0,0,0,1.6
True,2022-12-13,6,4,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,494,2,3,2,3,0,0,0,0,0,0,0,0,0,4.7
True,2022-12-16,0,0,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,LOSS,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-18,1,-1,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,141,0,1,0,1,1,2,0,1,1,0,0,1,0,-0.1
True,2022-12-20,3,-13,GOLDEN STATE WARRIORS,AWAY,NEW YORK KNICKS,LOSS,460,1,6,1,4,0,0,0,1,1,0,0,0,0,0.2
True,2022-12-21,17,-3,GOLDEN STATE WARRIORS,AWAY,BROOKLYN NETS,LOSS,1398,6,10,5,8,0,0,0,3,0,0,0,0,0,13.3
True,2022-12-28,11,13,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,759,4,7,3,5,0,0,0,3,0,1,0,1,1,8.2
True,2023-01-02,8,-3,GOLDEN STATE WARRIORS,HOME,ATLANTA HAWKS,WIN,651,3,7,2,6,0,0,0,2,0,1,1,1,2,4.8
True,2023-01-04,5,-3,GOLDEN STATE WARRIORS,HOME,DETROIT PISTONS,LOSS,630,1,3,1,3,2,2,0,3,1,1,0,1,1,4.5
True,2023-01-07,9,-9,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,LOSS,872,3,9,3,6,0,0,0,2,0,0,0,1,3,2.3
True,2023-01-15,3,1,GOLDEN STATE WARRIORS,AWAY,CHICAGO BULLS,LOSS,117,1,2,1,2,0,0,0,0,0,0,0,0,0,2.0
True,2023-01-20,7,-6,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,WIN,567,2,4,2,3,1,2,0,0,0,0,0,1,0,3.6
True,2023-02-14,0,6,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,LOSS,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-23,11,7,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,601,4,6,3,5,0,0,0,2,0,0,0,0,0,9.0
True,2023-02-24,11,1,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,WIN,940,4,8,3,5,0,0,1,2,1,0,0,1,1,7.6
True,2023-02-26,3,-2,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,WIN,771,1,4,1,3,0,0,0,3,0,0,0,0,0,1.5
True,2023-02-28,0,0,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,406,0,2,0,2,0,0,0,1,0,0,0,1,0,-2.1
True,2023-03-02,4,-2,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,520,2,6,0,3,0,0,0,3,2,0,1,0,2,2.8
True,2023-03-07,0,-2,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,250,0,3,0,3,0,0,0,0,0,0,0,0,0,-2.1
True,2023-03-09,5,-2,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,859,2,8,1,6,0,0,0,1,0,0,2,1,3,-0.3
True,2023-03-13,0,-6,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,WIN,143,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-03-15,0,5,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,LOSS,88,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3
True,2023-03-18,0,6,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,257,0,1,0,1,0,0,0,1,0,0,0,1,0,-1.4
True,2023-03-28,0,-4,GOLDEN STATE WARRIORS,HOME,NEW ORLEANS PELICANS,WIN,61,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0
True,2023-03-31,0,-1,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,88,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2023-04-04,0,-2,GOLDEN STATE WARRIORS,HOME,OKLAHOMA CITY THUNDER,WIN,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-04-07,0,0,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,WIN,128,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-04-09,8,6,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,WIN,582,3,7,2,5,0,0,0,3,2,0,0,0,0,6.6
