active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,8,-5,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,1297,3,6,1,2,1,2,0,2,2,1,0,4,2,2.8
True,2022-10-21,3,-13,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,580,1,3,1,3,0,0,0,0,0,0,0,0,2,0.5
True,2022-10-23,4,-1,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,642,1,2,0,1,2,2,0,0,1,0,0,2,0,1.7
True,2022-11-11,0,3,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,WIN,936,0,1,0,1,0,0,0,1,3,0,0,1,3,-0.5
True,2022-11-13,5,0,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,1456,1,3,1,3,2,2,0,5,2,0,0,1,1,4.8
True,2022-11-14,5,10,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,550,2,3,1,2,0,0,0,0,2,1,0,3,3,1.9
True,2022-11-16,6,2,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1111,2,7,2,5,0,0,0,2,2,0,0,0,1,3.5
True,2022-11-18,6,-11,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,WIN,1186,2,5,2,5,0,0,1,4,1,1,0,1,1,5.5
True,2022-11-20,4,-7,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,930,2,5,0,3,0,1,1,3,1,1,1,1,1,3.5
True,2022-11-21,0,-26,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,1149,0,5,0,3,0,0,0,1,5,2,0,2,1,-0.1
True,2022-11-23,6,6,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,1043,2,3,2,3,0,0,1,4,1,1,0,0,2,7.5
True,2022-11-25,3,-1,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,1168,1,3,1,2,0,0,0,3,5,2,0,1,1,6.3
True,2022-11-27,14,-8,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1084,5,10,4,8,0,0,2,4,1,1,1,0,3,12.8
True,2022-11-29,6,15,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,1013,1,5,0,2,4,4,2,5,2,2,0,1,1,7.8
True,2022-12-02,5,-4,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,992,2,4,1,3,0,0,0,2,2,0,0,2,3,1.8
True,2022-12-03,0,2,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,WIN,1227,0,5,0,5,0,0,1,1,5,2,0,2,4,-0.6
True,2022-12-05,10,-2,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,1311,4,7,1,3,1,2,3,4,0,3,0,1,4,10.0
True,2022-12-07,7,-7,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,1691,3,6,1,3,0,0,3,6,7,3,0,2,2,13.0
True,2022-12-10,3,20,GOLDEN STATE WARRIORS,HOME,BOSTON CELTICS,WIN,1049,1,3,1,2,0,0,1,7,3,1,0,0,3,6.0
True,2022-12-13,16,-4,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1618,5,15,4,10,2,3,2,5,2,2,0,3,0,10.4
True,2022-12-14,15,19,GOLDEN STATE WARRIORS,AWAY,INDIANA PACERS,LOSS,2268,4,10,3,6,4,4,0,8,3,1,0,2,1,12.7
True,2022-12-16,17,-4,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,LOSS,2077,6,13,5,8,0,0,3,7,6,1,0,1,3,17.5
True,2022-12-18,5,12,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,1954,2,5,1,3,0,0,0,1,6,2,0,3,4,4.2
True,2022-12-25,19,-9,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,1889,7,12,5,9,0,0,0,3,3,1,0,0,2,16.6
True,2022-12-27,0,4,GOLDEN STATE WARRIORS,HOME,CHARLOTTE HORNETS,WIN,1798,0,4,0,4,0,0,0,9,7,1,0,1,1,4.4
True,2022-12-28,19,5,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,2339,5,11,5,9,4,4,1,3,2,2,0,1,3,16.1
True,2022-12-30,9,16,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,2062,4,11,1,5,0,0,3,6,4,4,0,1,2,11.8
True,2023-01-02,8,7,GOLDEN STATE WARRIORS,HOME,ATLANTA HAWKS,WIN,2662,3,9,2,8,0,0,4,5,5,2,0,2,1,10.3
True,2023-01-04,5,-14,GOLDEN STATE WARRIORS,HOME,DETROIT PISTONS,LOSS,2040,2,4,1,3,0,0,0,3,3,0,0,3,2,2.2
True,2023-01-07,15,-4,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,LOSS,2122,5,12,5,11,0,0,1,7,3,2,0,1,0,14.5
True,2023-01-10,3,0,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1079,1,4,1,3,0,0,1,4,2,1,0,1,1,3.5
True,2023-01-13,22,20,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,WIN,1517,7,17,4,12,4,4,3,4,5,2,0,1,2,19.9
True,2023-01-15,9,-5,GOLDEN STATE WARRIORS,AWAY,CHICAGO BULLS,LOSS,1552,3,7,3,6,0,0,1,3,5,1,1,1,0,11.1
True,2023-01-16,11,15,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,1620,5,9,0,4,1,1,0,5,3,0,0,0,3,9.1
True,2023-01-19,6,-4,GOLDEN STATE WARRIORS,AWAY,BOSTON CELTICS,LOSS,1656,2,6,2,4,0,0,0,3,0,0,0,0,2,2.7
True,2023-01-20,17,12,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,WIN,2124,5,13,3,7,4,6,2,4,4,4,0,4,3,13.3
True,2023-01-22,13,9,GOLDEN STATE WARRIORS,HOME,BROOKLYN NETS,LOSS,1616,4,6,4,4,1,2,0,2,8,0,0,0,1,15.8
True,2023-01-25,8,7,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,2060,3,7,2,4,0,0,2,2,2,0,1,3,2,4.6
True,2023-01-27,12,24,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,WIN,1990,5,10,2,5,0,0,1,2,11,2,0,1,1,16.6
True,2023-01-30,8,-10,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,WIN,1570,3,8,2,5,0,0,0,4,3,3,0,2,2,7.1
True,2023-02-01,7,-7,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1491,3,7,1,4,0,0,1,3,5,1,0,1,1,8.0
True,2023-02-02,14,-14,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,LOSS,1313,5,7,4,5,0,0,0,2,1,1,0,3,1,10.0
True,2023-02-04,13,-5,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,1436,5,7,3,5,0,0,0,2,2,2,0,2,2,11.3
True,2023-02-06,14,7,GOLDEN STATE WARRIORS,HOME,OKLAHOMA CITY THUNDER,WIN,1665,5,10,4,8,0,0,2,2,7,0,0,0,3,14.7
True,2023-02-08,18,-4,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1820,6,12,5,10,1,1,0,2,2,3,0,2,0,15.0
True,2023-02-11,5,-2,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,LOSS,1541,2,8,1,5,0,0,0,0,3,1,1,3,3,-0.2
True,2023-02-13,17,-7,GOLDEN STATE WARRIORS,HOME,WASHINGTON WIZARDS,WIN,1520,6,9,5,8,0,0,0,1,3,2,0,3,1,14.1
True,2023-02-14,10,-18,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,LOSS,1755,3,6,2,4,2,2,1,0,4,1,0,1,3,9.3
True,2023-02-23,5,-9,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1441,2,7,1,6,0,0,0,3,1,3,1,1,3,4.0
True,2023-02-24,15,14,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,WIN,2114,5,9,5,9,0,0,0,3,4,0,0,2,0,12.4
True,2023-02-26,21,9,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,WIN,2290,7,13,4,9,3,4,2,6,5,4,0,3,0,22.0
True,2023-02-28,21,15,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1963,8,11,5,7,0,0,3,1,3,0,0,1,0,20.0
True,2023-03-02,5,22,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,1884,2,10,1,6,0,0,5,6,0,2,2,1,1,6.1
True,2023-03-03,3,1,GOLDEN STATE WARRIORS,HOME,NEW ORLEANS PELICANS,WIN,1914,1,3,1,3,0,0,2,5,6,1,0,2,4,5.8
True,2023-03-05,11,2,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,2221,2,8,2,6,5,5,1,6,6,0,1,0,3,12.4
True,2023-03-07,7,-10,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1992,2,8,1,6,2,2,3,3,7,3,0,2,5,9.1
