active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,4,12,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,1481,2,5,0,0,0,0,0,5,5,0,0,1,1,4.9
True,2022-10-21,13,11,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1598,4,6,1,3,4,4,0,3,9,2,2,1,6,17.6
True,2022-10-23,7,17,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1701,3,4,0,0,1,2,1,3,4,0,0,2,2,6.6
True,2022-10-25,14,-17,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1751,7,10,0,1,0,0,2,6,5,3,0,5,4,12.9
True,2022-10-27,10,9,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,1805,5,10,0,1,0,1,2,5,4,0,0,5,1,4.9
True,2022-10-29,12,-13,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE HORNETS,LOSS,2096,6,9,0,1,0,2,2,6,6,1,3,3,6,12.4
True,2022-10-30,7,-11,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,LOSS,1560,2,5,1,2,2,2,0,7,7,0,1,4,4,6.4
True,2022-11-01,5,7,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,1930,2,3,1,2,0,0,0,6,3,3,0,1,4,8.0
True,2022-11-03,8,5,GOLDEN STATE WARRIORS,AWAY,ORLANDO MAGIC,LOSS,1791,4,5,0,0,0,1,0,5,7,1,0,0,6,10.7
True,2022-11-07,11,19,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,2181,4,7,0,0,3,5,0,8,6,0,0,5,1,8.1
True,2022-11-11,2,2,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,WIN,1944,1,5,0,0,0,0,1,8,13,1,0,0,5,10.1
True,2022-11-13,6,-3,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,2047,3,7,0,2,0,0,0,7,11,0,1,3,3,8.6
True,2022-11-14,4,13,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,1529,1,6,0,2,2,2,1,6,6,1,0,1,2,6.1
True,2022-11-16,9,-19,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1759,3,3,1,1,2,2,0,2,8,3,0,3,2,13.5
True,2022-11-18,10,24,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,WIN,1915,3,4,1,1,3,4,0,9,7,0,2,2,5,13.0
True,2022-11-20,4,18,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,1906,2,4,0,1,0,0,0,6,8,0,0,4,5,3.4
True,2022-11-23,9,21,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,1980,4,4,1,1,0,0,1,6,12,2,0,3,3,16.5
True,2022-11-25,13,9,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,1857,6,9,1,2,0,0,1,2,5,1,2,2,3,13.1
True,2022-11-27,19,17,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1958,6,7,1,2,6,8,1,3,11,0,2,0,2,25.6
True,2022-11-29,12,-5,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,1965,6,10,0,3,0,0,0,6,4,1,1,3,3,9.5
True,2022-12-02,13,20,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,2153,4,6,2,3,3,3,0,9,10,0,2,4,2,16.7
True,2022-12-03,3,22,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,WIN,1905,1,6,1,5,0,0,2,4,6,1,1,2,3,4.5
True,2022-12-05,2,6,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,2038,1,8,0,2,0,0,2,7,5,1,2,1,1,4.8
True,2022-12-10,11,9,GOLDEN STATE WARRIORS,HOME,BOSTON CELTICS,WIN,2155,5,10,0,2,1,2,0,4,2,0,1,3,0,5.9
True,2022-12-13,2,-9,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1386,1,3,0,0,0,0,0,6,7,0,0,3,2,3.2
True,2022-12-14,1,5,GOLDEN STATE WARRIORS,AWAY,INDIANA PACERS,LOSS,1623,0,3,0,1,1,2,1,1,3,0,0,6,1,-4.8
True,2022-12-18,17,8,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,2194,7,15,3,6,0,0,3,6,5,0,0,2,3,13.5
True,2022-12-20,7,-14,GOLDEN STATE WARRIORS,AWAY,NEW YORK KNICKS,LOSS,1563,3,5,1,3,0,0,1,4,6,0,0,1,3,8.6
True,2022-12-21,2,-27,GOLDEN STATE WARRIORS,AWAY,BROOKLYN NETS,LOSS,1396,1,2,0,1,0,0,0,4,6,0,0,2,2,3.6
True,2022-12-25,3,13,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,2113,1,3,1,1,0,0,0,13,13,1,2,2,2,13.9
True,2022-12-27,9,5,GOLDEN STATE WARRIORS,HOME,CHARLOTTE HORNETS,WIN,2082,3,7,0,2,3,3,0,10,5,0,1,3,4,7.9
