active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,8,-3,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,1406,3,6,2,3,0,0,5,2,0,1,0,0,1,9.7
True,2022-10-21,5,-10,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1437,2,5,1,3,0,0,1,4,2,1,0,2,3,3.4
True,2022-10-23,3,-5,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,777,1,2,0,1,1,2,2,2,0,2,1,0,2,5.5
True,2022-10-25,0,-10,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,999,0,2,0,2,0,0,0,3,0,1,0,2,1,-1.9
True,2022-10-27,6,4,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,1075,2,3,0,1,2,2,4,1,2,1,1,1,1,9.5
True,2022-10-29,0,5,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE HORNETS,LOSS,1013,0,2,0,1,0,0,1,4,1,1,0,1,2,0.4
True,2022-10-30,6,2,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,LOSS,952,3,6,0,2,0,0,0,2,0,2,1,1,3,4.1
True,2022-11-01,9,-22,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,1061,4,11,0,2,1,1,5,4,1,1,1,1,1,8.6
True,2022-11-03,7,-15,GOLDEN STATE WARRIORS,AWAY,ORLANDO MAGIC,LOSS,980,3,5,1,1,0,0,2,4,0,0,1,1,5,5.0
True,2022-11-04,2,-11,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,568,1,2,0,1,0,0,0,1,0,0,0,1,2,-0.5
True,2022-11-14,9,18,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,925,3,5,1,3,2,2,0,5,2,0,2,1,3,8.8
True,2022-11-16,2,7,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1021,1,7,0,2,0,0,1,1,0,0,0,1,4,-4.1
