active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-30,2,-8,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,LOSS,514,1,1,0,0,0,0,0,2,1,0,0,0,2,2.2
True,2022-11-04,16,5,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,2200,6,9,4,6,0,0,0,3,2,3,0,3,4,12.8
True,2022-11-07,4,-7,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,953,2,6,0,3,0,0,2,3,1,1,0,0,3,3.4
True,2022-11-11,10,6,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,WIN,1420,4,7,2,5,0,0,2,2,1,0,0,0,3,8.2
True,2022-11-13,5,-7,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,833,2,4,1,2,0,0,0,1,1,0,0,1,1,2.6
True,2022-11-14,17,26,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,1450,6,7,5,6,0,0,0,4,4,0,0,1,2,16.7
True,2022-11-16,7,-3,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1458,3,7,1,4,0,0,2,5,1,2,0,3,1,5.5
True,2022-11-18,0,-17,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,WIN,863,0,3,0,3,0,0,1,1,1,2,0,2,3,-1.6
True,2022-11-20,0,-7,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,267,0,0,0,0,0,0,0,1,1,0,0,2,0,-1.0
True,2022-11-21,2,-31,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,2064,1,5,0,4,0,0,1,5,5,1,1,2,4,2.7
True,2022-11-23,7,14,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,1260,3,4,1,1,0,0,1,6,2,0,0,1,4,6.7
True,2022-11-25,3,-7,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,505,1,1,1,1,0,0,1,1,1,0,0,0,0,4.4
True,2022-11-27,2,-14,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,WIN,524,1,1,0,0,0,0,0,0,0,0,0,0,4,0.1
True,2022-11-29,11,13,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,966,4,6,2,4,1,1,1,4,1,1,0,1,2,10.2
True,2022-12-02,4,4,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,930,1,2,1,1,1,2,0,4,2,0,0,0,1,4.8
True,2022-12-03,2,-3,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,WIN,1046,1,3,0,2,0,0,0,0,1,0,1,1,5,-1.3
True,2022-12-05,6,14,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,1465,3,9,0,4,0,1,1,4,3,0,2,1,2,4.1
True,2022-12-07,7,-9,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,971,3,7,1,4,0,2,1,3,0,2,0,2,1,3.7
True,2022-12-10,0,-2,GOLDEN STATE WARRIORS,HOME,BOSTON CELTICS,WIN,619,0,1,0,1,0,0,1,0,1,0,0,0,1,0.3
