active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,7,30,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,1268,3,4,0,0,1,1,2,4,2,1,0,0,2,9.6
True,2022-10-21,4,3,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1125,2,4,0,0,0,0,0,1,4,0,0,0,3,3.9
True,2022-10-23,6,18,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1486,3,4,0,0,0,2,2,6,6,0,1,0,3,10.5
True,2022-10-25,6,-4,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1027,3,3,0,0,0,0,2,2,3,0,0,1,4,6.6
True,2022-10-27,7,12,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,1752,3,5,0,0,1,2,2,6,4,0,0,1,2,8.5
True,2022-10-29,10,-3,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE HORNETS,LOSS,1666,3,6,0,0,4,6,4,5,4,0,1,0,2,13.2
True,2022-10-30,2,-17,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,LOSS,1292,1,4,0,0,0,0,6,3,2,0,0,0,2,5.3
True,2022-11-01,4,11,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,1431,2,2,0,0,0,0,0,3,2,1,0,0,3,5.5
True,2022-11-03,17,10,GOLDEN STATE WARRIORS,AWAY,ORLANDO MAGIC,LOSS,1762,8,11,0,0,1,1,2,5,3,1,0,0,5,16.5
True,2022-11-04,5,-7,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,1475,2,3,0,0,1,1,1,4,2,0,0,0,5,5.0
True,2022-11-07,2,8,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1243,1,4,0,0,0,0,3,10,4,1,1,0,4,7.6
True,2022-11-11,7,7,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,WIN,1825,3,4,0,0,1,1,1,8,3,0,2,2,4,8.4
True,2022-11-13,8,-4,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,1761,4,7,0,0,0,0,6,4,2,0,2,3,4,8.3
True,2022-11-14,2,17,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,1053,1,3,0,0,0,0,1,3,4,1,0,0,0,5.7
True,2022-11-16,10,-11,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1225,5,6,0,0,0,0,2,6,2,0,1,0,2,12.3
True,2022-11-18,5,20,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,WIN,1431,1,2,0,0,3,4,3,5,3,1,0,0,4,8.7
True,2022-11-20,3,0,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,1726,1,2,0,0,1,2,2,5,5,0,1,0,6,6.3
True,2022-11-21,0,-8,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,323,0,0,0,0,0,0,0,3,0,0,0,1,1,-0.5
True,2022-11-23,9,7,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,991,4,4,0,0,1,3,0,3,2,2,2,0,5,10.7
True,2022-11-25,10,2,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,1676,5,8,0,0,0,1,7,5,4,0,0,2,1,12.8
True,2022-11-27,2,23,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1327,1,1,0,0,0,0,2,5,4,1,0,0,2,7.6
True,2022-11-29,11,-15,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,1058,4,4,0,0,3,3,3,3,1,0,0,0,1,13.1
True,2022-12-02,7,11,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,1637,3,5,0,0,1,4,4,8,3,1,1,0,1,12.1
True,2022-12-03,9,19,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,WIN,1633,3,4,0,0,3,5,0,12,2,0,1,0,2,11.5
True,2022-12-05,6,-21,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,821,2,2,0,0,2,2,1,6,0,0,0,0,1,7.5
True,2022-12-07,7,10,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,1753,3,5,0,0,1,1,5,4,1,0,1,1,4,8.2
True,2022-12-10,7,19,GOLDEN STATE WARRIORS,HOME,BOSTON CELTICS,WIN,1590,3,4,0,0,1,2,3,12,3,0,2,0,1,13.8
True,2022-12-13,5,-15,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1125,2,4,0,0,1,2,4,4,1,1,0,0,3,7.1
True,2022-12-14,4,-10,GOLDEN STATE WARRIORS,AWAY,INDIANA PACERS,LOSS,1283,2,5,0,0,0,0,1,5,3,0,0,0,3,4.4
True,2022-12-16,14,-4,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,LOSS,1574,6,8,0,0,2,2,3,8,9,2,2,0,3,23.8
True,2022-12-18,11,12,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,1690,4,7,0,0,3,3,6,5,2,0,1,0,3,14.3
True,2022-12-20,2,-14,GOLDEN STATE WARRIORS,AWAY,NEW YORK KNICKS,LOSS,1250,1,1,0,0,0,0,1,5,4,0,0,0,2,5.9
True,2022-12-21,6,-10,GOLDEN STATE WARRIORS,AWAY,BROOKLYN NETS,LOSS,1015,2,5,0,0,2,2,4,3,1,0,0,1,3,5.5
True,2022-12-25,3,-3,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,1362,1,3,0,0,1,4,2,3,4,1,1,0,4,5.3
True,2022-12-27,11,-4,GOLDEN STATE WARRIORS,HOME,CHARLOTTE HORNETS,WIN,1051,4,8,0,0,3,4,3,6,1,0,0,1,3,9.0
True,2022-12-28,6,0,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,1564,3,3,0,0,0,0,2,10,5,0,0,1,2,11.2
True,2022-12-30,4,-9,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1551,2,6,0,0,0,2,8,3,2,0,0,0,2,6.9
True,2023-01-02,14,-20,GOLDEN STATE WARRIORS,HOME,ATLANTA HAWKS,WIN,1945,4,8,0,0,6,8,10,10,4,0,1,0,4,21.1
True,2023-01-04,8,-5,GOLDEN STATE WARRIORS,HOME,DETROIT PISTONS,LOSS,1662,4,6,0,0,0,0,6,9,2,2,2,2,4,13.5
True,2023-01-07,7,-18,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,LOSS,1538,2,2,0,0,3,4,5,7,2,1,0,1,2,12.2
True,2023-01-10,1,-13,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1269,0,1,0,0,1,2,2,6,0,1,0,1,3,1.9
True,2023-01-13,14,6,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,WIN,1259,6,7,0,0,2,3,2,8,3,0,0,2,3,13.8
True,2023-01-15,9,5,GOLDEN STATE WARRIORS,AWAY,CHICAGO BULLS,LOSS,1574,4,4,0,0,1,2,2,4,1,1,0,1,2,9.9
True,2023-01-16,2,-2,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,1626,1,3,0,0,0,0,5,4,3,1,0,1,4,5.5
True,2023-01-19,2,3,GOLDEN STATE WARRIORS,AWAY,BOSTON CELTICS,LOSS,1205,1,1,0,0,0,0,3,9,3,0,0,2,3,5.4
True,2023-01-20,4,10,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,WIN,1905,2,4,0,0,0,0,6,11,4,2,2,0,1,15.3
True,2023-01-22,14,14,GOLDEN STATE WARRIORS,HOME,BROOKLYN NETS,LOSS,1171,5,7,0,0,4,8,3,7,0,2,1,0,2,15.6
True,2023-01-25,4,-6,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,1226,2,4,0,0,0,0,4,4,3,1,0,0,1,8.7
True,2023-01-27,12,12,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,WIN,1425,6,7,0,0,0,2,1,7,3,0,0,0,6,11.2
