active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,5,1,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,455,2,4,1,3,0,0,0,1,0,0,0,0,0,3.3
True,2022-10-21,3,3,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,780,1,5,1,4,0,0,0,1,1,1,0,1,0,0.9
True,2022-10-23,3,-8,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1089,0,1,0,1,3,4,0,1,0,0,1,2,1,0.5
True,2022-10-25,13,-5,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1470,4,9,2,4,3,4,1,2,0,1,3,2,1,9.9
True,2022-10-27,6,0,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,1042,2,6,2,5,0,0,1,3,1,0,0,2,0,2.9
True,2022-10-29,8,0,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE HORNETS,LOSS,845,3,6,2,4,0,0,0,3,0,0,0,0,4,4.3
True,2022-10-30,7,-2,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,LOSS,1430,3,7,1,4,0,0,2,2,0,1,1,2,1,4.6
True,2022-11-01,6,-8,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,885,2,5,2,5,0,0,0,0,2,1,0,2,0,3.7
True,2022-11-03,1,-9,GOLDEN STATE WARRIORS,AWAY,ORLANDO MAGIC,LOSS,690,0,1,0,1,1,2,0,2,0,1,0,0,2,0.7
True,2022-11-04,14,10,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,1923,4,9,1,3,5,5,0,4,1,0,0,4,2,6.4
True,2022-11-07,2,-1,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,529,1,1,0,0,0,0,1,0,0,0,0,0,2,1.6
True,2022-11-14,11,14,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,1603,4,9,2,5,1,1,0,2,4,1,0,0,0,10.7
True,2022-11-16,0,6,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,362,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2022-11-18,0,-8,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,WIN,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-20,0,8,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,279,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-11-21,10,-29,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,1972,2,6,1,5,5,6,0,4,1,1,0,3,0,6.1
True,2022-11-23,0,-10,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,302,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-27,0,4,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,WIN,205,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6
True,2022-12-03,11,-16,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,WIN,1020,4,5,3,3,0,0,0,1,1,0,0,0,0,10.1
True,2022-12-05,0,-8,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,490,0,1,0,1,0,0,0,2,1,0,0,1,1,-0.8
True,2022-12-07,6,11,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,1120,2,4,2,3,0,0,0,0,0,1,0,0,2,4.2
True,2022-12-10,2,2,GOLDEN STATE WARRIORS,HOME,BOSTON CELTICS,WIN,716,1,2,0,1,0,0,2,3,0,0,0,1,2,1.5
True,2022-12-13,0,2,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,624,0,1,0,0,0,0,1,0,3,0,0,0,2,1.3
True,2022-12-14,13,-2,GOLDEN STATE WARRIORS,AWAY,INDIANA PACERS,LOSS,1377,5,6,2,3,1,1,0,1,3,0,0,1,2,11.4
True,2022-12-16,3,-6,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,LOSS,947,1,4,1,4,0,0,1,1,2,0,0,0,0,3.0
True,2022-12-18,0,6,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,651,0,0,0,0,0,0,0,0,0,1,0,1,2,-0.8
True,2022-12-20,11,-17,GOLDEN STATE WARRIORS,AWAY,NEW YORK KNICKS,LOSS,1901,4,9,3,6,0,0,1,2,1,1,0,0,0,9.3
True,2022-12-21,17,-14,GOLDEN STATE WARRIORS,AWAY,BROOKLYN NETS,LOSS,1855,7,11,3,5,0,0,0,1,3,1,0,0,3,14.3
True,2022-12-25,10,2,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,1041,4,7,1,3,1,1,0,2,0,0,0,0,1,6.9
True,2022-12-27,4,1,GOLDEN STATE WARRIORS,HOME,CHARLOTTE HORNETS,WIN,787,2,5,0,1,0,0,2,1,0,0,0,0,1,2.6
True,2022-12-28,4,-3,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,776,1,2,1,2,1,2,0,0,1,1,0,0,2,3.5
True,2022-12-30,0,-7,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,508,0,3,0,3,0,0,0,0,0,0,0,0,0,-2.1
True,2023-01-02,6,-6,GOLDEN STATE WARRIORS,HOME,ATLANTA HAWKS,WIN,702,2,4,0,2,2,5,2,0,0,0,0,1,1,2.8
True,2023-01-04,8,3,GOLDEN STATE WARRIORS,HOME,DETROIT PISTONS,LOSS,906,3,5,1,3,1,2,0,2,4,0,0,1,2,6.9
True,2023-01-07,0,-5,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,LOSS,548,0,3,0,2,0,0,1,1,1,0,0,0,0,-0.4
True,2023-01-13,12,7,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,WIN,1083,4,7,2,5,2,4,1,1,3,1,0,0,0,12.0
True,2023-01-15,3,-8,GOLDEN STATE WARRIORS,AWAY,CHICAGO BULLS,LOSS,363,1,2,1,2,0,0,0,0,1,0,0,1,0,1.7
True,2023-01-16,0,-2,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,323,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2023-01-20,3,1,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,WIN,855,1,2,1,2,0,0,1,4,2,0,0,1,0,4.3
True,2023-02-02,0,-7,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,LOSS,952,0,3,0,2,0,0,2,0,1,0,0,0,0,0.0
True,2023-02-06,4,9,GOLDEN STATE WARRIORS,HOME,OKLAHOMA CITY THUNDER,WIN,635,2,4,0,2,0,0,0,0,1,1,0,0,2,2.9
True,2023-02-11,2,-1,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,LOSS,140,1,1,0,0,0,0,1,0,1,0,0,0,0,3.1
True,2023-02-13,1,11,GOLDEN STATE WARRIORS,HOME,WASHINGTON WIZARDS,WIN,495,0,1,0,1,1,2,0,2,0,1,0,0,0,1.5
True,2023-02-14,7,8,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,LOSS,801,3,8,1,4,0,0,0,1,1,0,0,0,0,3.6
True,2023-02-23,8,7,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,601,2,5,0,2,4,4,0,2,1,0,0,0,1,6.2
True,2023-02-24,4,6,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,WIN,773,1,4,1,4,1,1,0,0,1,0,0,1,0,1.3
True,2023-02-26,0,0,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,WIN,258,0,1,0,1,0,0,0,1,0,1,0,0,0,0.6
True,2023-02-28,0,-1,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-02,3,0,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,304,1,2,1,2,0,0,1,0,0,0,0,0,0,2.7
