active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,0,-3,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,112,0,1,0,0,0,0,0,1,1,0,0,0,2,-0.5
True,2022-10-23,0,-5,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-30,0,0,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,LOSS,46,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-11-04,7,-20,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,545,2,4,1,2,2,2,0,0,0,0,0,4,2,0.2
True,2022-11-14,5,4,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,484,2,3,1,1,0,0,0,2,1,0,0,2,2,2.2
True,2022-11-21,3,-3,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,1005,1,4,1,3,0,0,0,3,0,0,0,5,3,-4.7
True,2022-11-23,0,-10,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,302,0,3,0,2,0,0,1,0,1,0,0,0,0,-0.7
True,2022-12-16,2,0,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,LOSS,80,0,1,0,0,2,2,1,1,0,0,1,1,0,2.0
True,2022-12-18,0,-1,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-20,0,-13,GOLDEN STATE WARRIORS,AWAY,NEW YORK KNICKS,LOSS,460,0,2,0,1,0,0,0,0,0,0,0,2,1,-3.8
True,2022-12-21,4,2,GOLDEN STATE WARRIORS,AWAY,BROOKLYN NETS,LOSS,359,1,1,0,0,2,2,0,1,3,1,0,1,0,6.1
True,2023-01-07,2,2,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,LOSS,131,1,1,0,0,0,0,1,1,0,0,0,0,0,2.7
