active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,18,11,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,1179,6,13,2,6,4,5,0,2,3,1,0,2,3,11.4
True,2022-10-21,16,9,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1414,6,14,4,10,0,0,1,3,3,0,0,4,0,8.3
True,2022-10-23,8,15,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1623,3,10,2,7,0,0,0,4,3,0,0,1,1,4.1
True,2022-10-25,2,-12,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1112,1,8,0,5,0,0,0,0,2,0,1,0,3,-2.3
True,2022-10-27,19,7,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,1742,6,19,5,14,2,2,0,2,1,0,0,1,1,8.0
True,2022-10-29,11,-16,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE HORNETS,LOSS,1909,5,14,1,7,0,0,0,4,3,0,0,0,1,6.1
True,2022-11-01,19,6,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,1837,7,19,4,12,1,1,0,3,2,1,1,4,1,8.1
True,2022-11-03,27,13,GOLDEN STATE WARRIORS,AWAY,ORLANDO MAGIC,LOSS,2041,10,24,7,15,0,0,1,3,3,1,0,0,2,18.1
True,2022-11-07,16,10,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,2277,6,18,3,10,1,2,0,2,3,1,2,3,4,5.9
True,2022-11-11,9,3,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,WIN,1767,3,13,2,7,1,2,1,4,1,1,0,1,2,2.5
True,2022-11-13,17,-1,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,1948,6,16,5,13,0,0,0,7,3,1,1,2,1,11.7
True,2022-11-16,19,-8,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1774,6,17,3,9,4,4,0,5,2,0,0,3,5,7.4
True,2022-11-18,20,18,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,WIN,1884,8,16,4,10,0,0,1,2,2,0,0,1,2,12.9
True,2022-11-20,41,14,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,2134,14,23,10,13,3,4,2,2,3,2,0,2,1,33.8
True,2022-11-23,18,11,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,1633,5,10,3,7,5,6,0,0,0,2,0,4,1,10.2
True,2022-11-25,20,9,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,2107,7,16,6,12,0,0,1,5,1,0,0,1,1,13.1
True,2022-11-27,21,31,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1796,8,13,5,8,0,0,0,2,2,2,1,1,2,18.0
True,2022-11-29,5,-21,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,1862,2,9,1,6,0,0,0,7,2,0,0,1,1,1.6
True,2022-12-02,26,11,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,2210,9,21,3,13,5,5,1,4,6,0,0,1,2,19.2
True,2022-12-05,28,1,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,2194,9,23,8,16,2,2,2,0,4,0,1,0,1,20.0
True,2022-12-07,22,-7,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,2142,8,25,4,11,2,2,0,2,3,1,3,2,2,10.7
True,2022-12-10,34,9,GOLDEN STATE WARRIORS,HOME,BOSTON CELTICS,WIN,2146,14,26,4,11,2,2,2,3,2,2,1,1,5,24.8
True,2022-12-13,14,-21,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1628,6,16,2,7,0,0,1,0,2,0,0,1,1,5.9
True,2022-12-16,12,-9,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,LOSS,2100,4,17,3,8,1,1,0,3,0,3,1,4,3,1.1
True,2022-12-18,17,14,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,2072,6,14,3,9,2,2,0,7,4,1,0,1,2,13.7
True,2022-12-20,11,-28,GOLDEN STATE WARRIORS,AWAY,NEW YORK KNICKS,LOSS,1586,5,12,1,5,0,0,0,4,2,0,0,5,2,1.4
True,2022-12-25,24,14,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,2387,8,25,3,12,5,5,4,5,4,0,0,0,3,15.6
True,2022-12-27,29,11,GOLDEN STATE WARRIORS,HOME,CHARLOTTE HORNETS,WIN,2313,10,22,5,12,4,5,0,5,4,0,1,3,1,18.8
True,2022-12-30,31,8,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,2200,11,22,7,15,2,2,1,3,2,0,0,0,1,22.6
True,2023-01-02,54,13,GOLDEN STATE WARRIORS,HOME,ATLANTA HAWKS,WIN,2751,21,39,10,21,2,2,2,6,3,0,1,3,4,36.5
True,2023-01-04,30,0,GOLDEN STATE WARRIORS,HOME,DETROIT PISTONS,LOSS,2044,11,23,3,10,5,5,0,2,3,0,1,0,3,20.5
True,2023-01-10,29,-11,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,2086,10,24,6,14,3,4,4,1,0,1,0,3,3,15.7
True,2023-01-13,16,19,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,WIN,1360,7,10,2,3,0,0,0,3,4,0,0,1,3,13.3
True,2023-01-15,26,-16,GOLDEN STATE WARRIORS,AWAY,CHICAGO BULLS,LOSS,1981,9,21,8,15,0,0,1,3,4,0,0,1,0,18.3
True,2023-01-19,24,2,GOLDEN STATE WARRIORS,AWAY,BOSTON CELTICS,LOSS,2163,8,16,4,8,4,4,0,2,1,2,1,3,6,14.6
True,2023-01-22,10,-21,GOLDEN STATE WARRIORS,HOME,BROOKLYN NETS,LOSS,2026,4,17,0,7,2,2,0,2,1,0,0,0,4,-0.6
True,2023-01-25,24,6,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,2047,9,23,5,10,1,2,2,1,3,1,0,2,3,12.7
True,2023-01-27,29,6,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,WIN,2272,11,24,6,14,1,1,1,7,1,1,0,1,1,19.7
True,2023-01-30,28,4,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,WIN,2209,10,21,6,14,2,2,0,7,3,1,0,2,2,19.7
True,2023-02-01,14,2,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2427,3,13,2,7,6,6,1,5,0,1,0,2,1,6.9
True,2023-02-04,14,3,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,1838,4,11,2,6,4,4,0,2,3,0,0,2,1,8.2
True,2023-02-06,42,10,GOLDEN STATE WARRIORS,HOME,OKLAHOMA CITY THUNDER,WIN,1994,15,22,12,16,0,0,0,3,1,0,0,4,1,29.8
True,2023-02-08,31,-6,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2273,12,28,7,19,0,0,0,3,5,2,0,1,3,20.4
True,2023-02-11,15,-9,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,LOSS,2146,5,21,3,13,2,3,0,3,3,1,0,0,2,5.1
True,2023-02-13,27,2,GOLDEN STATE WARRIORS,HOME,WASHINGTON WIZARDS,WIN,2156,10,21,4,13,3,4,2,2,5,1,0,2,2,19.6
True,2023-02-14,18,-9,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,LOSS,1708,7,14,4,7,0,1,0,2,2,0,0,1,0,11.6
True,2023-02-23,22,-10,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1600,8,19,4,11,2,2,1,1,0,2,0,1,1,13.5
True,2023-02-24,42,32,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,WIN,2132,12,19,12,17,6,6,0,7,1,0,0,2,0,34.3
True,2023-02-26,32,4,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,WIN,1978,12,23,6,14,2,2,0,5,4,0,0,3,3,20.8
True,2023-02-28,23,7,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,2085,8,21,3,7,4,4,1,7,4,1,0,6,1,11.7
True,2023-03-02,19,16,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,1787,7,16,3,8,2,2,0,11,4,2,1,1,2,17.6
True,2023-03-03,27,4,GOLDEN STATE WARRIORS,HOME,NEW ORLEANS PELICANS,WIN,2018,10,17,4,9,3,4,0,1,4,1,0,1,0,21.8
True,2023-03-05,22,-27,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1927,8,18,4,10,2,2,1,4,3,0,1,3,1,13.9
True,2023-03-07,23,-10,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2380,9,17,5,13,0,0,1,3,2,1,1,2,1,17.0
True,2023-03-09,14,-19,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1666,6,14,2,7,0,0,1,3,1,1,0,1,3,7.7
True,2023-03-11,22,11,GOLDEN STATE WARRIORS,HOME,MILWAUKEE BUCKS,WIN,1971,8,16,4,9,2,2,1,2,3,1,0,2,4,14.8
True,2023-03-13,38,4,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,WIN,2015,14,23,8,14,2,5,1,4,0,1,1,1,0,28.9
True,2023-03-15,15,0,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,LOSS,2234,6,16,3,8,0,0,0,3,2,0,1,1,2,7.4
True,2023-03-17,15,-8,GOLDEN STATE WARRIORS,AWAY,ATLANTA HAWKS,LOSS,2118,6,14,2,7,1,1,0,11,5,3,2,6,0,12.8
True,2023-03-18,14,-30,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1926,6,17,2,9,0,0,0,1,0,0,1,1,1,4.1
True,2023-03-20,29,13,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,2230,11,21,5,13,2,2,0,7,1,1,1,2,0,21.2
True,2023-03-22,9,-3,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,WIN,2088,4,9,1,4,0,0,0,5,1,0,1,0,3,6.0
True,2023-03-24,21,0,GOLDEN STATE WARRIORS,HOME,PHILADELPHIA 76ERS,WIN,2172,7,17,6,13,1,2,0,6,2,0,0,2,1,12.3
True,2023-03-26,15,13,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2087,5,17,5,11,0,0,0,4,2,1,0,3,3,4.5
True,2023-03-28,17,9,GOLDEN STATE WARRIORS,HOME,NEW ORLEANS PELICANS,WIN,2047,6,16,5,11,0,0,0,2,1,2,1,1,3,10.0
True,2023-03-31,31,10,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,2057,11,18,7,14,2,2,0,2,2,1,0,1,1,24.4
True,2023-04-02,25,0,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,LOSS,2346,9,28,5,16,2,2,1,4,4,1,0,1,3,12.5
True,2023-04-07,29,28,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,WIN,2070,11,19,5,8,2,2,0,2,2,0,2,2,1,21.1
True,2023-04-09,20,24,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1300,7,14,6,11,0,0,0,5,1,0,0,3,2,11.4
