active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,20,25,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,1768,8,14,4,7,0,0,1,5,4,1,1,1,5,17.1
True,2022-10-21,23,7,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,2245,8,17,2,8,5,7,3,5,3,3,1,0,2,22.1
True,2022-10-23,24,14,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1890,10,19,2,6,2,3,1,4,1,3,2,0,2,20.5
True,2022-10-25,16,-25,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1880,7,17,2,7,0,0,2,4,3,1,1,0,4,11.7
True,2022-10-27,18,17,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,2201,5,10,2,5,6,6,3,7,2,1,1,2,4,16.7
True,2022-10-29,10,-3,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE HORNETS,LOSS,2452,4,13,2,6,0,0,2,4,4,1,0,0,2,8.1
True,2022-10-30,10,-25,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,LOSS,1506,4,15,1,3,1,1,2,1,1,1,1,1,2,3.4
True,2022-11-01,21,8,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,2079,8,12,4,7,1,2,1,3,5,0,2,1,3,19.7
True,2022-11-03,15,3,GOLDEN STATE WARRIORS,AWAY,ORLANDO MAGIC,LOSS,1977,6,12,2,5,1,3,1,2,3,0,2,3,3,8.8
True,2022-11-07,25,16,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,2414,10,17,4,8,1,2,1,9,2,2,1,4,2,19.4
True,2022-11-11,20,-3,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,WIN,2198,8,13,1,4,3,3,1,5,0,2,1,3,4,14.4
True,2022-11-13,26,-15,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,2059,10,18,3,9,3,4,2,2,2,2,0,0,3,21.2
True,2022-11-14,10,13,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,1400,4,10,2,5,0,0,1,3,1,1,0,2,1,5.5
True,2022-11-16,14,-13,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1911,5,11,4,6,0,0,0,2,1,0,0,3,4,5.0
True,2022-11-18,20,20,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,WIN,1818,8,15,3,8,1,4,3,4,2,0,0,1,4,13.6
True,2022-11-20,22,8,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,2192,8,16,6,11,0,0,0,5,0,2,0,2,3,14.3
True,2022-11-23,31,28,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,1924,12,18,6,10,1,1,1,3,2,3,1,0,3,28.7
True,2022-11-25,20,11,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,2053,8,20,3,6,1,1,5,4,5,3,1,2,4,17.5
True,2022-11-27,17,14,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1883,7,12,3,6,0,0,1,2,2,2,0,2,4,12.5
True,2022-11-29,10,-23,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,1637,4,11,1,6,1,2,0,1,2,0,0,0,2,4.4
True,2022-12-02,12,11,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,1804,5,10,2,6,0,2,1,1,1,0,1,2,2,5.8
True,2022-12-03,36,34,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,WIN,2026,14,19,8,10,0,2,2,3,2,2,1,1,1,32.5
True,2023-01-07,12,-22,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,LOSS,1145,4,12,2,7,2,2,0,3,2,1,0,3,3,4.3
True,2023-01-10,10,-15,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1716,5,16,0,4,0,1,5,0,2,5,2,0,2,10.9
True,2023-01-13,16,18,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,WIN,1649,7,17,2,8,0,0,3,2,2,1,2,1,3,11.2
True,2023-01-15,11,-4,GOLDEN STATE WARRIORS,AWAY,CHICAGO BULLS,LOSS,1732,4,13,2,8,1,4,1,4,3,0,0,0,3,5.1
True,2023-01-16,14,-12,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,WIN,1905,6,15,1,6,1,1,0,3,4,0,0,1,4,7.0
True,2023-01-19,20,-7,GOLDEN STATE WARRIORS,AWAY,BOSTON CELTICS,LOSS,2386,6,18,3,8,5,8,2,2,3,1,4,2,3,13.3
True,2023-01-22,4,-4,GOLDEN STATE WARRIORS,HOME,BROOKLYN NETS,LOSS,1607,2,9,0,3,0,0,1,1,1,1,0,0,1,0.8
True,2023-01-30,15,10,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,WIN,1935,7,13,1,4,0,0,0,4,1,1,2,1,4,10.4
True,2023-02-01,16,-8,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2107,7,13,1,4,1,2,2,5,3,0,0,2,2,11.5
True,2023-02-02,9,-13,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,LOSS,1878,3,14,2,3,1,3,3,7,2,0,0,2,4,1.6
True,2023-02-04,9,6,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,1714,4,6,0,1,1,2,0,0,1,0,0,3,2,2.9
True,2023-02-06,18,25,GOLDEN STATE WARRIORS,HOME,OKLAHOMA CITY THUNDER,WIN,1916,8,15,1,5,1,2,2,1,4,1,1,2,3,13.3
True,2023-02-08,18,-2,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2217,7,14,2,3,2,2,4,6,4,4,0,0,5,20.4
