active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,8,-11,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,991,4,6,0,0,0,4,1,6,0,0,1,0,2,6.2
True,2022-10-21,11,-14,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,972,4,5,0,0,3,3,1,4,1,0,0,1,4,9.1
True,2022-10-23,14,-10,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1187,5,7,0,0,4,6,0,6,3,0,0,2,3,11.0
True,2022-10-25,12,-19,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1084,5,8,0,0,2,2,2,1,0,0,2,0,1,11.1
True,2022-10-27,10,2,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,832,5,8,0,0,0,0,3,3,0,0,0,2,2,6.6
True,2022-10-29,0,-5,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE HORNETS,LOSS,284,0,2,0,0,0,0,0,0,1,0,0,0,3,-1.9
True,2022-10-30,6,9,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,LOSS,784,2,4,0,0,2,2,1,3,1,0,0,0,2,5.5
True,2022-11-01,5,-9,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,567,2,4,0,0,1,2,0,0,0,0,1,1,3,1.1
True,2022-11-03,2,-9,GOLDEN STATE WARRIORS,AWAY,ORLANDO MAGIC,LOSS,574,1,3,0,0,0,0,1,2,1,1,0,0,3,2.1
True,2022-11-04,5,-3,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,LOSS,996,1,1,0,0,3,4,1,5,2,0,0,2,3,4.7
True,2022-11-14,2,-4,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,554,1,3,0,0,0,0,1,1,2,0,0,0,0,2.7
True,2022-12-07,3,-3,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,302,1,2,0,0,1,2,1,1,0,0,0,0,0,2.6
True,2022-12-16,6,-7,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,LOSS,673,3,5,0,0,0,0,1,3,0,0,0,2,3,2.1
True,2022-12-18,0,-1,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,141,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7
True,2022-12-20,4,-29,GOLDEN STATE WARRIORS,AWAY,NEW YORK KNICKS,LOSS,1325,1,4,0,1,2,2,0,3,0,1,2,2,5,0.9
True,2022-12-21,30,-12,GOLDEN STATE WARRIORS,AWAY,BROOKLYN NETS,LOSS,1668,12,14,1,1,5,8,1,5,2,0,1,1,1,26.7
True,2022-12-25,0,8,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,497,0,0,0,0,0,0,0,5,0,0,0,0,1,1.1
True,2022-12-27,8,1,GOLDEN STATE WARRIORS,HOME,CHARLOTTE HORNETS,WIN,584,4,7,0,0,0,0,1,1,1,0,0,1,0,5.4
True,2022-12-28,4,-2,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,441,2,4,0,0,0,0,2,2,0,0,0,0,1,3.6
True,2023-02-02,9,7,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,LOSS,995,3,4,0,0,3,3,0,2,0,1,0,0,2,8.2
True,2023-02-06,6,4,GOLDEN STATE WARRIORS,HOME,OKLAHOMA CITY THUNDER,WIN,281,3,3,0,0,0,0,0,2,0,0,0,0,0,5.7
True,2023-02-15,11,-9,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,1410,5,9,0,1,1,2,2,3,0,0,0,0,1,8.2
True,2023-02-23,8,16,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,1424,4,10,0,1,0,0,2,8,0,0,1,3,3,2.9
True,2023-02-25,10,-1,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,1225,5,9,0,1,0,0,0,10,0,0,0,2,6,4.3
True,2023-02-27,23,-11,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,LOSS,1598,9,11,1,1,4,6,4,3,0,0,0,0,0,21.8
True,2023-03-01,7,-16,DETROIT PISTONS,HOME,CHICAGO BULLS,LOSS,1750,3,5,0,1,1,2,3,6,2,0,0,3,4,5.0
True,2023-03-04,3,-26,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,1429,1,6,0,1,1,2,0,9,1,1,2,4,3,-0.6
True,2023-03-06,12,-16,DETROIT PISTONS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1424,5,8,0,0,2,2,2,5,0,0,3,4,6,7.0
True,2023-03-07,21,-10,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,LOSS,2056,10,13,0,0,1,2,2,3,3,1,2,2,2,19.5
True,2023-03-09,16,13,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,LOSS,1607,8,13,0,0,0,0,3,10,0,0,1,0,3,14.7
True,2023-03-11,16,9,DETROIT PISTONS,HOME,INDIANA PACERS,LOSS,1550,6,11,1,3,3,5,3,6,0,0,1,2,4,10.9
True,2023-03-13,18,-1,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,1468,8,15,0,1,2,4,5,9,1,0,3,2,2,16.1
True,2023-03-14,12,-9,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,1854,4,15,0,1,4,4,5,5,1,1,1,0,1,10.1
True,2023-03-16,14,-13,DETROIT PISTONS,HOME,DENVER NUGGETS,LOSS,1795,7,14,0,0,0,0,3,6,1,0,0,2,3,8.4
True,2023-03-19,22,-5,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,1984,10,13,1,1,1,1,4,9,0,0,0,1,2,20.6
