active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,6,-12,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,1502,2,3,1,1,1,2,4,4,2,4,0,2,2,10.9
True,2022-10-24,2,5,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,637,1,3,0,0,0,2,3,1,1,0,0,2,2,-0.2
True,2022-10-26,2,-5,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,509,1,1,0,0,0,0,2,3,0,0,0,2,3,0.8
True,2022-10-28,2,0,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,305,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2022-10-30,3,-4,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,747,1,1,1,1,0,0,3,4,1,1,0,0,1,7.3
True,2022-10-31,2,4,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,626,1,2,0,0,0,0,2,6,1,0,1,1,0,4.6
True,2022-11-02,6,6,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,745,3,5,0,1,0,1,4,2,1,2,0,2,4,5.8
True,2022-11-05,7,-16,HOUSTON ROCKETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1472,2,4,0,0,3,4,0,3,1,2,0,2,2,5.4
True,2022-11-07,3,1,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,WIN,1137,1,2,1,1,0,0,2,4,2,0,1,1,2,4.9
True,2022-11-09,4,7,HOUSTON ROCKETS,AWAY,TORONTO RAPTORS,LOSS,844,2,5,0,0,0,0,4,4,3,0,2,0,1,8.4
True,2022-11-12,4,1,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,1397,1,2,1,1,1,2,1,5,0,1,1,2,2,3.7
True,2022-11-14,5,-6,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,1039,2,3,0,0,1,2,2,2,2,1,3,0,3,8.6
True,2022-11-16,12,16,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1307,5,5,2,2,0,0,1,8,3,0,3,0,3,16.6
True,2022-11-18,4,-12,HOUSTON ROCKETS,HOME,INDIANA PACERS,LOSS,1198,2,4,0,0,0,0,0,4,0,1,0,0,2,3.4
True,2022-11-20,3,-8,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,1335,1,4,1,1,0,0,3,3,1,2,0,2,1,3.9
True,2022-11-25,9,5,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1164,1,2,0,1,7,8,5,0,3,1,2,0,5,13.6
True,2022-11-26,0,-4,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,WIN,798,0,0,0,0,0,0,1,1,0,1,0,1,2,0.2
True,2022-11-28,4,-10,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,639,2,2,0,0,0,0,0,3,0,0,0,1,2,2.5
True,2022-11-30,2,-11,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,887,1,3,0,2,0,1,0,2,1,1,2,1,2,1.8
True,2022-12-02,1,5,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,WIN,635,0,0,0,0,1,2,0,1,1,2,0,0,1,3.2
True,2022-12-03,4,-1,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1026,2,3,0,0,0,0,2,8,0,0,1,0,2,6.4
True,2022-12-05,0,-4,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,WIN,375,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2022-12-08,0,-4,HOUSTON ROCKETS,AWAY,SAN ANTONIO SPURS,LOSS,590,0,2,0,0,0,0,0,4,0,1,0,0,1,0.4
True,2022-12-11,2,-4,HOUSTON ROCKETS,HOME,MILWAUKEE BUCKS,WIN,632,1,3,0,2,0,0,0,2,0,0,1,0,0,1.6
True,2022-12-13,0,0,HOUSTON ROCKETS,HOME,PHOENIX SUNS,WIN,609,0,0,0,0,0,0,2,3,1,2,1,0,1,5.3
True,2022-12-15,2,12,HOUSTON ROCKETS,HOME,MIAMI HEAT,LOSS,1200,1,1,0,0,0,2,5,4,3,0,0,0,1,7.3
