active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,16,-16,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,LOSS,1933,7,20,1,7,1,1,1,4,3,1,1,3,3,6.3
True,2022-10-21,33,-12,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,2110,13,21,4,5,3,4,0,5,2,1,0,2,1,24.6
True,2022-10-22,22,-5,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,1899,6,19,4,7,6,6,1,3,2,1,0,2,3,11.9
True,2022-10-24,25,-1,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,2145,9,16,4,8,3,3,2,1,3,0,0,3,1,17.8
True,2022-10-26,17,-19,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,2164,6,20,2,9,3,4,2,5,2,1,1,2,2,8.2
True,2022-10-28,11,-19,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1891,4,19,2,10,1,2,0,6,2,1,0,1,1,1.7
True,2022-10-30,15,-7,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,1866,5,18,2,7,3,4,0,1,2,1,0,1,0,5.7
True,2022-10-31,13,1,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,2170,4,17,1,5,4,7,0,4,1,1,1,1,2,3.3
True,2022-11-02,22,-13,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,1802,9,17,3,8,1,1,0,4,1,1,0,3,3,12.4
True,2022-11-05,21,-16,HOUSTON ROCKETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1752,6,16,4,11,5,7,1,1,4,0,0,5,1,9.8
True,2022-11-07,34,13,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,WIN,2275,12,18,5,11,5,7,0,3,3,2,1,3,3,26.9
True,2022-11-09,21,-8,HOUSTON ROCKETS,AWAY,TORONTO RAPTORS,LOSS,2427,8,14,2,6,3,4,1,5,6,0,0,4,1,16.0
True,2022-11-12,33,-12,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,2293,11,20,5,10,6,6,0,2,6,0,0,5,0,23.2
True,2022-11-14,25,-16,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,2122,10,19,3,8,2,2,0,6,7,1,0,3,0,20.4
True,2022-11-16,17,9,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,2156,5,15,1,4,6,7,1,6,6,0,1,5,2,9.7
True,2022-11-18,16,0,HOUSTON ROCKETS,HOME,INDIANA PACERS,LOSS,1900,2,10,0,4,12,15,0,5,5,2,0,6,4,8.0
True,2022-11-20,16,-24,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,2274,4,15,1,8,7,8,2,3,4,2,0,0,1,13.4
True,2022-11-25,30,6,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1976,10,17,3,9,7,9,0,5,5,0,0,6,6,17.9
True,2022-11-26,28,17,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,WIN,2062,11,19,6,9,0,0,0,2,9,0,0,4,1,21.6
True,2022-11-28,17,-14,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,1844,5,15,1,7,6,8,0,2,7,0,0,5,2,7.4
True,2022-11-30,16,-16,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,2094,6,16,1,7,3,5,1,2,3,0,0,2,1,7.4
True,2022-12-02,30,-8,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,WIN,2241,8,24,2,7,12,16,1,2,2,3,0,5,2,14.7
True,2022-12-03,13,-18,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1846,6,19,0,5,1,1,0,1,3,1,0,2,0,3.5
True,2022-12-05,27,12,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,WIN,2654,9,20,0,7,9,10,2,2,7,1,0,7,2,16.3
True,2022-12-08,14,-11,HOUSTON ROCKETS,AWAY,SAN ANTONIO SPURS,LOSS,1782,5,17,2,3,2,2,1,2,2,0,1,0,1,7.1
True,2022-12-11,30,-3,HOUSTON ROCKETS,HOME,MILWAUKEE BUCKS,WIN,2016,12,21,3,6,3,4,0,7,3,0,0,2,0,21.9
True,2022-12-13,26,18,HOUSTON ROCKETS,HOME,PHOENIX SUNS,WIN,2228,7,17,1,7,11,12,1,6,4,0,0,2,0,19.8
True,2022-12-15,22,7,HOUSTON ROCKETS,HOME,MIAMI HEAT,LOSS,2136,8,21,1,6,5,6,1,4,1,3,1,3,2,12.6
True,2022-12-17,15,-22,HOUSTON ROCKETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1881,5,16,0,6,5,9,0,5,4,0,1,2,2,6.4
True,2022-12-19,13,-15,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,LOSS,1885,3,12,1,3,6,7,0,1,2,2,0,2,1,6.7
True,2022-12-21,21,0,HOUSTON ROCKETS,HOME,ORLANDO MAGIC,LOSS,2129,8,17,4,11,1,2,1,7,1,0,0,2,4,11.8
True,2022-12-23,23,6,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,2329,6,17,0,4,11,12,1,7,4,2,0,3,0,17.7
True,2022-12-26,24,16,HOUSTON ROCKETS,AWAY,CHICAGO BULLS,WIN,2110,9,15,6,10,0,2,0,6,3,1,0,0,1,20.8
True,2022-12-27,28,-19,HOUSTON ROCKETS,AWAY,BOSTON CELTICS,LOSS,1975,11,22,3,11,3,3,0,4,2,0,0,4,0,15.6
True,2022-12-29,23,-16,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,LOSS,1918,7,15,4,7,5,8,0,4,4,0,0,3,1,14.7
True,2022-12-31,16,-16,HOUSTON ROCKETS,HOME,NEW YORK KNICKS,LOSS,2095,4,12,3,8,5,6,1,2,3,0,0,5,3,6.0
True,2023-01-02,20,-8,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,1939,5,17,2,5,8,12,1,4,4,1,0,0,4,12.6
True,2023-01-04,16,-8,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,1935,5,15,2,8,4,4,1,3,4,0,1,1,0,11.6
True,2023-01-05,30,-12,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,2256,8,24,4,12,10,11,0,4,4,0,0,3,1,16.6
True,2023-01-08,9,3,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1989,4,15,1,6,0,0,0,5,5,2,0,3,2,3.3
