active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,3,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,LOSS,843,0,2,0,2,0,0,0,1,1,0,0,0,1,-0.8
True,2022-10-21,3,5,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,770,1,2,1,2,0,0,0,1,0,0,0,0,1,1.9
True,2022-10-22,1,-13,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,754,0,1,0,1,1,1,0,0,0,0,0,1,1,-1.1
True,2022-10-24,3,10,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,692,1,5,1,5,0,0,0,2,0,0,1,0,2,0.4
True,2022-10-26,11,0,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,967,3,5,3,5,2,2,0,0,1,1,0,0,3,9.2
True,2022-10-28,3,-4,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,824,0,2,0,2,3,3,0,1,2,0,0,0,1,2.9
True,2022-10-30,8,-8,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,1014,2,7,2,7,2,2,0,1,0,1,0,1,3,3.0
True,2022-10-31,3,-2,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,908,1,2,1,2,0,0,0,2,0,1,0,1,1,2.2
True,2022-11-02,3,3,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,418,1,3,1,3,0,0,1,0,0,0,0,1,1,0.6
True,2022-11-05,9,7,HOUSTON ROCKETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1094,3,7,3,6,0,0,0,1,1,0,0,1,0,5.3
True,2022-11-07,6,-11,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,WIN,487,2,2,2,2,0,0,0,0,0,0,0,0,1,5.0
True,2022-11-09,0,-8,HOUSTON ROCKETS,AWAY,TORONTO RAPTORS,LOSS,231,0,3,0,3,0,0,0,0,0,0,0,0,0,-2.1
True,2022-11-14,0,6,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,255,0,1,0,1,0,0,0,1,0,1,0,0,0,0.6
True,2022-11-18,3,-8,HOUSTON ROCKETS,HOME,INDIANA PACERS,LOSS,869,1,4,1,3,0,0,0,0,0,1,0,0,2,0.8
True,2022-11-25,20,5,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1365,4,6,3,5,9,9,1,3,2,2,0,1,3,20.2
True,2022-11-26,11,2,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,WIN,1080,3,4,3,4,2,3,0,2,0,0,0,0,3,8.4
True,2022-11-28,3,0,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,898,1,6,1,6,0,0,0,2,0,1,0,0,2,0.0
True,2022-11-30,6,0,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,1236,2,4,2,4,0,0,0,1,0,0,0,0,2,3.5
True,2022-12-02,3,14,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,WIN,691,1,1,1,1,0,0,0,2,0,1,0,0,3,3.1
True,2022-12-03,6,9,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1111,1,3,1,3,3,3,0,1,2,1,0,1,0,6.0
True,2022-12-05,5,-7,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,WIN,648,1,5,1,5,2,3,1,0,0,2,0,0,1,3.8
True,2022-12-11,5,10,HOUSTON ROCKETS,HOME,MILWAUKEE BUCKS,WIN,622,2,4,1,3,0,0,0,1,0,0,2,0,0,4.7
