active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,15,-6,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,LOSS,1325,5,9,1,2,4,4,4,5,0,0,0,6,3,7.8
True,2022-10-21,23,13,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,1620,9,13,1,2,4,10,5,7,1,1,2,1,3,21.6
True,2022-10-22,9,-8,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,1378,4,9,0,3,1,2,3,6,2,1,1,1,2,9.1
True,2022-10-28,14,-8,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1531,6,12,1,1,1,1,6,5,1,0,3,1,4,13.9
True,2022-10-30,16,-1,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,1751,6,10,0,2,4,4,3,6,2,1,0,1,3,15.5
True,2022-10-31,14,-8,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1787,4,8,0,0,6,6,2,7,3,0,1,2,3,13.1
True,2022-11-02,26,-13,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,2008,8,13,0,1,10,11,3,10,2,1,0,0,6,24.8
True,2022-11-05,17,0,HOUSTON ROCKETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1223,8,9,0,0,1,3,5,2,5,0,0,2,3,17.5
True,2022-11-07,20,6,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,WIN,1742,6,14,0,1,8,10,7,3,4,2,1,3,2,19.3
True,2022-11-09,17,-13,HOUSTON ROCKETS,AWAY,TORONTO RAPTORS,LOSS,1820,5,8,0,0,7,7,3,5,1,1,3,3,2,17.0
True,2022-11-12,6,-5,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,1138,3,6,0,1,0,0,0,3,1,1,0,1,6,2.2
True,2022-11-14,16,-11,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,1770,6,11,0,2,4,6,1,3,1,0,0,4,5,6.2
True,2022-11-16,14,-7,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1573,5,10,0,0,4,5,4,3,1,0,5,4,2,11.7
True,2022-11-18,11,4,HOUSTON ROCKETS,HOME,INDIANA PACERS,LOSS,1681,4,13,1,1,2,2,3,6,4,1,0,1,4,8.6
True,2022-11-20,4,0,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,1405,1,3,0,0,2,2,1,6,3,1,0,3,3,3.7
True,2022-11-26,21,17,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,WIN,2082,10,17,0,1,1,1,6,13,7,3,2,3,6,25.1
True,2022-11-28,18,2,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,1401,7,14,0,2,4,5,3,4,3,0,0,4,4,10.4
True,2022-11-30,18,-4,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,1768,8,12,0,2,2,2,3,8,1,0,0,2,3,14.8
True,2022-12-02,13,-19,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,WIN,1434,5,7,0,0,3,5,3,1,2,2,1,2,2,13.0
True,2022-12-03,12,-24,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1207,6,9,0,0,0,0,1,3,1,0,1,1,2,9.3
True,2022-12-05,8,8,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,WIN,2065,4,9,0,0,0,0,5,3,1,1,0,4,6,3.0
True,2022-12-08,16,-12,HOUSTON ROCKETS,AWAY,SAN ANTONIO SPURS,LOSS,1710,8,17,0,0,0,0,7,4,2,0,0,3,3,10.6
True,2022-12-11,8,2,HOUSTON ROCKETS,HOME,MILWAUKEE BUCKS,WIN,1632,4,10,0,0,0,0,2,6,3,1,1,1,2,7.8
True,2022-12-13,10,-3,HOUSTON ROCKETS,HOME,PHOENIX SUNS,WIN,1726,4,10,0,0,2,2,6,10,2,0,1,3,1,10.5
True,2022-12-15,12,-4,HOUSTON ROCKETS,HOME,MIAMI HEAT,LOSS,1414,6,10,0,0,0,0,3,2,2,0,1,1,5,9.2
True,2022-12-17,10,-12,HOUSTON ROCKETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1274,4,11,0,1,2,2,4,4,0,0,3,1,1,8.6
True,2022-12-19,22,-16,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,LOSS,1422,8,10,0,0,6,8,1,3,3,1,1,0,3,21.6
True,2022-12-21,13,0,HOUSTON ROCKETS,HOME,ORLANDO MAGIC,LOSS,1902,5,8,0,1,3,6,1,11,6,0,0,2,3,13.2
True,2022-12-23,19,12,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,1595,6,9,0,0,7,8,2,6,7,1,0,0,3,22.6
True,2022-12-26,25,24,HOUSTON ROCKETS,AWAY,CHICAGO BULLS,WIN,1939,10,12,1,1,4,4,1,10,6,1,2,4,3,25.7
True,2022-12-27,0,-10,HOUSTON ROCKETS,AWAY,BOSTON CELTICS,LOSS,1316,0,3,0,0,0,0,4,5,2,1,0,1,2,2.8
True,2022-12-29,11,-14,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,LOSS,1010,3,7,0,1,5,6,3,3,1,0,0,1,5,7.6
True,2023-01-02,16,5,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,1534,5,7,0,0,6,8,1,5,5,0,1,2,5,14.7
True,2023-01-04,13,-3,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,1314,5,11,0,0,3,3,3,1,5,2,1,1,3,13.7
True,2023-01-05,20,-1,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,1949,7,14,0,0,6,8,8,6,3,1,1,3,5,18.4
