active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,17,-9,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,LOSS,1974,6,17,3,11,2,2,1,6,1,0,0,0,4,9.1
True,2022-10-21,10,-31,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,2075,3,14,2,8,2,2,1,0,1,0,2,0,5,2.2
True,2022-10-22,13,-11,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,1656,5,15,3,7,0,0,2,9,1,0,2,0,3,9.5
True,2022-10-24,21,2,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,2031,6,10,3,5,6,6,3,6,2,0,3,1,5,20.8
True,2022-10-26,10,-3,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,1933,3,10,2,6,2,4,1,8,0,1,0,2,4,3.9
True,2022-10-28,12,-10,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1933,4,13,2,5,2,2,0,2,1,1,1,1,4,4.9
True,2022-10-30,8,-13,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,1503,2,8,2,6,2,2,0,7,0,0,1,2,3,2.8
True,2022-10-31,4,-2,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1819,2,8,0,3,0,0,1,4,1,0,1,2,2,-0.3
True,2022-11-02,2,-6,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,1611,1,10,0,5,0,0,1,3,0,0,1,2,2,-5.1
True,2022-11-07,3,-4,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,WIN,1313,1,4,1,4,0,0,0,1,1,0,0,3,4,-3.0
True,2022-11-09,15,-19,HOUSTON ROCKETS,AWAY,TORONTO RAPTORS,LOSS,1844,4,11,2,8,5,6,2,8,0,0,0,1,4,9.7
True,2022-11-12,9,-21,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,1665,4,10,0,2,1,2,6,9,2,0,2,1,4,10.3
True,2022-11-14,7,-14,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,1711,2,6,2,4,1,2,1,5,1,3,0,0,3,7.9
True,2022-11-16,10,-3,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1808,3,10,2,5,2,2,1,8,0,0,2,0,4,7.1
True,2022-11-18,12,-2,HOUSTON ROCKETS,HOME,INDIANA PACERS,LOSS,2182,4,14,2,8,2,2,1,7,1,0,2,2,4,5.1
True,2022-11-20,22,-14,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,1943,8,14,3,9,3,4,1,6,1,0,0,2,2,15.4
True,2022-11-25,21,14,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,2283,6,17,5,11,4,4,2,7,1,1,1,0,3,16.2
True,2022-11-26,15,23,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,WIN,1885,5,11,3,8,2,2,2,11,0,0,1,1,1,13.3
True,2022-11-28,9,-2,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,1046,3,4,3,4,0,0,1,2,1,0,0,1,3,7.2
True,2022-11-30,13,-15,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,1860,5,12,3,6,0,0,0,4,2,1,1,1,4,8.3
True,2022-12-02,17,-5,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,WIN,1826,7,12,3,5,0,0,0,6,0,1,1,0,0,14.9
True,2022-12-03,6,-32,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1373,3,7,0,2,0,0,2,3,0,0,0,3,3,0.4
