active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-26,7,5,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,1218,3,5,1,1,0,0,2,3,1,0,0,2,5,3.7
True,2022-10-28,9,-4,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1067,3,8,0,3,3,4,2,1,6,2,0,1,6,8.7
True,2022-10-30,9,-11,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,1800,4,7,1,1,0,0,4,1,3,1,0,2,4,8.3
True,2023-01-05,11,-18,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,1155,5,8,1,2,0,0,1,1,2,2,0,0,2,11.0
True,2023-01-08,3,1,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1078,1,6,1,4,0,0,2,2,4,1,1,3,2,1.9
True,2023-01-11,2,-5,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,LOSS,1125,1,5,0,0,0,0,1,4,5,2,0,1,2,4.5
True,2023-01-13,6,-23,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,LOSS,1144,2,6,0,2,2,2,0,1,3,1,0,1,3,3.8
True,2023-01-16,7,5,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,LOSS,1060,3,8,0,1,1,1,1,0,4,0,0,0,3,4.9
True,2023-01-18,4,14,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,LOSS,1413,1,4,0,1,2,2,0,4,1,0,1,1,5,1.2
True,2023-01-21,8,-7,HOUSTON ROCKETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1272,2,4,2,2,2,4,2,1,4,0,0,4,3,4.5
True,2023-01-23,11,2,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1338,3,6,0,1,5,6,1,6,1,1,0,4,3,6.6
True,2023-01-25,10,16,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,LOSS,1259,5,9,0,1,0,0,2,6,4,0,0,0,2,10.9
True,2023-01-28,13,6,HOUSTON ROCKETS,AWAY,DETROIT PISTONS,WIN,1204,6,10,0,0,1,1,3,0,2,0,0,3,4,7.3
True,2023-02-01,4,4,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,WIN,1214,2,6,0,1,0,0,1,5,3,0,0,2,5,0.9
True,2023-02-03,3,-23,HOUSTON ROCKETS,HOME,TORONTO RAPTORS,LOSS,1007,1,5,0,0,1,4,1,1,0,0,0,1,2,-2.1
True,2023-02-06,9,-6,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,LOSS,1283,4,7,0,1,1,2,2,2,3,0,1,0,3,8.9
True,2023-02-08,16,-5,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,LOSS,1512,7,14,1,2,1,1,4,2,2,0,0,3,2,10.0
True,2023-02-10,5,-13,HOUSTON ROCKETS,AWAY,MIAMI HEAT,LOSS,1466,2,7,0,0,1,3,2,2,1,0,0,1,4,0.2
True,2023-02-13,6,-12,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,LOSS,1455,2,3,0,1,2,2,0,2,1,1,1,2,1,5.3
True,2023-02-15,11,-23,HOUSTON ROCKETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1126,4,7,1,2,2,5,1,1,1,0,0,2,4,4.6
True,2023-02-24,14,-7,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1708,6,12,1,3,1,1,0,3,4,3,0,1,3,12.5
True,2023-02-26,17,-7,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1513,7,11,0,2,3,4,1,1,2,0,0,1,5,11.1
True,2023-03-01,11,-3,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,1095,4,9,0,2,3,4,1,2,1,0,0,0,3,6.7
True,2023-03-05,16,10,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,WIN,1371,5,7,1,1,5,5,1,1,1,1,1,0,2,15.7
True,2023-03-07,11,2,HOUSTON ROCKETS,HOME,BROOKLYN NETS,LOSS,1347,4,7,1,2,2,2,1,4,1,1,0,2,4,7.7
True,2023-03-09,13,-9,HOUSTON ROCKETS,AWAY,INDIANA PACERS,LOSS,1742,5,11,0,1,3,4,2,6,3,0,1,0,6,10.5
True,2023-03-11,9,10,HOUSTON ROCKETS,HOME,CHICAGO BULLS,LOSS,1379,3,10,1,3,2,2,0,5,6,1,0,3,2,6.1
True,2023-03-13,11,-6,HOUSTON ROCKETS,HOME,BOSTON CELTICS,WIN,1446,4,10,0,3,3,4,0,2,2,2,0,3,6,3.8
True,2023-03-15,13,3,HOUSTON ROCKETS,HOME,LOS ANGELES LAKERS,WIN,1251,6,7,0,1,1,1,1,3,4,0,0,2,5,10.9
True,2023-03-17,12,17,HOUSTON ROCKETS,HOME,NEW ORLEANS PELICANS,WIN,1277,4,6,1,2,3,5,1,5,5,0,1,0,1,14.6
True,2023-03-19,2,-7,HOUSTON ROCKETS,HOME,NEW ORLEANS PELICANS,LOSS,1323,1,4,0,0,0,0,1,0,4,2,0,2,4,1.5
