active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-14,1,6,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,255,0,0,0,0,1,2,0,0,0,0,0,0,0,0.6
True,2022-12-08,2,11,HOUSTON ROCKETS,AWAY,SAN ANTONIO SPURS,LOSS,270,1,2,0,1,0,0,0,0,0,0,0,0,1,0.6
True,2022-12-15,2,-7,HOUSTON ROCKETS,HOME,MIAMI HEAT,LOSS,731,1,2,0,1,0,0,0,3,5,0,0,0,1,5.0
True,2022-12-17,6,6,HOUSTON ROCKETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,926,3,6,0,2,0,0,1,2,2,1,0,0,2,5.9
True,2022-12-19,9,7,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,LOSS,241,4,5,1,2,0,0,0,0,0,0,0,0,0,7.1
True,2022-12-23,2,-2,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,725,1,5,0,1,0,0,0,1,1,0,0,0,1,-0.5
True,2022-12-26,0,-2,HOUSTON ROCKETS,AWAY,CHICAGO BULLS,WIN,454,0,3,0,2,0,0,0,1,2,2,0,1,0,0.6
True,2022-12-27,10,-3,HOUSTON ROCKETS,AWAY,BOSTON CELTICS,LOSS,1220,4,10,2,5,0,0,0,5,3,1,0,0,1,8.8
True,2022-12-29,3,6,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,LOSS,832,1,6,0,3,1,2,0,0,1,0,0,0,1,-0.9
True,2022-12-31,1,-3,HOUSTON ROCKETS,HOME,NEW YORK KNICKS,LOSS,755,0,3,0,2,1,2,0,2,0,0,0,0,3,-2.1
True,2023-01-02,2,-2,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,487,1,2,0,1,0,0,0,0,1,0,0,0,0,1.7
True,2023-01-04,0,-1,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,771,0,2,0,1,0,0,0,1,0,1,0,2,4,-3.7
True,2023-01-15,2,-7,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,744,1,4,0,2,0,0,0,0,2,0,0,1,1,-0.4
True,2023-01-21,3,-3,HOUSTON ROCKETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,889,1,3,1,3,0,0,0,2,1,1,0,0,3,2.4
True,2023-01-23,0,-14,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,WIN,773,0,3,0,1,0,0,0,1,1,1,0,1,0,-1.1
True,2023-01-26,10,3,HOUSTON ROCKETS,HOME,CLEVELAND CAVALIERS,LOSS,1726,4,10,1,5,1,2,0,3,3,1,0,3,1,4.8
True,2023-01-28,2,-3,HOUSTON ROCKETS,AWAY,DETROIT PISTONS,WIN,225,1,2,0,1,0,0,0,0,0,0,0,1,1,-0.4
True,2023-02-03,0,0,HOUSTON ROCKETS,HOME,TORONTO RAPTORS,LOSS,127,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2023-02-04,20,-15,HOUSTON ROCKETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1501,9,16,2,7,0,0,0,0,2,0,1,0,3,13.3
True,2023-02-06,2,-2,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,LOSS,147,1,3,0,1,0,0,0,0,0,0,0,0,0,0.3
True,2023-02-10,6,10,HOUSTON ROCKETS,AWAY,MIAMI HEAT,LOSS,1358,2,7,0,3,2,3,1,5,6,0,0,0,1,7.5
True,2023-02-13,4,-11,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,LOSS,1214,2,5,0,0,0,0,0,2,3,1,0,0,2,4.2
True,2023-02-15,8,-24,HOUSTON ROCKETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1135,3,11,2,6,0,0,0,1,0,0,0,0,0,1.8
True,2023-02-24,15,2,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,LOSS,2019,5,12,3,6,2,3,0,2,4,2,0,1,1,12.2
True,2023-02-26,10,-4,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1915,3,10,2,7,2,2,0,4,3,1,0,1,0,7.5
True,2023-02-28,12,-4,HOUSTON ROCKETS,HOME,DENVER NUGGETS,LOSS,1700,5,10,2,5,0,0,0,1,5,0,1,1,0,10.5
True,2023-03-01,0,-2,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,298,0,5,0,4,0,0,0,1,0,0,0,1,0,-4.2
True,2023-03-05,5,3,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,WIN,402,2,4,1,3,0,0,0,1,2,0,0,1,0,3.7
True,2023-03-07,0,0,HOUSTON ROCKETS,HOME,BROOKLYN NETS,LOSS,192,0,1,0,1,0,0,0,1,0,1,0,0,0,0.6
True,2023-03-13,0,6,HOUSTON ROCKETS,HOME,BOSTON CELTICS,WIN,680,0,2,0,2,0,0,0,1,0,0,0,0,0,-1.1
True,2023-04-09,8,2,HOUSTON ROCKETS,AWAY,WASHINGTON WIZARDS,WIN,1251,3,5,2,2,0,2,0,3,0,2,0,0,2,7.0
