active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-21,2,1,INDIANA PACERS,HOME,SAN ANTONIO SPURS,LOSS,715,1,3,0,1,0,0,0,2,1,0,2,0,1,2.6
True,2022-10-29,5,1,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,859,2,5,1,2,0,0,0,2,2,0,0,0,3,3.1
True,2022-10-31,4,14,INDIANA PACERS,AWAY,BROOKLYN NETS,LOSS,1094,2,4,0,2,0,0,0,3,1,1,0,0,6,2.2
True,2022-11-18,0,-2,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,113,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2022-11-25,2,12,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,589,1,2,0,1,0,0,0,1,1,0,0,0,2,1.2
True,2022-11-28,0,-8,INDIANA PACERS,AWAY,LOS ANGELES LAKERS,WIN,121,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2022-12-04,0,-12,INDIANA PACERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,237,0,1,0,0,0,0,0,0,0,0,0,1,2,-2.5
True,2022-12-26,2,4,INDIANA PACERS,AWAY,NEW ORLEANS PELICANS,LOSS,396,1,3,0,0,0,0,0,0,0,0,1,0,1,0.6
True,2022-12-27,0,-4,INDIANA PACERS,HOME,ATLANTA HAWKS,WIN,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-11,0,-13,INDIANA PACERS,AWAY,NEW YORK KNICKS,LOSS,778,0,1,0,0,0,0,0,3,2,2,1,1,2,2.5
True,2023-01-14,5,11,INDIANA PACERS,HOME,MEMPHIS GRIZZLIES,LOSS,486,2,5,1,2,0,0,1,1,0,0,1,2,3,0.8
True,2023-01-20,6,1,INDIANA PACERS,AWAY,DENVER NUGGETS,LOSS,321,1,2,1,1,3,4,1,2,0,1,0,0,2,6.1
True,2023-03-11,8,11,INDIANA PACERS,AWAY,DETROIT PISTONS,WIN,1302,4,8,0,2,0,0,0,5,3,0,1,0,2,7.5
True,2023-03-13,1,-10,INDIANA PACERS,AWAY,DETROIT PISTONS,LOSS,262,0,0,0,0,1,2,0,0,0,0,0,0,1,0.2
True,2023-03-24,4,1,INDIANA PACERS,AWAY,BOSTON CELTICS,LOSS,442,2,3,0,1,0,2,0,1,1,1,0,0,0,3.9
True,2023-03-29,0,2,INDIANA PACERS,HOME,MILWAUKEE BUCKS,LOSS,359,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2023-04-07,6,-15,INDIANA PACERS,HOME,DETROIT PISTONS,LOSS,1118,3,6,0,2,0,0,1,5,1,1,0,3,2,3.1
True,2023-04-09,6,-1,INDIANA PACERS,AWAY,NEW YORK KNICKS,WIN,392,3,5,0,0,0,0,1,1,3,1,0,0,1,7.4
