active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-21,14,11,INDIANA PACERS,HOME,SAN ANTONIO SPURS,LOSS,1820,5,12,2,7,2,2,1,2,3,2,0,0,4,11.4
True,2022-10-22,8,8,INDIANA PACERS,HOME,DETROIT PISTONS,WIN,556,3,6,2,3,0,0,1,1,3,0,0,1,1,6.7
True,2022-10-24,5,-2,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,1313,2,6,1,5,0,0,0,3,4,0,0,0,0,5.3
True,2022-10-26,3,-5,INDIANA PACERS,AWAY,CHICAGO BULLS,LOSS,520,1,1,1,1,0,0,0,1,2,1,0,0,1,5.0
True,2022-10-28,3,-12,INDIANA PACERS,AWAY,WASHINGTON WIZARDS,WIN,962,1,2,1,1,0,0,0,1,2,0,0,1,2,1.9
True,2022-10-29,5,-2,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,993,1,6,1,3,2,2,0,2,5,0,0,0,3,4.1
True,2022-10-31,0,-13,INDIANA PACERS,AWAY,BROOKLYN NETS,LOSS,405,0,1,0,1,0,0,1,0,0,1,1,1,1,0.3
True,2022-11-04,4,13,INDIANA PACERS,HOME,MIAMI HEAT,WIN,1666,2,8,0,4,0,0,0,3,6,0,0,1,4,1.7
True,2022-11-07,15,6,INDIANA PACERS,HOME,NEW ORLEANS PELICANS,WIN,2014,6,11,3,4,0,0,1,2,5,2,0,3,3,12.3
True,2022-11-09,8,-12,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,1736,3,6,1,3,1,1,0,4,4,2,0,4,2,6.2
True,2022-11-12,8,5,INDIANA PACERS,HOME,TORONTO RAPTORS,WIN,1293,3,5,2,3,0,0,0,2,3,0,0,1,3,6.2
True,2022-11-16,13,20,INDIANA PACERS,AWAY,CHARLOTTE HORNETS,WIN,1290,5,6,1,2,2,2,0,2,0,3,0,0,4,12.8
True,2022-11-18,8,0,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,1287,3,6,2,4,0,0,0,1,4,0,0,0,4,6.5
True,2022-11-19,0,-16,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1074,0,2,0,1,0,0,1,1,2,1,0,0,1,1.6
True,2022-11-28,12,0,INDIANA PACERS,AWAY,LOS ANGELES LAKERS,WIN,1726,4,8,4,7,0,0,1,3,1,1,2,2,4,9.1
True,2022-11-30,6,-18,INDIANA PACERS,AWAY,SACRAMENTO KINGS,LOSS,1617,3,7,0,3,0,0,0,2,4,0,0,2,3,2.5
True,2022-12-02,13,-11,INDIANA PACERS,AWAY,UTAH JAZZ,LOSS,2127,4,10,2,5,3,3,2,2,10,2,0,2,5,14.6
True,2022-12-04,16,-15,INDIANA PACERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2240,7,12,2,6,0,0,1,5,8,1,0,3,2,15.4
True,2022-12-05,31,16,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,WIN,2478,13,21,5,7,0,1,0,8,13,1,0,4,3,28.4
True,2022-12-07,7,-19,INDIANA PACERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1905,3,10,1,4,0,0,1,5,3,2,0,3,3,3.3
True,2022-12-09,3,10,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1762,1,3,1,3,0,0,0,3,2,1,0,0,6,2.2
True,2022-12-10,5,-5,INDIANA PACERS,HOME,BROOKLYN NETS,LOSS,1903,2,6,1,4,0,0,0,2,7,2,0,2,2,6.3
True,2022-12-12,18,1,INDIANA PACERS,HOME,MIAMI HEAT,LOSS,2044,6,12,3,7,3,4,0,5,2,1,1,3,3,12.0
