active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,3,5,INDIANA PACERS,HOME,WASHINGTON WIZARDS,LOSS,1350,1,8,1,5,0,0,0,4,1,0,0,0,4,-1.9
True,2022-10-21,9,0,INDIANA PACERS,HOME,SAN ANTONIO SPURS,LOSS,1267,4,9,1,3,0,0,2,2,2,0,1,1,2,6.6
True,2022-10-22,7,-3,INDIANA PACERS,HOME,DETROIT PISTONS,WIN,1395,2,5,1,3,2,2,0,1,0,0,3,1,3,4.5
True,2022-10-24,9,6,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,1040,4,9,1,4,0,0,0,2,1,0,0,1,3,3.4
True,2022-10-26,9,-10,INDIANA PACERS,AWAY,CHICAGO BULLS,LOSS,1051,4,6,1,3,0,0,0,3,2,0,1,2,4,5.8
True,2022-10-28,15,9,INDIANA PACERS,AWAY,WASHINGTON WIZARDS,WIN,1784,4,6,2,4,5,7,1,6,3,1,0,1,2,15.4
True,2022-11-09,0,3,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,1345,0,5,0,3,0,0,0,3,3,1,1,2,1,-1.2
True,2022-11-12,10,-4,INDIANA PACERS,HOME,TORONTO RAPTORS,WIN,884,3,5,2,3,2,2,0,2,2,0,1,1,3,8.2
True,2022-11-16,0,-3,INDIANA PACERS,AWAY,CHARLOTTE HORNETS,WIN,1081,0,4,0,3,0,0,0,2,0,1,0,0,1,-1.6
True,2022-11-18,0,-3,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,520,0,1,0,1,0,2,0,0,1,0,0,1,0,-1.8
True,2022-11-19,19,17,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1524,5,10,5,8,4,4,1,2,0,0,0,1,4,12.7
True,2022-11-21,9,14,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1853,3,7,2,6,1,1,0,8,2,1,0,4,4,4.5
True,2022-11-23,3,-13,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1547,1,9,1,5,0,0,2,1,1,0,0,0,3,-1.7
True,2022-11-25,10,0,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,1538,3,7,1,4,3,4,1,1,1,2,1,1,0,9.3
True,2022-11-27,2,-6,INDIANA PACERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1357,1,7,0,3,0,0,0,3,2,1,0,1,4,-1.8
True,2022-11-28,16,-10,INDIANA PACERS,AWAY,LOS ANGELES LAKERS,WIN,1386,5,10,4,7,2,2,1,3,0,1,1,0,4,12.7
True,2022-11-30,8,-8,INDIANA PACERS,AWAY,SACRAMENTO KINGS,LOSS,1421,3,10,2,5,0,0,1,3,1,1,1,1,4,3.6
True,2022-12-02,8,4,INDIANA PACERS,AWAY,UTAH JAZZ,LOSS,1051,3,8,2,4,0,0,1,2,2,4,0,0,6,7.9
True,2022-12-04,10,-19,INDIANA PACERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1448,3,8,0,3,4,4,0,3,1,3,0,1,4,7.6
True,2022-12-05,5,-4,INDIANA PACERS,AWAY,GOLDEN STATE WARRIORS,WIN,907,2,3,1,2,0,0,0,3,0,0,0,0,4,3.0
True,2022-12-07,9,14,INDIANA PACERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1977,3,8,1,6,2,2,1,2,0,1,0,2,5,2.9
True,2022-12-09,9,-8,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,784,3,6,3,4,0,0,1,1,0,0,0,2,2,4.2
True,2022-12-10,12,5,INDIANA PACERS,HOME,BROOKLYN NETS,LOSS,893,4,4,2,2,2,2,1,2,1,0,0,1,2,11.0
True,2022-12-12,12,-8,INDIANA PACERS,HOME,MIAMI HEAT,LOSS,1778,5,12,2,5,0,0,2,4,0,2,3,2,4,8.7
True,2022-12-14,6,-10,INDIANA PACERS,HOME,GOLDEN STATE WARRIORS,WIN,1171,2,7,2,5,0,0,1,2,1,0,1,0,1,4.2
True,2022-12-16,14,-12,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,LOSS,1762,6,8,2,4,0,0,1,3,1,0,0,0,4,11.5
True,2022-12-18,23,-1,INDIANA PACERS,HOME,NEW YORK KNICKS,LOSS,1868,9,12,4,6,1,1,3,7,0,1,0,1,4,20.8
True,2022-12-21,15,16,INDIANA PACERS,AWAY,BOSTON CELTICS,WIN,1676,6,13,1,5,2,2,1,5,3,2,0,1,5,11.6
