active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,6,-1,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,WIN,952,2,5,2,4,0,0,0,3,0,0,0,0,1,3.8
True,2022-10-22,9,15,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,1061,4,6,1,1,0,0,0,3,0,0,0,3,1,3.9
True,2022-10-26,3,6,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,999,1,2,1,1,0,0,1,5,1,0,0,0,0,4.9
True,2022-10-28,0,-14,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,WIN,712,0,6,0,2,0,0,2,2,0,0,0,1,3,-4.4
True,2022-10-29,11,1,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,900,3,6,2,4,3,3,1,2,0,0,0,1,1,7.9
True,2022-10-31,0,-3,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,791,0,4,0,3,0,0,0,2,1,1,0,0,1,-0.9
True,2022-11-02,12,8,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1531,4,9,2,5,2,2,2,2,1,2,0,4,1,7.6
True,2022-11-04,0,-12,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,784,0,2,0,1,0,0,0,1,1,0,0,1,2,-2.2
True,2022-11-05,12,-1,MILWAUKEE BUCKS,HOME,OKLAHOMA CITY THUNDER,WIN,1338,4,10,1,5,3,3,0,3,1,1,0,0,0,9.2
True,2022-11-07,4,-2,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,1024,1,6,0,2,2,2,1,5,0,0,1,0,2,2.3
True,2022-11-09,5,-14,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,WIN,1038,1,9,1,5,2,2,1,6,0,0,0,0,0,1.6
True,2022-11-11,8,-28,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,1743,3,13,1,4,1,1,3,4,5,0,0,0,0,6.9
True,2022-11-14,10,-8,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,1279,3,8,2,6,2,2,0,5,3,0,0,0,4,7.6
True,2022-11-16,21,10,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1720,6,10,5,9,4,6,0,3,1,1,1,3,0,15.9
True,2022-11-18,8,8,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,1480,3,6,2,3,0,0,0,2,2,0,1,0,1,7.3
True,2022-11-21,6,0,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1092,2,4,1,2,1,2,1,2,2,0,0,3,0,3.3
True,2022-11-23,0,-5,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,382,0,3,0,2,0,0,0,0,0,0,0,0,0,-2.1
True,2022-11-25,7,-7,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1462,2,8,0,2,3,3,1,4,2,0,0,1,3,3.3
True,2022-11-27,3,-7,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,WIN,662,1,3,1,2,0,0,2,1,2,0,0,0,0,4.4
True,2022-12-03,17,-3,MILWAUKEE BUCKS,AWAY,CHARLOTTE HORNETS,WIN,1915,7,11,2,4,1,3,3,1,1,1,0,2,1,13.0
True,2022-12-05,6,-12,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1157,2,3,2,2,0,0,1,0,0,1,0,1,0,5.4
True,2022-12-11,0,-5,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,LOSS,314,0,1,0,1,0,0,1,0,0,0,0,1,0,-1.0
True,2022-12-13,0,-2,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,173,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-12-15,10,-2,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,LOSS,934,3,8,1,4,3,3,0,3,1,1,0,1,0,7.2
