active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,16,0,INDIANA PACERS,HOME,WASHINGTON WIZARDS,LOSS,1323,6,14,1,6,3,5,1,7,1,0,1,0,2,11.2
True,2022-10-21,2,-11,INDIANA PACERS,HOME,SAN ANTONIO SPURS,LOSS,407,1,3,0,1,0,0,0,2,0,0,0,1,1,-0.5
True,2022-10-22,19,-1,INDIANA PACERS,HOME,DETROIT PISTONS,WIN,1651,9,16,1,5,0,1,3,12,1,0,3,1,2,17.7
True,2022-10-24,17,-5,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,1522,6,12,2,5,3,4,4,6,1,1,1,1,2,15.8
True,2022-10-26,15,5,INDIANA PACERS,AWAY,CHICAGO BULLS,LOSS,1749,6,10,3,5,0,0,2,7,2,0,2,2,2,13.9
True,2022-10-28,15,14,INDIANA PACERS,AWAY,WASHINGTON WIZARDS,WIN,1865,4,6,0,0,7,8,0,7,0,0,0,1,2,12.3
True,2022-10-29,8,8,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,2021,3,14,1,4,1,2,7,7,1,0,0,2,3,3.5
True,2022-10-31,3,-5,INDIANA PACERS,AWAY,BROOKLYN NETS,LOSS,1563,1,4,0,2,1,2,0,4,1,1,1,2,4,0.2
True,2022-11-04,0,-14,INDIANA PACERS,HOME,MIAMI HEAT,WIN,685,0,3,0,2,0,0,0,1,2,0,0,3,2,-4.2
True,2022-11-07,15,14,INDIANA PACERS,HOME,NEW ORLEANS PELICANS,WIN,1759,6,11,3,7,0,0,3,8,1,0,1,1,3,13.4
True,2022-11-09,6,-6,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,1084,2,9,2,5,0,0,1,4,1,0,0,2,1,0.7
True,2022-11-12,16,9,INDIANA PACERS,HOME,TORONTO RAPTORS,WIN,1515,6,11,3,7,1,2,0,5,2,0,0,3,3,9.0
True,2022-11-16,11,12,INDIANA PACERS,AWAY,CHARLOTTE HORNETS,WIN,1551,4,11,0,4,3,4,2,5,1,0,1,1,1,7.4
True,2022-11-18,10,3,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,1821,4,10,0,2,2,2,4,14,4,1,3,1,3,15.3
True,2022-11-19,14,2,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1485,6,14,1,6,1,2,2,3,0,0,0,1,2,6.7
True,2022-11-21,6,4,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1060,3,8,0,4,0,0,2,2,1,0,1,0,1,4.6
True,2022-11-23,2,-15,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1332,1,6,0,3,0,0,2,1,1,2,1,1,1,1.9
True,2022-11-25,10,3,INDIANA PACERS,HOME,BROOKLYN NETS,WIN,1235,2,6,1,4,5,6,0,5,0,0,0,0,3,6.5
True,2022-11-27,23,-12,INDIANA PACERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1732,8,14,3,7,4,4,3,6,0,0,1,1,2,19.2
True,2022-11-28,9,12,INDIANA PACERS,AWAY,LOS ANGELES LAKERS,WIN,1427,1,4,1,3,6,6,0,3,2,1,1,2,3,7.4
