active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,8,-8,INDIANA PACERS,HOME,WASHINGTON WIZARDS,LOSS,1442,2,6,1,3,3,4,1,1,1,2,1,1,1,7.2
True,2022-10-21,9,-7,INDIANA PACERS,HOME,SAN ANTONIO SPURS,LOSS,1330,4,7,1,2,0,0,2,5,2,0,0,0,5,8.0
True,2022-10-22,0,10,INDIANA PACERS,HOME,DETROIT PISTONS,WIN,1229,0,3,0,1,0,0,1,1,2,0,1,0,0,1.0
True,2022-10-24,2,-11,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,905,1,4,0,1,0,0,2,2,0,0,1,0,2,1.5
True,2022-10-26,0,-14,INDIANA PACERS,AWAY,CHICAGO BULLS,LOSS,385,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3
True,2022-10-29,0,0,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-07,0,-1,INDIANA PACERS,HOME,NEW ORLEANS PELICANS,WIN,338,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-12,0,-2,INDIANA PACERS,HOME,TORONTO RAPTORS,WIN,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-19,3,8,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,322,1,1,0,0,1,1,1,1,0,0,0,1,0,2.7
True,2022-11-21,2,-2,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,288,1,1,0,0,0,0,0,0,1,0,0,0,1,2.0
True,2022-11-23,0,0,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
True,2022-11-27,4,4,INDIANA PACERS,AWAY,LOS ANGELES CLIPPERS,LOSS,375,2,3,0,1,0,0,0,1,0,0,0,0,1,2.6
True,2022-11-30,0,5,INDIANA PACERS,AWAY,SACRAMENTO KINGS,LOSS,543,0,2,0,0,0,0,1,1,0,0,0,2,2,-3.2
True,2022-12-02,0,0,INDIANA PACERS,AWAY,UTAH JAZZ,LOSS,251,0,2,0,1,0,0,0,1,0,0,0,0,0,-1.1
True,2022-12-04,0,-1,INDIANA PACERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-09,0,0,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-26,4,4,INDIANA PACERS,AWAY,NEW ORLEANS PELICANS,LOSS,396,2,2,0,0,0,0,2,0,0,0,0,0,0,4.8
True,2022-12-27,0,-4,INDIANA PACERS,HOME,ATLANTA HAWKS,WIN,158,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-11,0,-1,INDIANA PACERS,AWAY,NEW YORK KNICKS,LOSS,214,0,2,0,1,0,0,0,0,0,0,0,0,2,-2.2
True,2023-01-14,9,0,INDIANA PACERS,HOME,MEMPHIS GRIZZLIES,LOSS,804,4,5,1,2,0,0,2,2,1,0,0,2,1,7.4
True,2023-01-18,4,12,INDIANA PACERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,982,2,3,0,1,0,0,0,1,0,1,0,2,2,1.2
True,2023-01-20,4,-6,INDIANA PACERS,AWAY,DENVER NUGGETS,LOSS,977,2,2,0,0,0,0,3,0,0,0,0,1,0,4.5
True,2023-01-24,11,3,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,1222,5,11,0,1,1,2,4,1,1,0,1,0,3,8.2
True,2023-01-25,7,-6,INDIANA PACERS,AWAY,ORLANDO MAGIC,LOSS,871,3,7,1,3,0,0,2,0,1,0,0,0,2,4.6
True,2023-01-27,0,-5,INDIANA PACERS,HOME,MILWAUKEE BUCKS,LOSS,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-05,2,7,INDIANA PACERS,HOME,CLEVELAND CAVALIERS,LOSS,277,1,1,0,0,0,0,0,0,1,0,0,0,1,2.0
True,2023-02-24,4,3,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,252,2,2,0,0,0,0,0,0,0,0,0,0,1,3.0
True,2023-03-03,0,0,CHICAGO BULLS,HOME,PHOENIX SUNS,LOSS,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-31,3,1,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,WIN,177,1,1,1,1,0,0,1,0,0,0,0,0,0,3.4
True,2023-04-07,8,9,CHICAGO BULLS,AWAY,DALLAS MAVERICKS,WIN,720,4,4,0,0,0,2,2,1,0,0,0,0,0,7.7
True,2023-04-09,5,20,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,903,2,3,0,0,1,2,2,2,0,0,1,0,1,5.6
