active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-23,0,-2,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,173,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-10-25,6,2,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,159,3,4,0,0,0,0,0,0,0,0,0,0,0,4.4
True,2022-10-27,0,6,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-30,6,-3,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,271,2,4,2,2,0,0,0,0,0,0,0,0,0,4.0
True,2022-10-31,1,-1,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,273,0,1,0,0,1,2,1,1,0,0,0,0,1,0.5
True,2022-11-30,10,10,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1331,4,12,1,2,1,2,1,1,1,1,0,1,1,4.1
True,2022-12-03,18,-10,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,1220,6,13,4,6,2,2,1,2,2,1,0,2,1,12.6
True,2022-12-08,7,-6,LOS ANGELES CLIPPERS,AWAY,MIAMI HEAT,LOSS,831,2,5,0,1,3,3,0,3,1,0,0,0,2,5.1
True,2022-12-10,3,-1,LOS ANGELES CLIPPERS,AWAY,WASHINGTON WIZARDS,WIN,878,1,3,1,2,0,0,0,1,1,0,0,1,0,1.3
True,2022-12-12,0,-1,LOS ANGELES CLIPPERS,HOME,BOSTON CELTICS,WIN,196,0,3,0,0,0,0,0,0,1,0,0,0,0,-1.4
True,2022-12-14,0,-5,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,WIN,156,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-12-15,16,-10,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,1431,4,13,0,3,8,9,0,1,3,0,0,1,2,8.7
True,2022-12-17,2,6,LOS ANGELES CLIPPERS,HOME,WASHINGTON WIZARDS,WIN,431,1,1,0,0,0,1,0,1,0,1,0,0,2,1.8
True,2023-01-05,4,4,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,921,0,5,0,2,4,6,1,1,4,1,0,0,0,4.5
True,2023-01-06,8,4,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,319,3,5,1,1,1,1,1,2,0,1,0,0,0,8.0
True,2023-01-15,5,4,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,526,2,5,1,2,0,0,1,2,0,1,0,0,0,4.6
True,2023-01-18,7,-15,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1361,3,9,0,2,1,2,1,3,3,0,0,3,4,0.6
True,2023-01-26,4,6,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,427,2,4,0,0,0,0,0,1,0,1,0,0,1,2.9
True,2023-01-29,24,-10,LOS ANGELES CLIPPERS,AWAY,CLEVELAND CAVALIERS,LOSS,2067,9,19,1,3,5,6,0,1,3,1,0,3,5,12.3
True,2023-02-10,20,-14,LOS ANGELES CLIPPERS,HOME,MILWAUKEE BUCKS,LOSS,1573,9,13,1,1,1,2,0,2,0,1,0,1,1,14.3
True,2023-02-14,2,-6,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,WIN,148,0,0,0,0,2,2,0,0,0,0,0,0,1,1.6
True,2023-04-08,0,-2,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,101,0,1,0,0,0,0,0,1,1,0,0,0,0,0.3
