active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,3,0,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,WIN,274,1,1,0,0,1,2,0,1,0,0,0,1,0,1.6
True,2022-10-23,0,-2,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,173,0,1,0,0,0,0,0,0,1,1,0,0,0,1.0
True,2022-10-25,8,13,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1586,1,5,0,1,6,6,0,2,2,0,1,0,2,6.8
True,2022-10-27,0,9,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,344,0,3,0,1,0,0,0,0,0,0,0,0,1,-2.5
True,2022-10-30,4,-2,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,836,2,2,0,0,0,0,0,1,2,0,0,1,0,4.1
True,2022-10-31,3,-8,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,736,0,1,0,0,3,4,2,1,0,0,0,0,2,2.8
True,2022-11-02,0,-11,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,400,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-11-04,6,-4,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,695,1,2,1,2,3,4,0,0,0,2,0,0,1,6.2
True,2022-11-06,0,3,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,LOSS,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-09,0,2,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,WIN,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-12,2,1,LOS ANGELES CLIPPERS,HOME,BROOKLYN NETS,LOSS,141,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
True,2022-11-14,0,8,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1135,0,2,0,0,0,0,1,0,2,0,0,1,1,-0.7
True,2022-11-15,2,0,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,LOSS,621,0,0,0,0,2,2,0,0,1,0,0,1,5,-0.3
True,2022-11-19,3,-5,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,476,1,3,0,0,1,2,1,0,0,0,0,0,1,1.2
True,2022-11-21,8,14,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1312,3,7,0,1,2,2,3,2,0,1,0,0,2,7.2
True,2022-11-23,13,-5,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2155,5,7,0,1,3,4,1,2,7,0,0,2,2,13.1
True,2022-11-25,9,-7,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1488,3,6,2,4,1,2,1,1,3,0,0,1,2,6.9
True,2022-11-27,8,7,LOS ANGELES CLIPPERS,HOME,INDIANA PACERS,WIN,1683,3,8,0,2,2,2,0,0,5,1,0,1,1,6.7
True,2022-11-29,7,-13,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1476,2,7,0,2,3,4,0,1,2,0,0,1,1,2.8
True,2022-11-30,5,-16,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1167,1,4,1,3,2,2,0,1,1,0,1,1,2,2.5
True,2022-12-03,3,-20,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,1987,1,5,0,1,1,1,0,2,1,0,0,0,4,-0.4
True,2022-12-07,3,-25,LOS ANGELES CLIPPERS,AWAY,ORLANDO MAGIC,LOSS,1153,1,3,0,1,1,2,0,2,3,0,0,0,2,2.8
True,2022-12-12,0,-1,LOS ANGELES CLIPPERS,HOME,BOSTON CELTICS,WIN,217,0,2,0,1,0,0,0,0,0,1,0,0,0,-0.4
True,2022-12-14,0,-5,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,WIN,168,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-12-15,11,-11,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,2281,4,9,3,4,0,0,0,1,1,0,0,1,3,5.1
True,2022-12-17,10,3,LOS ANGELES CLIPPERS,HOME,WASHINGTON WIZARDS,WIN,1217,3,6,2,2,2,2,2,3,1,0,0,1,1,8.6
True,2022-12-21,0,-3,LOS ANGELES CLIPPERS,HOME,CHARLOTTE HORNETS,WIN,201,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2022-12-26,2,12,LOS ANGELES CLIPPERS,AWAY,DETROIT PISTONS,WIN,188,1,1,0,0,0,0,0,1,1,0,0,0,0,2.7
True,2022-12-27,0,0,LOS ANGELES CLIPPERS,AWAY,TORONTO RAPTORS,WIN,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-05,6,-4,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,1176,2,7,0,2,2,2,1,1,3,0,0,0,1,4.6
True,2023-01-06,2,15,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1149,1,5,0,0,0,0,1,2,4,0,0,1,2,1.2
True,2023-01-10,0,0,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,WIN,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-15,5,1,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1106,2,6,0,2,1,2,2,0,1,0,0,0,1,2.9
True,2023-01-17,0,7,LOS ANGELES CLIPPERS,HOME,PHILADELPHIA 76ERS,LOSS,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-18,8,-17,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1482,3,7,1,3,1,1,1,2,3,0,0,0,3,6.5
True,2023-01-24,0,3,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-26,0,6,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,427,0,1,0,0,0,0,0,1,1,0,1,1,2,-0.8
True,2023-01-29,18,-21,LOS ANGELES CLIPPERS,AWAY,CLEVELAND CAVALIERS,LOSS,2272,5,13,0,2,8,9,0,4,2,1,0,0,6,11.7
True,2023-02-10,10,-2,LOS ANGELES CLIPPERS,HOME,MILWAUKEE BUCKS,LOSS,1771,5,8,0,1,0,0,0,3,1,0,0,1,0,7.0
True,2023-02-14,2,-6,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,WIN,148,1,2,0,1,0,0,0,0,0,0,0,1,0,0.0
True,2023-02-26,0,0,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-02,2,-3,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,448,1,2,0,0,0,0,1,0,1,0,0,1,1,1.0
True,2023-03-03,0,-11,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,LOSS,750,0,3,0,1,0,2,0,0,1,0,0,0,1,-2.6
True,2023-03-11,0,0,LOS ANGELES CLIPPERS,HOME,NEW YORK KNICKS,WIN,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-15,1,-2,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,WIN,66,0,0,0,0,1,2,0,0,0,0,0,0,0,0.6
True,2023-03-23,0,-3,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,WIN,272,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2023-03-25,0,0,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,577,0,1,0,0,0,0,0,0,0,0,1,1,0,-1.0
True,2023-03-27,0,-9,LOS ANGELES CLIPPERS,HOME,CHICAGO BULLS,WIN,267,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.3
True,2023-03-31,8,0,LOS ANGELES CLIPPERS,AWAY,MEMPHIS GRIZZLIES,LOSS,720,2,3,1,2,3,4,0,1,1,0,0,1,0,6.3
True,2023-04-08,0,-2,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
