active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-27,3,6,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,107,1,1,0,0,1,1,0,2,1,1,0,0,0,5.0
True,2022-10-30,0,-3,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-29,3,19,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,739,1,1,0,0,1,2,2,2,0,1,1,0,2,5.2
True,2022-11-30,11,7,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,960,4,8,0,0,3,3,6,2,0,0,0,0,2,11.0
True,2022-12-03,4,-15,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,1123,1,1,0,0,2,2,2,3,0,0,0,3,1,2.6
True,2022-12-12,2,-1,LOS ANGELES CLIPPERS,HOME,BOSTON CELTICS,WIN,196,1,2,0,0,0,0,2,1,0,0,0,0,0,2.7
True,2022-12-15,8,-6,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,951,4,9,0,0,0,1,6,2,1,1,0,2,4,5.8
True,2022-12-17,2,-3,LOS ANGELES CLIPPERS,HOME,WASHINGTON WIZARDS,WIN,1068,1,2,0,0,0,0,2,0,0,0,0,0,1,2.0
True,2023-01-18,3,-12,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1292,1,4,0,0,1,4,3,3,0,1,3,2,3,2.3
True,2023-01-20,0,-16,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-24,0,2,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-26,2,6,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,427,1,3,0,0,0,0,1,0,0,0,1,0,0,1.7
True,2023-01-28,0,-4,LOS ANGELES CLIPPERS,AWAY,ATLANTA HAWKS,WIN,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-29,13,3,LOS ANGELES CLIPPERS,AWAY,CLEVELAND CAVALIERS,LOSS,1791,5,8,1,2,2,3,4,1,1,1,0,1,0,12.8
True,2023-02-08,0,-1,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,LOSS,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-10,2,5,LOS ANGELES CLIPPERS,HOME,MILWAUKEE BUCKS,LOSS,270,1,1,0,0,0,0,1,0,0,0,1,0,0,3.1
True,2023-02-14,0,-6,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,WIN,148,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2023-02-26,0,0,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-25,2,0,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,496,1,2,0,0,0,0,0,0,0,1,0,0,2,1.2
True,2023-03-27,2,-9,LOS ANGELES CLIPPERS,HOME,CHICAGO BULLS,WIN,267,1,2,0,0,0,0,0,0,1,1,1,0,0,3.4
True,2023-03-31,0,0,LOS ANGELES CLIPPERS,AWAY,MEMPHIS GRIZZLIES,LOSS,560,0,2,0,0,0,0,2,2,0,0,1,0,0,1.3
True,2023-04-08,2,-2,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,101,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
