active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,11,8,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,LOSS,1758,4,9,1,4,2,2,0,1,4,0,0,1,2,7.6
True,2022-10-21,17,-6,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,2145,5,12,2,5,5,7,1,3,4,0,0,4,2,9.4
True,2022-10-24,13,8,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,1861,5,11,1,4,2,2,0,2,2,1,0,2,0,8.3
True,2022-10-26,16,-6,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,1802,6,12,2,7,2,3,0,2,3,2,0,1,0,13.3
True,2022-10-28,18,1,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1996,6,10,4,7,2,2,0,3,5,1,1,5,1,14.1
True,2022-10-31,12,-10,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1807,5,11,2,4,0,0,0,2,2,2,2,2,1,9.3
True,2022-11-02,0,-7,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,1969,0,4,0,3,0,0,1,1,2,1,1,1,0,0.3
True,2022-11-05,11,-10,HOUSTON ROCKETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1598,4,9,2,6,1,2,0,1,4,0,0,1,1,7.6
True,2022-11-07,19,-10,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,WIN,1768,5,9,5,8,4,5,0,1,4,1,0,1,0,17.4
True,2022-11-09,10,-14,HOUSTON ROCKETS,AWAY,TORONTO RAPTORS,LOSS,1715,3,10,1,6,3,3,0,3,2,1,0,1,1,6.1
True,2022-11-12,15,-15,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,1800,6,11,2,6,1,1,0,1,5,0,1,2,2,11.4
