active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,0,0,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,335,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-10-22,5,0,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,WIN,892,2,3,0,0,1,2,1,1,1,0,0,0,2,4.2
True,2022-10-23,9,-8,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,562,4,5,1,2,0,0,1,1,0,0,0,0,2,7.3
True,2022-10-25,9,-14,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1545,3,5,1,1,2,4,1,8,0,1,1,4,1,6.3
True,2022-10-27,6,8,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1252,3,5,0,2,0,0,1,0,0,1,1,3,4,1.5
True,2022-10-30,6,-9,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,1310,3,5,0,2,0,1,2,3,2,0,0,0,0,7.0
True,2022-10-31,4,-10,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,920,2,4,0,0,0,0,0,1,1,0,0,1,0,2.0
True,2022-11-02,5,-5,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,871,2,3,1,2,0,0,0,2,2,0,1,0,1,6.0
True,2022-11-04,0,-4,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,199,0,3,0,3,0,0,1,0,0,0,0,2,2,-4.2
True,2022-11-06,14,0,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,LOSS,1785,7,8,0,1,0,0,1,2,3,2,0,0,5,14.6
True,2022-11-07,16,20,LOS ANGELES CLIPPERS,HOME,CLEVELAND CAVALIERS,WIN,1821,6,9,1,2,3,4,0,4,5,2,0,1,1,17.0
True,2022-11-09,7,16,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,WIN,1289,3,7,1,2,0,0,0,4,2,1,0,0,2,6.1
True,2022-11-12,2,5,LOS ANGELES CLIPPERS,HOME,BROOKLYN NETS,LOSS,1149,1,5,0,3,0,0,0,3,2,0,1,0,1,1.5
True,2022-11-14,14,6,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1450,4,7,0,2,6,7,0,4,4,0,0,1,2,12.5
True,2022-11-15,2,1,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,LOSS,870,1,1,0,0,0,0,0,3,1,0,0,0,2,2.5
True,2022-11-17,5,-12,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,879,2,4,0,2,1,1,1,1,0,0,0,0,2,3.2
True,2022-11-19,10,0,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,1705,3,4,2,2,2,2,2,1,1,0,0,4,2,6.0
True,2022-11-21,6,-8,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1240,3,5,0,1,0,0,0,2,1,1,0,1,3,3.8
True,2022-11-23,17,-3,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1982,7,11,3,3,0,0,2,3,2,1,0,2,1,14.4
True,2022-11-25,16,0,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1817,7,11,1,3,1,1,0,4,5,0,0,1,3,13.6
True,2022-11-27,14,17,LOS ANGELES CLIPPERS,HOME,INDIANA PACERS,WIN,2283,5,13,0,3,4,4,2,5,5,0,0,2,3,10.1
True,2022-11-29,11,-9,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1558,3,8,2,4,3,4,2,3,3,1,1,2,2,9.5
True,2022-11-30,5,-23,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1616,2,5,1,2,0,2,1,0,1,3,0,1,3,3.7
True,2022-12-03,13,-17,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,1604,6,13,0,2,1,2,3,3,3,1,0,0,2,11.2
True,2022-12-05,8,15,LOS ANGELES CLIPPERS,AWAY,CHARLOTTE HORNETS,WIN,922,2,5,1,2,3,3,3,1,1,0,1,1,3,6.9
True,2022-12-07,19,-10,LOS ANGELES CLIPPERS,AWAY,ORLANDO MAGIC,LOSS,2211,7,10,3,5,2,2,4,5,4,1,1,2,0,21.6
True,2022-12-10,0,7,LOS ANGELES CLIPPERS,AWAY,WASHINGTON WIZARDS,WIN,692,0,2,0,1,0,0,1,3,0,1,0,1,3,-1.0
True,2022-12-12,9,3,LOS ANGELES CLIPPERS,HOME,BOSTON CELTICS,WIN,1206,4,9,1,2,0,0,5,2,0,0,1,0,2,8.3
True,2022-12-14,5,3,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1427,2,6,0,2,1,2,0,5,2,0,0,1,1,2.7
True,2022-12-15,22,-6,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,2022,8,14,4,7,2,2,2,9,4,0,1,1,1,21.6
