active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,14,11,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,1378,5,9,1,3,3,3,1,3,1,1,0,1,2,11.2
True,2022-10-22,9,2,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,WIN,1262,4,7,1,1,0,0,0,5,2,1,0,0,5,7.6
True,2022-10-23,22,-10,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,1885,10,14,2,5,0,0,1,4,1,1,0,1,1,18.4
True,2022-10-30,12,-5,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,1636,5,12,2,5,0,0,0,8,4,1,0,1,4,9.2
True,2022-10-31,11,7,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,2228,5,14,1,7,0,0,1,2,3,0,1,1,0,6.3
True,2022-11-02,21,15,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,2094,8,14,4,8,1,1,1,9,2,2,0,1,0,20.2
True,2022-11-04,11,14,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,2095,4,12,3,6,0,0,0,8,4,1,0,1,5,7.4
True,2022-11-06,18,-19,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,LOSS,2254,8,16,1,7,1,1,0,3,3,1,0,4,3,8.8
True,2022-11-07,20,4,LOS ANGELES CLIPPERS,HOME,CLEVELAND CAVALIERS,WIN,2274,7,16,4,11,2,2,0,6,1,0,1,0,2,14.0
True,2022-11-09,11,12,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,WIN,1940,4,9,3,5,0,0,0,8,1,2,2,1,4,10.2
True,2022-11-12,13,-13,LOS ANGELES CLIPPERS,HOME,BROOKLYN NETS,LOSS,1694,5,9,3,5,0,0,2,4,2,0,0,1,2,10.9
True,2022-11-14,15,10,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1497,6,9,3,4,0,0,0,5,2,0,0,1,3,11.8
True,2022-11-15,18,0,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,LOSS,2194,7,11,1,5,3,4,0,3,4,2,0,0,1,18.0
True,2022-11-17,16,12,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,2139,6,15,3,8,1,2,1,5,1,0,0,0,2,9.6
True,2022-11-19,11,20,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,1522,4,9,3,7,0,0,0,2,3,0,0,2,1,6.6
True,2022-11-21,8,-16,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1638,3,10,0,1,2,2,0,2,1,0,1,1,2,2.4
True,2022-11-23,19,-10,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1708,6,15,3,6,4,5,1,4,0,2,0,0,2,13.6
True,2022-11-25,15,-18,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1614,7,12,1,3,0,2,0,2,0,0,0,2,4,5.6
True,2022-11-27,13,9,LOS ANGELES CLIPPERS,HOME,INDIANA PACERS,WIN,1727,5,14,2,8,1,2,0,4,3,2,0,1,2,8.3
True,2022-11-29,8,-1,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1927,3,13,0,5,2,2,0,4,3,0,1,0,0,4.1
True,2022-11-30,10,-22,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1395,3,11,1,2,3,5,1,4,1,1,2,1,1,6.3
True,2022-12-03,6,-18,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,1454,2,11,2,6,0,0,1,2,0,0,0,1,3,-1.8
True,2022-12-05,12,-15,LOS ANGELES CLIPPERS,AWAY,CHARLOTTE HORNETS,WIN,1820,5,12,2,8,0,0,1,4,3,1,0,0,4,9.0
True,2022-12-08,11,0,LOS ANGELES CLIPPERS,AWAY,MIAMI HEAT,LOSS,2216,4,10,1,2,2,2,0,4,1,0,0,0,1,7.1
True,2022-12-10,19,5,LOS ANGELES CLIPPERS,AWAY,WASHINGTON WIZARDS,WIN,1799,5,10,5,8,4,4,0,6,0,1,1,0,3,16.3
True,2022-12-12,13,18,LOS ANGELES CLIPPERS,HOME,BOSTON CELTICS,WIN,1592,6,8,1,2,0,0,0,2,0,0,0,0,1,10.0
True,2022-12-14,12,8,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1725,4,13,2,8,2,2,2,5,1,1,0,1,1,7.7
True,2022-12-15,14,-10,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,1778,4,10,2,7,4,5,1,6,2,1,0,4,2,8.3
True,2022-12-17,10,7,LOS ANGELES CLIPPERS,HOME,WASHINGTON WIZARDS,WIN,1998,4,10,1,4,1,2,0,12,2,0,0,1,5,6.2
True,2022-12-21,13,9,LOS ANGELES CLIPPERS,HOME,CHARLOTTE HORNETS,WIN,1601,4,7,3,4,2,2,0,3,0,1,2,2,2,10.2
True,2022-12-23,11,-22,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,LOSS,1799,3,9,3,7,2,2,2,2,2,0,2,2,3,7.5
True,2022-12-26,16,-14,LOS ANGELES CLIPPERS,AWAY,DETROIT PISTONS,WIN,1652,5,10,3,7,3,4,1,5,1,0,0,1,1,12.1
True,2022-12-27,10,11,LOS ANGELES CLIPPERS,AWAY,TORONTO RAPTORS,WIN,1653,3,7,2,6,2,2,0,4,3,1,0,0,2,9.8
True,2022-12-29,12,-4,LOS ANGELES CLIPPERS,AWAY,BOSTON CELTICS,LOSS,1925,5,13,2,7,0,0,1,5,4,1,1,1,1,10.2
True,2022-12-31,15,-1,LOS ANGELES CLIPPERS,AWAY,INDIANA PACERS,LOSS,1730,5,11,3,5,2,2,1,2,1,0,3,0,5,11.4
True,2023-01-02,14,1,LOS ANGELES CLIPPERS,HOME,MIAMI HEAT,LOSS,1805,3,8,3,5,5,7,0,7,1,0,0,2,2,8.8
True,2023-01-05,7,-17,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,893,3,7,1,4,0,0,0,1,1,0,0,0,1,3.9
True,2023-01-06,12,-22,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1482,5,11,2,5,0,0,1,0,0,2,0,1,3,6.8
True,2023-01-08,15,4,LOS ANGELES CLIPPERS,HOME,ATLANTA HAWKS,LOSS,1796,6,16,3,10,0,0,0,6,2,2,1,2,2,9.3
True,2023-01-10,12,3,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,WIN,1964,5,12,2,6,0,0,0,1,3,0,1,1,4,6.1
True,2023-01-13,16,-14,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1784,7,14,1,2,1,1,1,2,2,0,0,1,2,9.9
True,2023-01-17,9,2,LOS ANGELES CLIPPERS,HOME,PHILADELPHIA 76ERS,LOSS,1617,3,7,1,4,2,2,0,1,2,0,0,1,2,5.2
True,2023-01-18,10,-7,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1387,3,14,1,4,3,3,0,2,3,0,0,1,1,2.7
