active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,19,-6,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1841,7,12,1,3,4,5,1,10,3,1,0,4,1,15.4
True,2022-10-20,2,-6,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1642,0,11,0,6,2,2,0,3,4,5,0,1,3,0.8
True,2022-10-23,10,-4,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1651,4,15,0,3,2,3,0,6,6,0,0,0,1,6.3
True,2022-10-28,18,0,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1959,6,17,1,4,5,10,1,7,3,1,1,5,4,6.5
True,2022-10-30,18,18,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1898,6,12,2,4,4,4,4,4,8,0,0,3,3,17.4
True,2022-11-02,13,4,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,1515,6,10,1,4,0,0,1,6,9,0,1,6,2,11.1
True,2022-11-04,26,-1,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,1765,9,14,3,5,5,5,0,3,6,2,0,4,1,22.5
True,2022-11-06,19,-8,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,LOSS,1909,6,13,3,5,4,5,1,2,10,2,1,7,3,14.7
True,2022-11-07,22,-23,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,1451,8,14,2,3,4,4,1,2,5,1,1,2,5,17.9
True,2022-11-09,14,-12,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1774,6,15,0,3,2,2,1,3,9,2,0,4,1,11.4
True,2022-11-11,21,-13,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,2043,6,17,4,7,5,6,3,1,11,0,0,5,5,14.2
True,2022-11-13,14,-6,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,1668,4,15,1,6,5,6,1,5,12,0,1,4,3,10.8
True,2022-11-18,10,11,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,1808,4,13,0,2,2,3,1,4,12,0,0,4,2,7.6
True,2022-11-20,10,14,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1293,4,9,2,5,0,0,0,4,10,1,0,3,2,10.7
True,2022-11-22,21,-1,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,1882,8,20,2,6,3,7,1,2,5,1,0,1,1,13.0
True,2022-11-25,3,-2,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1165,1,7,0,3,1,2,1,3,7,2,1,3,3,3.1
True,2022-11-26,11,-2,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1590,4,12,0,3,3,6,1,6,6,0,1,6,3,3.2
True,2022-11-28,24,1,LOS ANGELES LAKERS,HOME,INDIANA PACERS,LOSS,1639,10,18,2,4,2,3,0,4,6,1,1,6,1,15.7
True,2022-11-30,10,12,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1374,4,14,2,6,0,2,1,4,4,1,0,0,1,6.3
True,2022-12-02,15,4,LOS ANGELES LAKERS,AWAY,MILWAUKEE BUCKS,WIN,1714,6,11,0,2,3,7,2,5,11,0,0,0,4,17.1
True,2022-12-04,6,0,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,WIN,1718,3,8,0,1,0,0,0,7,15,0,0,6,2,7.4
True,2022-12-06,16,-13,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,1563,6,13,0,1,4,5,1,2,3,0,2,4,2,8.9
True,2022-12-07,16,-18,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,1686,5,13,1,4,5,7,4,5,4,1,0,5,3,10.0
True,2022-12-09,12,-7,LOS ANGELES LAKERS,AWAY,PHILADELPHIA 76ERS,LOSS,2175,4,14,1,5,3,4,2,9,11,4,0,4,4,13.6
True,2022-12-11,11,-12,LOS ANGELES LAKERS,AWAY,DETROIT PISTONS,WIN,1283,5,9,0,1,1,2,0,4,9,1,0,4,1,10.4
True,2022-12-13,20,-1,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,LOSS,2091,7,19,1,6,5,6,1,13,5,1,4,2,4,17.4
True,2022-12-16,15,25,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1785,5,13,0,3,5,8,2,9,12,2,0,4,2,16.4
True,2022-12-18,9,-5,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1371,4,12,0,2,1,4,2,7,8,1,1,3,0,8.8
True,2022-12-23,17,8,LOS ANGELES LAKERS,HOME,CHARLOTTE HORNETS,LOSS,1475,6,12,2,4,3,4,2,3,7,1,0,3,2,15.0
True,2022-12-25,17,-30,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,1453,7,16,2,5,1,2,0,5,4,0,0,0,3,11.3
True,2022-12-27,15,18,LOS ANGELES LAKERS,AWAY,ORLANDO MAGIC,WIN,1761,6,11,1,3,2,2,0,13,13,0,0,4,3,17.5
True,2022-12-28,15,-9,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,1942,6,16,2,7,1,3,1,3,8,0,1,3,1,9.9
True,2022-12-30,14,11,LOS ANGELES LAKERS,AWAY,ATLANTA HAWKS,WIN,1760,6,12,0,3,2,2,2,6,11,1,1,6,1,14.2
True,2023-01-02,2,8,LOS ANGELES LAKERS,AWAY,CHARLOTTE HORNETS,WIN,682,1,8,0,3,0,0,0,4,2,0,0,3,1,-4.0
True,2023-01-04,21,12,LOS ANGELES LAKERS,HOME,MIAMI HEAT,WIN,2155,8,18,2,6,3,6,1,7,9,3,0,7,3,14.3
True,2023-01-06,18,15,LOS ANGELES LAKERS,HOME,ATLANTA HAWKS,WIN,1839,7,14,2,4,2,2,0,11,9,2,1,2,3,20.1
True,2023-01-07,23,15,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,WIN,2011,7,14,2,5,7,10,1,4,15,0,1,4,3,22.7
True,2023-01-09,25,-9,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1851,10,21,1,4,4,7,1,6,7,1,0,7,2,13.7
True,2023-01-12,28,3,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,2403,10,23,3,6,5,8,1,6,5,2,0,3,3,18.5
True,2023-01-15,20,3,LOS ANGELES LAKERS,HOME,PHILADELPHIA 76ERS,LOSS,2039,7,14,2,5,4,5,0,14,11,1,1,4,2,21.4
True,2023-01-16,24,17,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,WIN,1931,9,16,0,3,6,8,2,3,4,1,0,0,2,20.9
True,2023-01-18,19,1,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,1913,8,17,2,5,1,4,0,7,5,1,0,2,1,13.3
True,2023-01-20,29,3,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,1849,10,18,2,4,7,11,3,2,6,0,1,4,3,21.2
True,2023-01-22,6,-13,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1552,3,13,0,4,0,0,1,7,5,0,0,3,2,0.6
True,2023-01-24,17,-11,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1483,4,13,1,4,8,13,1,0,5,2,0,2,1,11.3
True,2023-01-25,14,-10,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1673,7,15,0,3,0,0,0,2,4,1,0,3,4,6.1
True,2023-01-28,12,-10,LOS ANGELES LAKERS,AWAY,BOSTON CELTICS,LOSS,1519,4,14,0,3,4,5,2,2,7,1,0,5,4,4.7
True,2023-01-30,17,-10,LOS ANGELES LAKERS,AWAY,BROOKLYN NETS,LOSS,1780,5,15,3,6,4,7,2,6,10,1,1,6,2,12.4
True,2023-01-31,17,-5,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,WIN,2173,7,13,1,4,2,5,3,3,8,3,0,1,4,18.5
True,2023-02-02,10,0,LOS ANGELES LAKERS,AWAY,INDIANA PACERS,WIN,1929,2,16,0,5,6,8,1,2,10,0,0,4,2,2.3
True,2023-02-04,15,-4,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,LOSS,1374,6,11,2,3,1,2,2,2,4,0,0,2,1,11.7
True,2023-02-07,27,4,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1680,10,19,4,7,3,6,0,4,8,2,1,6,1,19.6
True,2023-02-24,17,3,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,2367,7,13,1,4,2,2,1,4,14,1,0,7,6,14.0
True,2023-02-26,17,-12,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,1521,6,10,1,2,4,4,0,5,4,5,0,2,3,18.5
True,2023-02-28,14,-5,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1666,5,11,2,3,2,2,2,5,10,1,0,4,2,14.4
True,2023-03-02,8,-10,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1661,3,12,0,5,2,2,0,0,6,0,0,4,3,-0.2
True,2023-03-03,27,10,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,LOSS,2130,12,16,1,2,2,5,0,2,10,1,2,5,1,24.0
True,2023-03-05,9,9,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,WIN,2047,4,9,0,2,1,1,0,5,6,1,0,4,3,5.8
True,2023-03-08,7,12,LOS ANGELES CLIPPERS,HOME,TORONTO RAPTORS,WIN,1396,3,6,1,3,0,0,1,1,7,1,1,3,2,7.8
True,2023-03-11,7,1,LOS ANGELES CLIPPERS,HOME,NEW YORK KNICKS,WIN,1377,3,8,0,2,1,3,0,5,3,1,0,3,2,2.6
True,2023-03-15,15,10,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,WIN,1625,6,16,2,5,1,2,4,5,7,2,0,0,1,16.6
True,2023-03-18,14,-15,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,LOSS,2225,5,14,0,3,4,7,2,3,9,1,0,6,2,7.8
True,2023-03-19,9,13,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2016,3,12,1,2,2,2,4,8,10,0,0,4,1,9.6
True,2023-03-21,15,9,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1570,6,10,0,3,3,5,3,5,2,2,1,2,4,13.7
True,2023-03-23,24,-1,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,WIN,1777,8,13,2,4,6,8,1,1,7,0,1,4,2,19.1
True,2023-03-25,14,-17,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,1551,4,12,1,5,5,5,0,3,5,0,0,4,2,6.8
True,2023-03-27,12,16,LOS ANGELES CLIPPERS,HOME,CHICAGO BULLS,WIN,1964,6,11,0,3,0,3,1,4,10,3,0,3,0,14.4
True,2023-03-29,36,3,LOS ANGELES CLIPPERS,AWAY,MEMPHIS GRIZZLIES,WIN,2130,13,18,5,5,5,9,1,3,10,0,2,2,1,34.6
True,2023-03-31,4,0,LOS ANGELES CLIPPERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1548,2,8,0,3,0,0,0,4,11,1,1,5,0,4.8
True,2023-04-01,24,-7,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,2379,9,18,3,6,3,5,0,3,10,1,1,1,5,20.8
True,2023-04-05,14,-1,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,WIN,1255,6,12,2,4,0,1,0,3,4,1,1,3,0,10.0
True,2023-04-08,20,7,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1479,9,14,2,3,0,0,4,2,6,0,0,3,0,18.4
True,2023-04-09,25,8,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,2387,8,19,2,4,7,10,6,1,9,1,0,2,1,23.1
