active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,15,20,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,1496,5,13,3,9,2,2,2,3,1,1,0,0,0,11.9
True,2022-10-21,15,-1,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,1797,6,16,3,9,0,0,0,3,1,0,0,0,0,7.8
True,2022-10-23,4,2,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,WIN,1258,2,5,0,2,0,1,0,1,2,1,0,2,1,1.2
True,2022-10-24,12,-7,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,1189,5,9,2,4,0,0,0,0,0,2,1,0,1,10.0
True,2022-10-26,14,-4,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,1779,5,12,2,7,2,2,2,2,1,4,1,1,0,14.0
True,2022-10-28,5,-32,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1325,1,7,0,2,3,3,0,0,0,0,0,0,1,0.1
True,2022-10-29,12,-4,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1894,4,7,4,6,0,0,0,3,0,1,0,0,1,10.2
True,2022-10-31,18,14,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1581,7,12,4,9,0,0,0,4,4,0,0,2,1,14.0
True,2022-11-02,9,1,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,1360,3,11,3,5,0,0,4,4,1,0,0,0,0,7.2
True,2022-11-04,3,-4,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,898,1,7,1,4,0,0,0,2,1,2,0,0,2,1.0
True,2022-11-06,10,0,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,1877,3,8,2,7,2,2,1,3,0,0,0,3,1,3.8
True,2022-11-07,14,11,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,1293,5,8,4,7,0,0,0,2,1,0,0,1,2,9.9
True,2022-11-09,18,13,UTAH JAZZ,AWAY,ATLANTA HAWKS,WIN,1761,6,11,6,10,0,0,1,5,1,2,0,1,2,15.8
True,2022-11-12,16,-1,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,LOSS,1767,6,13,4,9,0,0,0,6,3,1,0,0,2,13.4
True,2022-11-13,18,3,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,LOSS,1737,6,13,4,10,2,2,0,4,2,1,0,1,2,13.1
True,2022-11-15,14,5,UTAH JAZZ,HOME,NEW YORK KNICKS,LOSS,1432,5,12,3,8,1,1,1,3,0,0,1,1,1,8.5
True,2022-11-18,27,-10,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,1876,10,17,7,13,0,0,0,3,1,1,1,2,0,20.4
True,2022-11-19,29,10,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,1754,10,18,6,14,3,3,0,3,1,0,0,1,2,20.2
True,2022-11-21,6,-14,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1810,2,11,2,10,0,0,0,6,1,1,0,2,2,-0.2
True,2022-11-23,29,-8,UTAH JAZZ,HOME,DETROIT PISTONS,LOSS,1757,9,18,8,15,3,4,2,9,5,0,0,1,2,25.4
True,2022-11-25,10,-12,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,1223,4,14,2,8,0,0,2,3,1,5,0,1,0,8.8
True,2022-11-26,14,-2,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,2115,6,13,2,7,0,0,0,5,4,0,0,2,2,8.8
True,2022-11-28,11,-3,UTAH JAZZ,HOME,CHICAGO BULLS,LOSS,1957,4,13,3,11,0,0,0,3,4,2,0,0,2,8.4
True,2022-11-30,3,6,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,1127,1,9,1,7,0,0,1,1,3,1,0,1,3,-1.0
True,2022-12-02,16,23,UTAH JAZZ,HOME,INDIANA PACERS,WIN,1821,6,15,4,11,0,0,1,4,1,0,0,2,1,8.1
True,2022-12-03,3,-18,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,LOSS,1536,1,9,1,6,0,0,0,1,1,0,0,0,3,-3.1
True,2022-12-07,18,6,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,2069,7,14,4,9,0,0,0,3,1,0,0,2,2,9.8
True,2022-12-09,23,-6,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,2160,9,18,5,12,0,1,0,4,1,2,0,1,1,16.1
True,2022-12-10,19,-8,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,2001,7,13,4,10,1,2,0,5,3,2,0,4,1,13.5
True,2022-12-13,21,15,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,1853,8,19,5,12,0,0,0,2,4,0,0,0,1,13.9
True,2022-12-15,17,7,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,1533,6,15,4,11,1,1,0,3,1,0,1,1,1,9.8
True,2022-12-17,18,-16,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,LOSS,1680,6,13,6,10,0,0,0,3,0,0,0,1,1,10.8
True,2022-12-19,3,-10,UTAH JAZZ,AWAY,CLEVELAND CAVALIERS,LOSS,1382,1,10,1,9,0,0,1,2,2,0,0,0,2,-1.7
True,2022-12-20,17,20,UTAH JAZZ,AWAY,DETROIT PISTONS,WIN,1496,7,15,3,9,0,0,0,3,0,0,0,0,1,9.8
True,2022-12-22,25,6,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,1549,9,17,3,7,4,5,0,2,0,4,0,1,1,19.5
True,2022-12-26,13,-8,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,1803,4,16,2,11,3,4,2,3,2,0,0,2,2,3.9
True,2022-12-28,7,-9,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,1366,3,12,1,8,0,0,0,3,1,0,0,0,3,0.2
True,2022-12-30,9,-4,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,1381,4,13,1,7,0,0,1,3,3,0,1,2,0,3.9
True,2022-12-31,17,-7,UTAH JAZZ,HOME,MIAMI HEAT,LOSS,1099,6,11,5,8,0,0,0,3,2,0,0,0,1,13.6
True,2023-01-03,16,12,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,1846,5,12,3,9,3,3,1,5,2,2,1,2,2,13.1
True,2023-01-05,19,-4,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,1225,7,14,5,11,0,0,0,0,0,1,0,0,1,12.6
True,2023-01-07,2,-11,UTAH JAZZ,AWAY,CHICAGO BULLS,LOSS,966,1,9,0,7,0,0,0,0,5,0,0,0,0,-0.4
True,2023-01-08,15,1,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1598,6,15,2,9,1,1,0,2,3,2,0,1,0,10.6
True,2023-01-10,13,3,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,2017,4,12,1,8,4,4,0,5,4,1,0,3,0,8.5
True,2023-01-13,9,-21,UTAH JAZZ,HOME,ORLANDO MAGIC,WIN,1665,3,11,3,11,0,0,0,2,2,2,1,2,1,4.8
True,2023-01-14,9,-8,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,LOSS,1927,3,14,3,9,0,0,1,2,1,0,0,2,3,-0.8
True,2023-01-16,10,4,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,1993,4,10,1,6,1,2,1,3,2,0,0,3,2,3.4
True,2023-01-18,13,7,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,1628,5,12,3,6,0,0,1,3,0,0,0,1,1,6.8
