active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-23,4,0,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1329,2,7,0,2,0,0,0,4,1,1,0,0,2,2.0
True,2022-10-26,6,3,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1662,3,8,0,3,0,0,2,3,4,1,0,1,2,5.9
True,2022-10-28,12,-9,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1921,4,10,4,6,0,0,1,7,0,0,0,4,4,3.8
True,2022-10-30,8,-7,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1576,4,8,0,3,0,0,1,5,0,1,0,0,2,6.4
True,2022-11-02,15,6,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,1595,4,7,1,3,6,6,1,9,1,0,0,0,1,15.4
True,2022-11-04,12,-14,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,1322,4,10,2,6,2,2,1,1,0,1,0,2,2,5.8
True,2022-11-06,12,-8,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,LOSS,1776,5,12,2,5,0,0,2,4,0,0,0,1,2,6.4
True,2022-11-07,10,-9,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,1496,4,7,2,5,0,0,0,4,2,0,0,1,4,6.7
True,2022-11-09,14,-1,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1913,6,10,2,6,0,0,1,3,0,1,0,1,1,10.6
True,2022-11-11,2,-14,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,1375,1,6,0,2,0,0,0,3,0,2,0,0,2,0.3
True,2022-11-13,9,22,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,2151,4,7,1,2,0,0,1,3,1,2,0,0,0,10.0
True,2022-11-18,8,-2,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,1089,3,5,1,2,1,1,0,2,1,1,0,0,4,6.4
True,2022-11-20,2,10,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1391,1,4,0,2,0,0,1,6,2,0,0,3,1,0.1
True,2022-11-22,0,-7,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,1242,0,5,0,3,0,0,1,2,1,0,0,2,0,-3.5
True,2022-11-25,10,0,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1753,4,5,2,2,0,0,1,3,0,1,0,0,1,10.3
True,2022-11-26,6,11,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1376,2,3,0,1,2,2,0,2,3,1,0,1,1,7.0
True,2022-11-28,3,-3,LOS ANGELES LAKERS,HOME,INDIANA PACERS,LOSS,1725,1,5,1,2,0,0,4,6,1,0,1,1,1,4.5
True,2022-12-02,9,-10,LOS ANGELES LAKERS,AWAY,MILWAUKEE BUCKS,WIN,1458,4,5,1,2,0,0,1,3,0,3,0,1,1,10.3
True,2022-12-04,6,9,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,WIN,1002,2,4,2,3,0,0,0,1,2,0,0,0,1,5.3
True,2022-12-06,5,6,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,1281,2,5,1,3,0,0,1,3,1,1,1,1,1,4.9
True,2022-12-07,8,3,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,1396,2,6,0,3,4,4,0,4,0,0,0,2,1,3.4
True,2022-12-09,0,-19,LOS ANGELES LAKERS,AWAY,PHILADELPHIA 76ERS,LOSS,562,0,3,0,2,0,0,0,0,0,0,0,0,0,-2.1
True,2022-12-11,2,-2,LOS ANGELES LAKERS,AWAY,DETROIT PISTONS,WIN,899,0,2,0,1,2,2,2,2,0,1,0,0,0,3.6
True,2022-12-13,2,12,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,LOSS,1848,1,3,0,2,0,0,0,3,0,1,0,1,2,0.4
True,2022-12-16,0,12,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,829,0,0,0,0,0,0,0,2,1,1,1,0,0,3.0
True,2022-12-18,0,-12,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,597,0,2,0,1,0,0,1,1,0,0,0,1,1,-1.8
True,2022-12-19,3,-14,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,1261,1,1,1,1,0,0,0,2,1,1,0,1,2,3.2
True,2022-12-21,7,-9,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,890,2,7,1,3,2,2,1,4,0,0,0,1,2,3.0
True,2022-12-23,3,-11,LOS ANGELES LAKERS,HOME,CHARLOTTE HORNETS,LOSS,521,1,5,1,5,0,0,0,0,0,0,0,0,2,-0.9
True,2022-12-25,3,3,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,1084,1,5,1,3,0,0,0,2,0,2,0,1,0,1.5
True,2022-12-27,15,15,LOS ANGELES LAKERS,AWAY,ORLANDO MAGIC,WIN,1046,6,7,3,4,0,0,1,0,1,0,0,0,1,13.5
True,2022-12-28,14,3,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,1255,5,6,4,5,0,0,1,3,0,0,0,1,1,12.0
