active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-18,8,8,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,789,4,6,0,1,0,0,0,5,0,0,1,0,2,6.8
True,2022-11-20,15,-1,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1379,5,5,0,0,5,8,0,9,1,0,0,0,1,15.3
True,2022-11-22,8,-8,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,669,4,5,0,0,0,0,0,3,0,0,1,2,1,5.3
True,2022-11-26,9,2,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1073,3,4,0,0,3,5,2,2,1,0,3,0,2,10.6
True,2022-11-28,2,3,LOS ANGELES LAKERS,HOME,INDIANA PACERS,LOSS,189,1,2,0,0,0,0,3,0,0,0,0,0,0,3.1
True,2022-11-30,14,11,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1170,6,9,1,3,1,1,1,5,3,0,0,0,4,12.8
True,2022-12-02,4,-5,LOS ANGELES LAKERS,AWAY,MILWAUKEE BUCKS,WIN,258,1,1,0,0,2,2,0,0,0,0,0,0,1,3.3
True,2022-12-04,4,5,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,WIN,623,2,4,0,0,0,4,1,4,0,0,0,0,1,1.9
True,2022-12-06,19,6,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,1690,8,12,1,4,2,2,5,4,1,0,0,2,3,16.0
True,2022-12-07,16,-2,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,1903,3,5,0,1,10,10,1,4,2,2,2,1,2,18.6
True,2022-12-09,3,-13,LOS ANGELES LAKERS,AWAY,PHILADELPHIA 76ERS,LOSS,361,1,1,1,1,0,0,1,0,0,0,0,0,1,3.0
True,2022-12-11,5,0,LOS ANGELES LAKERS,AWAY,DETROIT PISTONS,WIN,736,2,4,0,0,1,2,0,2,0,0,2,0,0,4.6
True,2022-12-13,4,4,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,LOSS,419,1,1,0,0,2,2,0,1,0,0,0,0,0,4.0
True,2022-12-16,21,10,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1419,9,11,1,2,2,4,4,2,1,2,0,1,4,19.6
True,2022-12-18,16,0,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1969,7,13,2,2,0,1,2,8,2,0,0,2,3,11.3
True,2022-12-19,16,-15,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,1590,6,12,2,5,2,3,2,3,1,1,0,2,2,10.8
True,2022-12-21,17,-12,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,1870,6,9,2,2,3,4,2,8,4,1,0,2,5,16.3
True,2022-12-23,8,11,LOS ANGELES LAKERS,HOME,CHARLOTTE HORNETS,LOSS,2009,3,8,2,3,0,0,0,13,1,0,0,2,2,5.4
True,2022-12-25,8,-6,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,1133,4,5,0,1,0,0,0,3,2,0,0,0,3,7.2
True,2022-12-27,21,6,LOS ANGELES LAKERS,AWAY,ORLANDO MAGIC,WIN,1858,8,10,1,1,4,6,4,6,1,1,0,0,2,21.9
True,2022-12-28,11,-22,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,1371,5,6,0,0,1,2,2,6,0,0,1,3,3,8.1
True,2022-12-30,19,7,LOS ANGELES LAKERS,AWAY,ATLANTA HAWKS,WIN,2038,8,10,0,1,3,3,1,16,1,1,1,1,2,21.3
True,2023-01-02,18,-7,LOS ANGELES LAKERS,AWAY,CHARLOTTE HORNETS,WIN,2205,9,17,0,1,0,0,5,10,2,1,0,1,4,16.0
True,2023-01-04,21,3,LOS ANGELES LAKERS,HOME,MIAMI HEAT,WIN,1701,9,11,0,0,3,3,3,6,1,0,1,2,1,19.8
True,2023-01-06,19,2,LOS ANGELES LAKERS,HOME,ATLANTA HAWKS,WIN,1676,8,12,1,2,2,2,4,9,0,1,1,1,1,19.6
True,2023-01-07,29,7,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,WIN,2059,12,14,0,0,5,7,4,10,0,1,1,2,4,27.1
True,2023-01-09,17,-15,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1674,6,14,0,1,5,5,2,8,0,1,0,0,1,14.0
True,2023-01-12,11,-17,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1414,5,10,0,2,1,2,3,6,0,0,0,1,2,7.7
True,2023-01-15,10,-10,LOS ANGELES LAKERS,HOME,PHILADELPHIA 76ERS,LOSS,1229,5,9,0,0,0,0,1,2,0,0,1,0,2,6.9
True,2023-01-16,6,-10,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,WIN,1061,1,6,0,1,4,4,0,6,0,0,2,0,3,4.2
True,2023-01-18,8,-7,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,1112,4,7,0,0,0,0,1,3,2,0,0,0,1,7.3
True,2023-01-20,8,7,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,1304,3,8,0,3,2,2,3,4,1,1,1,0,5,7.3
True,2023-01-22,31,22,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2000,12,15,4,5,3,3,5,9,1,0,1,0,4,31.3
True,2023-01-24,15,-6,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1727,6,11,2,3,1,1,0,7,0,0,0,2,1,9.4
True,2023-01-25,8,1,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1263,2,3,0,0,4,4,0,5,0,1,1,0,3,8.7
True,2023-01-28,3,12,LOS ANGELES LAKERS,AWAY,BOSTON CELTICS,LOSS,1147,1,1,0,0,1,2,1,5,0,0,0,0,0,4.5
True,2023-01-30,18,1,LOS ANGELES LAKERS,AWAY,BROOKLYN NETS,LOSS,1605,7,8,1,2,3,7,2,7,0,0,1,1,1,16.4
True,2023-01-31,9,-10,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,WIN,964,3,3,0,0,3,3,0,1,0,0,0,0,0,8.4
True,2023-02-02,11,4,LOS ANGELES LAKERS,AWAY,INDIANA PACERS,WIN,692,4,4,1,1,2,2,1,5,0,0,1,0,0,12.7
True,2023-02-04,2,-3,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,LOSS,189,1,2,0,1,0,2,0,1,0,0,0,0,0,0.5
True,2023-02-07,4,1,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1044,2,3,0,1,0,0,1,4,1,0,1,0,0,6.0
True,2023-02-11,0,-2,DENVER NUGGETS,AWAY,CHARLOTTE HORNETS,WIN,121,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2023-02-13,10,-1,DENVER NUGGETS,AWAY,MIAMI HEAT,WIN,848,4,5,0,0,2,2,1,1,0,0,0,0,3,7.9
True,2023-02-15,8,0,DENVER NUGGETS,HOME,DALLAS MAVERICKS,WIN,832,3,5,0,1,2,3,2,3,0,0,0,1,1,6.2
True,2023-02-23,2,-5,DENVER NUGGETS,AWAY,CLEVELAND CAVALIERS,WIN,717,0,3,0,0,2,2,4,2,0,0,0,2,2,0.5
True,2023-02-25,2,2,DENVER NUGGETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1279,1,4,0,0,0,0,1,7,0,1,1,1,0,3.1
