active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,3,3,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,112,1,1,1,1,0,0,0,1,0,0,0,0,0,3.0
True,2022-10-26,2,7,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,166,0,0,0,0,2,2,0,1,1,0,0,0,0,3.0
True,2022-11-04,0,-2,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,77,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-06,2,3,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,LOSS,290,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,2022-11-07,8,-16,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,1743,3,7,2,4,0,0,1,0,2,2,0,1,0,7.4
True,2022-11-09,3,-8,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,868,1,1,1,1,0,0,0,5,0,0,0,1,2,2.4
True,2022-11-11,7,8,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,1003,2,5,2,5,1,2,0,4,1,1,0,0,1,6.4
True,2022-11-13,0,1,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,1239,0,1,0,0,0,0,0,9,0,0,0,0,0,2.0
True,2022-11-25,0,-2,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-30,3,8,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1120,1,6,1,5,0,0,0,1,1,0,0,0,1,-0.2
True,2022-12-07,5,4,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,801,2,5,1,3,0,0,0,3,0,0,0,1,1,1.8
True,2022-12-16,6,14,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,956,2,5,2,3,0,0,2,1,0,0,1,0,1,5.3
True,2022-12-18,8,-2,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1420,3,6,2,5,0,0,0,4,0,0,1,0,0,6.9
True,2022-12-19,2,-17,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,1623,1,9,0,3,0,0,2,4,1,0,0,1,0,-1.6
True,2022-12-21,6,-16,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,1583,2,3,2,2,0,0,0,4,3,0,0,0,2,7.2
True,2022-12-23,0,-11,LOS ANGELES LAKERS,HOME,CHARLOTTE HORNETS,LOSS,617,0,1,0,1,0,0,0,0,0,0,0,1,1,-2.1
True,2022-12-25,2,1,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,277,0,1,0,1,2,2,0,1,0,0,0,0,1,1.2
True,2022-12-27,0,7,LOS ANGELES LAKERS,AWAY,ORLANDO MAGIC,WIN,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-28,0,0,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-04,0,-1,LOS ANGELES LAKERS,HOME,MIAMI HEAT,WIN,405,0,2,0,2,0,0,0,1,1,0,0,1,1,-1.8
True,2023-01-06,8,6,LOS ANGELES LAKERS,HOME,ATLANTA HAWKS,WIN,965,3,5,2,2,0,0,0,1,3,0,1,2,2,6.0
True,2023-01-07,2,0,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,WIN,1430,1,2,0,0,0,0,0,2,0,0,0,0,1,1.2
True,2023-01-09,14,-10,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1552,6,8,2,3,0,0,0,3,1,0,0,0,1,12.0
True,2023-01-12,7,-9,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1724,3,6,1,3,0,0,2,3,0,0,1,1,2,5.2
True,2023-01-15,2,-11,LOS ANGELES LAKERS,HOME,PHILADELPHIA 76ERS,LOSS,871,1,4,0,1,0,0,0,2,0,0,0,0,2,-0.6
True,2023-01-16,0,3,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,WIN,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-18,12,-5,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,1630,3,8,2,6,4,4,0,3,1,2,0,0,3,10.0
True,2023-01-20,3,-13,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,844,1,1,1,1,0,0,0,1,1,0,0,0,0,3.7
True,2023-01-22,0,-9,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,971,0,1,0,1,0,0,0,2,0,0,1,0,1,0.2
True,2023-01-24,5,-4,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1048,2,3,1,2,0,0,0,2,0,1,0,0,0,5.3
True,2023-01-25,5,13,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1463,1,2,1,2,2,2,0,4,1,1,1,1,0,6.6
True,2023-01-30,3,-13,LOS ANGELES LAKERS,AWAY,BROOKLYN NETS,LOSS,466,1,2,0,1,1,2,0,1,0,0,0,1,2,0.1
True,2023-01-31,6,2,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,WIN,758,2,3,2,3,0,0,0,2,0,0,0,0,5,3.3
True,2023-02-09,0,-8,LOS ANGELES LAKERS,HOME,MILWAUKEE BUCKS,LOSS,743,0,2,0,0,0,0,0,0,1,0,0,0,0,-0.7
True,2023-02-13,2,14,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,402,0,1,0,1,2,2,0,2,1,1,1,2,1,1.9
True,2023-02-28,0,-1,LOS ANGELES LAKERS,AWAY,MEMPHIS GRIZZLIES,LOSS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-01,2,-9,LOS ANGELES LAKERS,AWAY,OKLAHOMA CITY THUNDER,WIN,356,1,2,0,0,0,0,0,0,0,1,0,0,1,1.6
True,2023-03-14,0,-4,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,WIN,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-04-02,0,2,LOS ANGELES LAKERS,AWAY,HOUSTON ROCKETS,WIN,228,0,1,0,0,0,0,0,1,2,0,0,0,0,1.0
True,2023-04-07,0,-2,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-04-09,0,0,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
