active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,27,-21,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2136,10,22,0,3,7,9,0,6,0,4,1,3,2,17.5
True,2022-10-20,25,5,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1916,9,16,2,4,5,7,2,6,0,2,0,2,2,19.0
True,2022-10-23,22,3,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2176,9,17,0,3,4,4,5,5,3,2,6,1,5,24.0
True,2022-10-26,22,-22,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,2186,11,19,0,1,0,1,1,13,5,3,2,0,1,24.8
True,2022-10-30,23,15,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,2208,10,18,0,0,3,4,6,9,2,1,1,2,3,20.8
True,2022-11-02,20,9,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,2232,8,17,0,0,4,4,5,11,4,1,4,1,3,22.5
True,2022-11-04,22,-8,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,2091,9,17,1,2,3,3,3,5,2,0,2,1,3,17.9
True,2022-11-06,19,-7,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,LOSS,1965,7,12,0,0,5,9,3,9,4,0,1,1,4,17.5
True,2022-11-07,29,-9,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,1752,11,18,1,1,6,7,1,3,2,1,1,2,2,22.3
True,2022-11-09,21,-10,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2121,9,16,0,1,3,4,1,8,3,0,1,3,5,13.9
True,2022-11-11,24,-7,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,2051,8,17,0,1,8,11,6,8,3,2,3,2,2,24.1
True,2022-11-13,37,15,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,2018,15,25,0,0,7,7,10,8,2,0,0,1,5,33.3
True,2022-11-18,38,4,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,2042,10,16,0,1,18,21,2,14,2,1,4,4,3,35.2
True,2022-11-20,30,34,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1666,12,19,0,2,6,6,3,15,2,3,1,2,1,30.8
True,2022-11-22,37,-3,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,2303,11,17,0,0,15,16,3,18,2,5,5,6,2,39.7
True,2022-11-25,25,16,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,2104,10,13,0,0,5,7,4,11,4,1,3,3,4,26.5
True,2022-11-28,25,-1,LOS ANGELES LAKERS,HOME,INDIANA PACERS,LOSS,2190,9,15,0,0,7,10,3,10,6,0,4,2,4,25.4
True,2022-11-30,27,8,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1748,9,17,1,2,8,9,5,7,1,1,3,2,3,24.5
True,2022-12-02,44,5,LOS ANGELES LAKERS,AWAY,MILWAUKEE BUCKS,WIN,2377,18,27,2,3,6,7,2,8,4,0,3,0,2,39.8
True,2022-12-04,55,17,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,WIN,2252,22,30,2,3,9,9,3,14,1,0,3,2,1,49.5
True,2022-12-06,1,-6,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,487,0,0,0,0,1,3,1,2,2,0,0,0,0,2.9
True,2022-12-09,31,16,LOS ANGELES LAKERS,AWAY,PHILADELPHIA 76ERS,LOSS,2170,9,13,0,1,13,14,2,10,0,2,2,3,5,27.9
True,2022-12-11,34,7,LOS ANGELES LAKERS,AWAY,DETROIT PISTONS,WIN,2144,12,18,0,1,10,12,3,12,7,2,1,1,3,36.5
True,2022-12-13,37,-8,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,LOSS,2761,13,24,0,2,11,15,4,8,3,1,1,1,1,31.4
True,2022-12-16,10,-4,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1047,4,6,0,0,2,2,0,4,2,1,1,2,2,8.9
True,2023-01-25,21,8,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1572,7,15,1,3,6,7,5,7,1,1,4,3,2,19.2
True,2023-01-28,16,-16,LOS ANGELES LAKERS,AWAY,BOSTON CELTICS,LOSS,2033,6,15,1,3,3,4,5,5,4,0,0,2,4,11.7
True,2023-01-31,27,16,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,WIN,2213,9,16,0,1,9,11,2,7,1,2,0,5,3,18.6
True,2023-02-02,31,-6,LOS ANGELES LAKERS,AWAY,INDIANA PACERS,WIN,2072,13,27,0,3,5,5,5,9,2,1,2,2,0,25.3
True,2023-02-04,34,0,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,LOSS,2306,13,25,2,5,6,7,4,10,3,1,2,2,3,28.4
True,2023-02-07,13,-4,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1836,6,9,0,0,1,2,3,5,2,2,1,2,4,12.8
True,2023-02-09,23,-7,LOS ANGELES LAKERS,HOME,MILWAUKEE BUCKS,LOSS,2100,9,22,0,2,5,6,5,11,2,0,0,5,5,12.0
True,2023-02-11,13,8,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,WIN,2144,5,19,0,1,3,4,2,14,1,0,3,4,2,4.9
True,2023-02-13,19,-10,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1864,8,18,0,2,3,3,3,17,1,0,3,2,3,16.4
True,2023-02-15,28,18,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,1810,13,17,0,1,2,5,2,8,5,1,2,0,2,29.0
True,2023-02-23,12,5,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1531,3,5,0,0,6,8,3,9,1,0,2,1,2,14.0
True,2023-02-26,30,16,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,WIN,2198,12,20,0,2,6,9,4,11,4,1,3,1,2,29.8
True,2023-02-28,28,-9,LOS ANGELES LAKERS,AWAY,MEMPHIS GRIZZLIES,LOSS,2132,9,19,0,1,10,13,6,13,0,0,5,5,3,22.5
True,2023-03-03,38,-8,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1943,12,22,2,4,12,14,1,4,2,1,2,6,3,25.1
True,2023-03-05,39,17,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,2255,14,25,1,3,10,13,3,5,6,0,2,2,2,32.3
True,2023-03-07,30,24,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,2132,11,17,1,2,7,9,4,18,3,0,2,7,2,25.6
True,2023-03-10,8,-11,LOS ANGELES LAKERS,HOME,TORONTO RAPTORS,WIN,1954,4,7,0,0,0,0,3,6,3,0,4,1,3,11.3
True,2023-03-12,17,9,LOS ANGELES LAKERS,HOME,NEW YORK KNICKS,LOSS,2234,8,18,0,1,1,5,6,10,4,2,1,1,1,17.3
True,2023-03-14,35,18,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,WIN,1999,11,18,1,2,12,13,6,11,1,0,0,3,1,31.2
True,2023-03-17,26,1,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,2203,9,14,0,1,8,11,3,7,3,0,1,2,5,21.6
True,2023-03-19,15,-3,LOS ANGELES LAKERS,HOME,ORLANDO MAGIC,WIN,2061,6,15,0,0,3,6,2,9,1,2,4,5,4,8.7
True,2023-03-22,27,13,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,2297,10,18,0,0,7,10,1,8,5,1,0,1,4,22.2
True,2023-03-24,37,8,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,WIN,2189,15,21,0,1,7,11,5,10,1,1,0,1,1,33.5
True,2023-03-26,15,7,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,LOSS,2153,6,8,0,0,3,6,2,7,5,1,1,2,5,15.3
True,2023-03-29,38,16,LOS ANGELES LAKERS,AWAY,CHICAGO BULLS,WIN,2318,13,20,1,1,11,14,5,4,4,2,2,0,1,38.5
True,2023-03-31,38,0,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2211,15,26,0,2,8,10,8,9,0,1,2,3,3,31.5
True,2023-04-02,40,2,LOS ANGELES LAKERS,AWAY,HOUSTON ROCKETS,WIN,1827,15,20,0,0,10,12,4,5,1,0,2,0,0,37.6
True,2023-04-04,21,4,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,WIN,2525,7,16,0,0,7,12,4,10,6,2,2,1,3,21.8
True,2023-04-05,17,9,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1939,7,14,0,1,3,4,4,7,3,1,2,1,2,17.2
True,2023-04-07,14,17,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,2038,4,12,0,1,6,7,4,17,4,0,3,1,1,18.2
True,2023-04-09,16,10,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,2037,7,15,0,0,2,2,3,10,3,3,4,4,2,16.5
