active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,0,0,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,468,0,1,0,0,0,2,1,0,1,0,0,0,2,-0.9
True,2022-10-26,0,7,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-28,8,10,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1289,3,6,0,1,2,2,0,6,1,3,2,1,2,10.1
True,2022-10-30,4,0,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,517,2,4,0,1,0,0,1,1,0,0,0,0,1,2.6
True,2022-11-02,6,-6,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,948,3,4,0,1,0,0,2,2,1,1,0,2,4,4.5
True,2022-11-04,5,-4,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,667,1,1,0,0,3,4,1,3,1,0,0,0,1,6.2
True,2022-11-06,4,-7,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,LOSS,915,2,4,0,1,0,0,1,3,0,0,1,1,3,2.1
True,2022-11-07,4,-9,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,1419,2,3,0,0,0,0,0,4,2,3,0,2,3,5.1
True,2022-11-09,4,-4,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,524,1,1,0,0,2,2,0,1,1,1,1,0,2,5.6
True,2022-11-11,8,10,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,1148,4,4,0,0,0,0,1,1,1,0,2,1,4,7.3
True,2022-11-13,9,-2,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,862,4,7,1,1,0,0,0,0,0,0,0,1,1,4.3
True,2022-11-18,15,3,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,1066,5,5,0,0,5,5,3,4,0,0,0,1,1,15.4
True,2022-11-20,2,1,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,965,1,1,0,0,0,0,0,5,1,0,0,0,2,3.1
