active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,31,-10,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2112,12,26,3,10,4,4,5,10,8,0,0,5,2,23.9
True,2022-10-20,20,-1,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,2200,7,17,2,8,4,6,2,8,6,1,2,2,3,17.3
True,2022-10-23,31,2,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2263,12,22,2,9,5,7,1,7,8,2,2,4,3,26.2
True,2022-10-26,19,-7,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,2118,8,21,2,8,1,2,2,5,9,1,0,8,1,8.9
True,2022-10-28,28,-13,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2247,10,24,1,6,7,8,3,4,5,4,0,3,2,21.8
True,2022-10-30,26,-1,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,2082,10,22,2,5,4,5,0,6,8,1,0,3,1,19.2
True,2022-11-02,20,5,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,2383,9,23,0,7,2,4,0,10,8,0,2,2,3,13.5
True,2022-11-04,17,-11,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,2049,7,19,0,5,3,5,2,8,8,0,1,3,3,11.6
True,2022-11-06,27,-8,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,LOSS,2029,13,23,1,4,0,3,2,5,4,0,0,1,0,19.6
True,2022-11-09,30,-17,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1941,12,22,4,9,2,4,1,7,5,2,0,3,2,23.1
True,2022-11-25,21,16,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1995,8,17,1,4,4,4,0,8,5,3,1,9,2,12.1
True,2022-11-26,39,-3,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,2128,11,21,7,12,10,10,0,11,3,1,1,4,3,30.6
True,2022-11-28,21,-7,LOS ANGELES LAKERS,HOME,INDIANA PACERS,LOSS,2170,8,22,3,10,2,3,1,6,3,1,0,1,1,12.6
True,2022-11-30,31,8,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1950,12,18,6,8,1,3,2,5,8,0,1,2,1,29.2
True,2022-12-02,28,6,LOS ANGELES LAKERS,AWAY,MILWAUKEE BUCKS,WIN,2231,12,27,3,6,1,2,1,7,11,2,0,0,2,25.2
True,2022-12-04,29,13,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,WIN,2066,12,26,2,7,3,4,1,7,6,1,0,5,3,17.0
True,2022-12-06,21,-14,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,2137,8,17,2,6,3,4,4,13,4,1,1,3,0,20.1
True,2022-12-09,23,-10,LOS ANGELES LAKERS,AWAY,PHILADELPHIA 76ERS,LOSS,2630,9,22,1,8,4,8,1,3,6,2,0,3,3,13.2
True,2022-12-11,35,18,LOS ANGELES LAKERS,AWAY,DETROIT PISTONS,WIN,2212,14,24,2,6,5,5,1,4,5,1,0,1,1,28.8
True,2022-12-13,33,10,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,LOSS,2567,14,25,3,11,2,4,0,9,9,2,1,4,4,26.4
True,2022-12-16,30,26,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,2156,13,21,1,4,3,4,1,8,4,2,0,2,2,25.2
True,2022-12-18,33,10,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,2193,13,24,1,4,6,8,1,6,9,0,1,0,0,30.1
True,2022-12-21,31,-4,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,2040,11,21,0,4,9,10,0,6,11,0,2,2,0,29.2
True,2022-12-23,34,-6,LOS ANGELES LAKERS,HOME,CHARLOTTE HORNETS,LOSS,2036,15,23,4,8,0,2,0,2,8,1,0,3,2,26.5
True,2022-12-25,38,2,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,2060,13,23,0,4,12,12,0,6,5,0,0,2,2,29.6
True,2022-12-27,28,8,LOS ANGELES LAKERS,AWAY,ORLANDO MAGIC,WIN,1870,12,24,0,7,4,5,2,5,5,1,1,4,1,19.3
True,2022-12-28,27,-4,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,2010,10,18,2,5,5,5,0,9,6,0,0,6,4,17.7
True,2022-12-30,47,12,LOS ANGELES LAKERS,AWAY,ATLANTA HAWKS,WIN,2379,18,27,4,6,7,9,2,8,9,0,1,5,0,40.3
True,2023-01-02,43,9,LOS ANGELES LAKERS,AWAY,CHARLOTTE HORNETS,WIN,2373,16,26,0,5,11,15,0,11,6,1,0,3,1,34.7
True,2023-01-06,25,12,LOS ANGELES LAKERS,HOME,ATLANTA HAWKS,WIN,1967,10,19,1,5,4,6,0,7,10,0,0,5,0,19.0
True,2023-01-07,37,15,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,WIN,2263,14,28,1,6,8,9,1,7,7,1,0,4,2,26.5
True,2023-01-12,24,-3,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,2805,9,28,0,7,6,10,6,10,9,2,0,3,0,18.9
True,2023-01-15,35,19,LOS ANGELES LAKERS,HOME,PHILADELPHIA 76ERS,LOSS,2118,15,23,1,5,4,5,0,8,10,1,1,3,1,32.2
True,2023-01-16,48,19,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,WIN,2151,16,26,5,10,11,12,1,7,9,0,0,0,1,44.5
True,2023-01-18,32,-16,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,2190,11,25,2,9,8,9,0,8,9,1,1,1,0,27.9
True,2023-01-20,23,9,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,2192,8,21,1,5,6,7,2,7,6,2,2,3,4,17.6
True,2023-01-22,37,17,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2156,14,24,2,7,7,10,0,11,4,0,2,4,2,27.3
True,2023-01-24,46,-14,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1955,16,29,9,14,5,5,1,7,7,2,1,0,0,42.5
True,2023-01-25,20,2,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,2119,8,20,1,6,3,4,1,8,11,0,0,6,0,13.6
True,2023-01-28,41,1,LOS ANGELES LAKERS,AWAY,BOSTON CELTICS,LOSS,2653,15,30,6,12,5,6,1,8,8,0,0,2,2,31.5
True,2023-01-31,28,22,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,WIN,2576,11,25,2,8,4,7,1,9,11,1,0,5,2,20.0
True,2023-02-02,26,-4,LOS ANGELES LAKERS,AWAY,INDIANA PACERS,WIN,1978,11,19,2,5,2,2,2,5,7,0,0,3,1,21.5
True,2023-02-04,27,-5,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,LOSS,2377,10,22,1,7,6,9,0,9,6,0,0,2,2,18.5
True,2023-02-07,38,8,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2037,13,20,4,6,8,10,0,7,3,3,0,4,3,30.4
True,2023-02-15,21,14,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,1753,7,14,0,5,7,10,0,6,6,0,1,4,1,15.1
True,2023-02-23,13,22,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1579,5,20,2,6,1,2,3,6,8,0,0,2,2,7.3
True,2023-02-26,26,0,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,WIN,2211,10,23,1,6,5,7,3,5,3,1,1,3,4,15.9
True,2023-03-26,19,4,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,LOSS,1772,6,11,0,2,7,8,1,7,3,0,0,5,2,12.4
True,2023-03-29,25,23,LOS ANGELES LAKERS,AWAY,CHICAGO BULLS,WIN,1876,10,19,1,3,4,4,3,5,4,2,0,4,2,19.3
True,2023-03-31,18,0,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1949,7,19,1,3,3,4,1,9,6,1,2,3,1,13.7
True,2023-04-02,18,23,LOS ANGELES LAKERS,AWAY,HOUSTON ROCKETS,WIN,1761,8,18,1,7,1,1,2,8,11,0,1,1,1,19.4
