active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,2,-9,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,435,1,2,0,1,0,0,0,1,2,0,0,0,0,2.7
True,2022-10-23,4,-5,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,367,2,4,0,0,0,0,1,1,0,0,0,0,2,2.2
True,2022-10-26,4,11,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,694,1,2,0,0,2,4,1,3,0,0,1,0,1,4.1
True,2022-10-28,3,-19,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1413,1,4,0,0,1,2,4,4,1,0,1,3,3,1.4
True,2022-10-30,0,-6,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,133,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.4
True,2022-11-04,0,-2,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-07,10,-6,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,913,3,6,0,0,4,4,3,4,0,0,1,2,2,8.2
True,2022-11-09,0,-2,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-11,4,0,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,445,2,2,0,0,0,0,0,2,0,1,0,0,1,4.6
True,2022-11-20,0,1,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,263,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0
True,2022-11-30,0,3,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,WIN,115,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-12-06,2,2,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,712,0,0,0,0,2,2,2,2,0,0,1,1,1,3.3
True,2022-12-07,10,0,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,1516,4,5,0,0,2,2,4,6,1,0,1,1,0,13.1
True,2022-12-16,0,-4,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-18,8,3,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1000,4,6,0,1,0,0,0,2,0,1,1,1,3,5.5
True,2022-12-19,3,-11,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,1290,1,3,0,1,1,2,1,6,0,0,3,0,1,5.1
True,2022-12-21,2,4,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,371,1,1,0,0,0,0,1,2,0,0,0,0,0,3.0
True,2022-12-25,3,7,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,130,0,0,0,0,3,4,1,0,0,1,0,0,0,4.3
True,2023-01-09,0,2,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,136,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2023-01-24,0,0,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,307,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.1
True,2023-01-25,0,0,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-30,0,-3,LOS ANGELES LAKERS,AWAY,BROOKLYN NETS,LOSS,120,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2023-02-15,7,10,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,460,3,4,0,0,1,2,0,2,0,0,2,0,3,5.8
True,2023-02-23,0,-9,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,WIN,800,0,0,0,0,0,0,2,3,1,0,0,1,1,1.6
