active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,3,-6,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,960,1,3,0,2,1,1,0,0,1,0,0,0,1,1.6
True,2022-10-20,4,0,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1315,1,2,0,1,2,2,2,2,2,0,0,0,5,4.4
True,2022-10-23,7,-6,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1138,2,5,2,4,1,1,0,0,1,1,0,2,1,3.6
True,2022-10-26,8,-23,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1589,3,5,2,3,0,0,0,2,1,0,0,1,0,6.0
True,2022-10-28,12,8,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1595,4,5,2,3,2,2,1,6,3,0,0,2,0,12.7
True,2022-10-30,10,15,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1656,3,6,2,4,2,3,0,4,2,1,1,0,1,10.5
True,2022-11-02,7,-11,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,2067,2,6,0,3,3,3,0,0,2,2,0,1,1,5.6
True,2022-11-04,5,-4,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,1301,1,1,1,1,2,2,0,2,3,1,2,1,1,8.4
True,2022-11-06,1,-12,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,LOSS,1525,0,2,0,1,1,1,0,4,0,0,1,2,3,-1.7
True,2022-11-07,11,-14,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,1788,2,6,0,3,7,7,0,4,1,0,0,0,0,9.5
True,2022-11-09,8,1,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2116,3,10,1,5,1,3,4,5,1,0,0,1,0,5.4
True,2022-11-11,19,2,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,1984,7,12,0,2,5,5,2,3,1,1,0,3,1,14.0
True,2022-11-13,15,20,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,1956,5,8,3,4,2,3,0,1,3,0,0,1,2,11.6
True,2022-11-18,16,14,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,2183,5,8,2,4,4,4,1,3,6,0,1,0,2,18.1
True,2022-11-20,21,19,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1637,7,11,3,4,4,4,1,1,3,0,0,1,1,17.8
True,2022-11-22,11,-2,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,2136,3,5,0,1,5,5,1,2,4,0,1,1,5,10.5
True,2022-11-25,8,15,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1758,3,8,0,3,2,2,1,5,2,1,0,2,1,5.8
True,2022-11-26,16,3,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1850,6,7,1,2,3,3,0,2,2,1,0,2,3,13.3
