active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,20,-8,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,WIN,2075,7,16,2,6,4,5,0,5,2,1,1,4,5,9.8
True,2022-10-21,23,-7,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,2366,8,17,3,8,4,4,1,4,7,2,1,3,0,20.8
True,2022-10-23,6,0,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,1548,2,5,0,2,2,2,1,2,6,1,0,3,0,6.8
True,2022-10-24,25,-12,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,1883,8,16,3,6,6,6,2,3,7,2,1,3,2,23.1
True,2022-10-26,12,0,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,WIN,1739,5,10,1,4,1,4,0,2,9,0,1,4,1,9.0
True,2022-10-28,11,12,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,WIN,1848,4,15,2,7,1,2,0,4,7,7,1,2,1,13.1
True,2022-10-30,10,0,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,LOSS,1670,5,17,0,7,0,0,2,3,4,0,1,2,4,2.3
True,2022-11-01,5,-20,MINNESOTA TIMBERWOLVES,AWAY,PHOENIX SUNS,LOSS,1358,2,8,1,3,0,0,0,4,4,0,0,4,3,-1.0
True,2022-11-04,9,-18,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,LOSS,1630,3,15,2,8,1,2,1,2,4,0,0,3,0,0.4
True,2022-11-05,13,2,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,WIN,1598,5,9,1,3,2,3,3,3,4,2,0,3,4,11.5
