active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-18,2,-6,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,874,1,5,0,1,0,0,0,0,2,0,0,1,2,-1.5
True,2022-11-20,13,8,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1378,4,7,1,2,4,4,0,2,2,1,0,0,0,12.7
True,2022-11-22,0,-8,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,1202,0,6,0,3,0,0,0,0,1,1,0,1,0,-3.5
True,2022-11-25,9,7,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1743,3,7,0,1,3,3,1,2,5,1,0,1,2,9.3
True,2022-11-26,21,4,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1842,6,10,3,4,6,6,0,3,6,0,0,1,3,19.3
True,2022-11-28,8,-16,LOS ANGELES LAKERS,HOME,INDIANA PACERS,LOSS,1829,2,6,1,4,3,4,0,3,4,1,0,1,4,6.3
True,2022-11-30,6,5,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1745,3,7,0,0,0,1,0,1,5,0,0,2,2,2.9
True,2022-12-04,4,14,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,WIN,1811,2,5,0,1,0,0,0,2,8,2,0,2,0,7.5
True,2022-12-06,16,-13,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,1607,6,13,1,6,3,3,0,1,0,0,0,3,0,6.6
True,2022-12-07,18,-8,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,1661,5,10,1,4,7,7,0,5,3,0,0,2,1,14.2
True,2022-12-09,4,-17,LOS ANGELES LAKERS,AWAY,PHILADELPHIA 76ERS,LOSS,1282,2,5,0,2,0,0,0,1,4,0,0,1,1,3.0
True,2022-12-11,5,15,LOS ANGELES LAKERS,AWAY,DETROIT PISTONS,WIN,1967,2,6,1,2,0,0,0,2,5,0,0,2,2,2.9
True,2022-12-13,2,-15,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,LOSS,1161,0,2,0,1,2,2,0,1,1,0,0,0,2,0.8
True,2022-12-16,15,15,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1838,5,12,3,6,2,2,1,0,3,2,0,2,4,9.8
True,2022-12-18,12,7,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1773,4,12,2,6,2,2,0,2,7,0,0,1,6,7.3
True,2022-12-19,30,-18,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,1751,12,19,2,2,4,4,0,4,4,0,0,4,2,20.7
True,2022-12-21,18,-8,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,1794,6,13,2,4,4,6,0,1,3,0,0,2,4,9.3
True,2022-12-23,9,-8,LOS ANGELES LAKERS,HOME,CHARLOTTE HORNETS,LOSS,1601,4,10,1,5,0,0,0,4,5,0,0,2,4,4.7
True,2022-12-25,7,-4,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,1651,3,6,1,3,0,0,0,5,4,0,0,2,3,5.1
True,2022-12-27,7,9,LOS ANGELES LAKERS,AWAY,ORLANDO MAGIC,WIN,1694,2,3,1,1,2,2,1,1,2,1,0,3,2,5.3
True,2022-12-28,15,-12,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,2079,5,10,2,5,3,4,0,2,2,0,0,4,1,7.2
True,2022-12-30,12,2,LOS ANGELES LAKERS,AWAY,ATLANTA HAWKS,WIN,1921,5,12,1,5,1,1,1,1,9,3,0,2,3,12.7
True,2023-01-02,15,6,LOS ANGELES LAKERS,AWAY,CHARLOTTE HORNETS,WIN,2224,4,11,1,3,6,7,0,1,5,0,1,1,3,10.8
True,2023-01-04,32,6,LOS ANGELES LAKERS,HOME,MIAMI HEAT,WIN,2424,8,15,4,7,12,14,0,4,2,4,0,1,0,29.5
True,2023-01-06,21,10,LOS ANGELES LAKERS,HOME,ATLANTA HAWKS,WIN,2087,7,14,5,8,2,3,0,2,1,0,0,3,3,10.7
True,2023-01-07,27,13,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,WIN,2287,8,11,4,5,7,7,1,3,2,0,0,2,1,23.1
True,2023-01-09,14,-16,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,2064,3,13,0,5,8,8,0,3,4,2,0,1,3,9.6
True,2023-01-12,7,-9,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,2297,3,13,0,6,1,1,0,4,6,0,0,0,1,4.1
True,2023-01-15,8,-5,LOS ANGELES LAKERS,HOME,PHILADELPHIA 76ERS,LOSS,1860,3,9,1,2,1,2,0,0,3,0,0,2,2,1.8
True,2023-01-16,9,10,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,WIN,1993,3,9,0,1,3,5,0,2,3,0,0,0,3,4.6
True,2023-01-18,5,-5,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,1575,2,6,0,1,1,1,0,0,2,1,0,2,4,0.4
True,2023-01-20,19,9,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,2006,4,11,1,3,10,11,1,7,8,3,1,1,2,22.8
True,2023-01-22,24,6,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2170,6,13,2,5,10,10,2,4,8,1,0,1,1,25.1
True,2023-01-24,7,-11,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1935,3,9,1,3,0,0,0,2,0,2,1,1,2,3.4
True,2023-01-25,9,15,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,2252,3,12,1,6,2,3,3,5,5,4,2,3,3,9.7
True,2023-01-28,13,1,LOS ANGELES LAKERS,AWAY,BOSTON CELTICS,LOSS,2254,6,12,0,5,1,1,0,2,3,0,0,2,5,5.7
True,2023-01-30,10,4,LOS ANGELES LAKERS,AWAY,BROOKLYN NETS,LOSS,2039,2,15,1,4,5,6,0,6,5,0,0,0,3,4.0
True,2023-01-31,12,20,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,WIN,1939,4,7,2,3,2,2,0,1,6,0,0,1,3,11.0
True,2023-02-02,12,-3,LOS ANGELES LAKERS,AWAY,INDIANA PACERS,WIN,2188,4,8,2,3,2,4,2,4,5,1,0,3,1,10.9
True,2023-02-04,7,5,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,LOSS,2208,1,6,1,2,4,4,0,2,10,1,0,2,3,8.6
True,2023-02-07,10,-11,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1915,4,9,0,5,2,2,0,2,3,0,0,3,3,3.8
True,2023-02-09,25,-7,LOS ANGELES LAKERS,HOME,MILWAUKEE BUCKS,LOSS,2059,10,17,1,4,4,4,0,2,12,1,0,0,5,25.1
True,2023-02-11,26,7,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,WIN,1803,7,12,3,4,9,11,0,3,3,0,0,1,0,21.6
True,2023-02-13,2,-6,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1780,1,7,0,2,0,0,0,2,6,0,0,2,2,-0.5
True,2023-02-15,10,7,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,1194,3,4,1,1,3,6,0,1,2,0,0,0,1,8.5
True,2023-02-23,13,12,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1642,4,7,1,1,4,4,0,0,6,1,1,3,2,11.8
True,2023-02-26,16,17,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,WIN,2075,5,12,0,4,6,6,0,1,8,0,0,1,0,14.5
True,2023-02-28,10,-1,LOS ANGELES LAKERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1938,4,11,1,4,1,1,0,4,10,0,0,6,4,4.5
True,2023-03-01,26,16,LOS ANGELES LAKERS,AWAY,OKLAHOMA CITY THUNDER,WIN,2235,8,18,3,6,7,8,0,2,6,2,1,3,6,18.3
True,2023-03-03,6,-1,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2023,3,13,0,4,0,1,0,1,12,1,0,0,2,6.6
True,2023-03-05,11,-6,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1996,4,13,1,4,2,2,0,1,6,1,0,0,3,7.8
True,2023-03-07,17,16,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,2075,5,14,0,3,7,7,0,6,9,1,0,2,1,15.9
True,2023-03-10,23,32,LOS ANGELES LAKERS,HOME,TORONTO RAPTORS,WIN,2003,8,17,3,6,4,4,0,1,7,4,0,6,0,17.5
True,2023-03-12,14,-3,LOS ANGELES LAKERS,HOME,NEW YORK KNICKS,LOSS,1560,6,11,1,3,1,2,0,1,1,1,0,2,2,7.5
True,2023-03-14,3,-4,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,WIN,1124,1,5,0,2,1,1,0,2,3,0,0,1,1,1.2
True,2023-03-15,16,-6,LOS ANGELES LAKERS,AWAY,HOUSTON ROCKETS,LOSS,1495,3,10,0,2,10,12,1,1,0,0,0,1,1,9.0
True,2023-03-17,15,6,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1786,7,13,1,2,0,0,0,3,5,0,0,4,2,8.3
