active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,5,-13,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1757,2,7,0,3,1,2,1,2,5,1,1,2,0,5.0
True,2022-10-20,26,-4,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,2194,9,21,2,9,6,6,1,2,3,2,0,1,3,18.1
True,2022-10-23,15,5,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1945,7,13,1,5,0,1,2,2,1,1,1,2,3,9.5
True,2022-10-26,15,-27,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1829,6,14,1,6,2,3,0,2,1,2,1,1,1,9.8
True,2022-10-28,6,-3,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1449,3,10,0,4,0,0,1,2,3,0,1,2,3,1.1
True,2022-10-30,18,15,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,2116,6,14,3,5,3,4,0,5,2,1,2,0,1,15.1
True,2022-11-02,28,8,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,2422,9,17,5,9,5,6,0,3,1,1,1,2,2,19.8
True,2022-11-04,19,-12,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,1801,6,12,2,3,5,5,0,1,1,2,0,0,2,15.2
True,2022-11-06,6,-10,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,LOSS,1165,3,7,0,3,0,0,0,1,1,0,0,0,5,1.3
True,2022-11-11,19,-14,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,1992,8,14,2,4,1,2,0,1,1,2,0,2,1,12.6
True,2022-11-13,25,20,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,1822,9,15,4,5,3,3,0,1,0,0,0,0,2,17.6
True,2022-11-18,17,0,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,2044,6,13,1,4,4,4,0,1,3,0,0,2,2,9.9
True,2022-11-20,14,23,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1664,6,12,2,6,0,0,0,1,2,0,0,2,1,7.3
True,2022-11-22,24,-1,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,2281,8,18,2,6,6,7,0,0,2,1,0,1,0,15.6
True,2022-11-25,18,18,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,2010,7,16,4,9,0,0,0,2,2,3,0,1,2,12.8
True,2022-11-26,19,3,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,2327,7,10,3,5,2,2,0,5,2,0,0,1,0,16.7
True,2022-11-28,9,-4,LOS ANGELES LAKERS,HOME,INDIANA PACERS,LOSS,1317,4,9,1,5,0,0,2,2,2,0,0,1,3,5.5
True,2022-12-02,14,-3,LOS ANGELES LAKERS,AWAY,MILWAUKEE BUCKS,WIN,2015,4,10,2,5,4,4,0,2,0,0,1,0,1,9.5
True,2022-12-04,20,10,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,WIN,1490,7,10,4,4,2,2,0,2,1,1,0,0,1,17.7
True,2022-12-06,7,-15,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,1475,3,10,0,5,1,1,0,1,3,0,0,0,1,3.2
True,2022-12-07,12,-37,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,1532,5,16,2,7,0,0,0,3,0,0,0,1,2,1.9
True,2022-12-09,15,-6,LOS ANGELES LAKERS,AWAY,PHILADELPHIA 76ERS,LOSS,1974,6,11,3,5,0,0,0,3,0,0,1,3,0,8.3
True,2022-12-11,18,2,LOS ANGELES LAKERS,AWAY,DETROIT PISTONS,WIN,1790,7,10,4,6,0,0,0,2,0,1,0,0,3,14.2
True,2022-12-13,7,-18,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,LOSS,1408,3,6,1,1,0,1,1,2,0,0,0,1,0,3.9
True,2022-12-16,3,-15,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,1188,1,7,1,6,0,0,0,1,1,0,0,1,2,-2.3
True,2022-12-18,21,-6,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,2066,7,12,2,4,5,5,0,3,1,1,0,0,3,16.8
True,2022-12-19,16,-12,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,1811,5,13,3,6,3,3,1,3,2,1,1,0,3,12.4
True,2022-12-21,19,-15,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,2185,6,13,3,6,4,4,0,5,1,2,1,2,3,14.0
