active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,18,18,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,WIN,2339,7,14,3,8,1,2,2,9,1,1,1,0,1,16.7
True,2022-10-21,8,22,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,WIN,1862,3,11,0,3,2,4,4,5,3,1,3,1,1,8.8
True,2022-10-22,8,-10,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,1247,2,4,1,3,3,3,2,4,0,0,0,2,5,4.6
True,2022-10-24,17,17,MEMPHIS GRIZZLIES,HOME,BROOKLYN NETS,WIN,1944,6,8,2,4,3,3,2,2,0,1,1,0,1,17.1
True,2022-10-27,4,1,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,1793,2,6,0,4,0,0,0,2,1,2,2,0,4,3.7
True,2022-10-29,10,-10,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,1774,4,8,0,1,2,3,0,3,1,0,0,2,5,3.2
True,2022-10-31,3,3,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,1421,1,7,0,1,1,2,4,4,1,0,1,0,3,2.3
True,2022-11-02,11,0,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,1739,4,8,2,4,1,2,3,4,0,0,2,0,3,10.1
True,2022-11-04,12,19,MEMPHIS GRIZZLIES,HOME,CHARLOTTE HORNETS,WIN,1261,5,9,2,5,0,0,1,4,1,1,2,2,2,9.9
True,2022-11-06,4,6,MEMPHIS GRIZZLIES,HOME,WASHINGTON WIZARDS,WIN,1614,2,9,0,4,0,1,0,10,2,3,0,0,3,4.3
True,2022-11-07,8,-16,MEMPHIS GRIZZLIES,HOME,BOSTON CELTICS,LOSS,1109,3,7,2,6,0,0,1,0,0,0,0,0,1,4.6
True,2022-11-09,7,7,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,WIN,1379,3,5,1,2,0,0,4,3,1,1,1,0,2,10.0
True,2022-11-11,12,10,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,WIN,2060,5,7,1,2,1,2,1,6,0,2,1,1,3,11.7
True,2022-11-13,15,3,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,1724,6,11,3,4,0,0,2,5,2,1,3,2,5,13.1
True,2022-11-15,8,-2,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS PELICANS,LOSS,1492,3,6,1,3,1,2,1,6,1,1,0,0,3,7.6
True,2022-11-18,15,2,MEMPHIS GRIZZLIES,HOME,OKLAHOMA CITY THUNDER,WIN,1386,4,9,3,7,4,4,2,5,1,0,0,0,1,13.5
True,2022-11-20,8,-13,MEMPHIS GRIZZLIES,AWAY,BROOKLYN NETS,LOSS,1266,2,7,1,4,3,4,0,3,1,1,0,0,1,5.7
True,2022-11-22,7,-18,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,LOSS,983,3,9,1,4,0,0,1,1,2,3,1,0,3,6.8
True,2022-11-27,7,4,MEMPHIS GRIZZLIES,AWAY,NEW YORK KNICKS,WIN,1062,3,7,1,3,0,0,1,3,1,0,0,1,3,3.4
True,2022-11-30,4,-14,MEMPHIS GRIZZLIES,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1013,2,5,0,1,0,0,2,1,2,0,0,1,4,1.8
True,2022-12-02,13,10,MEMPHIS GRIZZLIES,HOME,PHILADELPHIA 76ERS,WIN,1308,3,6,2,5,5,6,1,4,3,0,3,1,1,14.3
True,2022-12-04,5,5,MEMPHIS GRIZZLIES,AWAY,DETROIT PISTONS,WIN,1091,2,5,1,3,0,0,1,6,5,0,2,1,3,7.5
True,2022-12-05,18,6,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,WIN,2017,8,12,2,5,0,0,0,10,2,1,1,0,3,17.7
True,2022-12-07,14,9,MEMPHIS GRIZZLIES,HOME,OKLAHOMA CITY THUNDER,WIN,1335,5,8,2,4,2,2,1,4,3,1,0,1,3,13.2
True,2022-12-09,9,4,MEMPHIS GRIZZLIES,HOME,DETROIT PISTONS,WIN,1103,2,4,2,3,3,4,2,3,0,2,0,0,1,10.5
True,2022-12-12,16,5,MEMPHIS GRIZZLIES,HOME,ATLANTA HAWKS,WIN,1237,4,8,2,5,6,7,0,5,2,0,0,1,1,13.1
True,2022-12-15,14,28,MEMPHIS GRIZZLIES,HOME,MILWAUKEE BUCKS,WIN,1615,4,6,2,3,4,5,0,3,1,1,0,1,2,11.8
True,2022-12-17,7,0,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,LOSS,1001,1,5,0,2,5,5,1,4,1,0,1,0,1,6.8
True,2022-12-20,6,-4,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,843,3,4,0,1,0,0,0,3,1,1,0,1,3,4.8
True,2022-12-23,10,3,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,WIN,1211,4,7,2,2,0,2,1,3,1,0,2,0,2,8.8
True,2022-12-25,9,-8,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,1247,3,7,3,6,0,2,0,2,2,0,1,1,2,5.4
True,2022-12-27,3,-24,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,LOSS,884,1,1,1,1,0,0,0,0,0,0,1,0,0,3.4
True,2022-12-29,6,3,MEMPHIS GRIZZLIES,AWAY,TORONTO RAPTORS,WIN,818,2,6,1,3,1,2,1,4,1,0,0,1,1,3.4
True,2023-01-04,8,17,MEMPHIS GRIZZLIES,AWAY,CHARLOTTE HORNETS,WIN,1211,3,6,0,3,2,2,0,3,2,0,1,0,1,7.6
True,2023-01-05,0,-10,MEMPHIS GRIZZLIES,AWAY,ORLANDO MAGIC,WIN,780,0,4,0,4,0,0,0,2,1,0,0,2,3,-4.7
True,2023-01-08,12,10,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,WIN,1039,5,10,2,4,0,0,4,1,2,0,1,0,1,11.8
True,2023-01-09,13,12,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,WIN,1067,5,5,1,1,2,2,0,3,0,2,0,1,1,13.0
True,2023-01-11,7,11,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,WIN,1366,2,4,2,2,1,2,0,5,0,0,1,1,0,5.8
True,2023-01-14,17,-14,MEMPHIS GRIZZLIES,AWAY,INDIANA PACERS,WIN,1566,6,9,1,4,4,6,1,3,1,2,0,0,1,16.2
True,2023-01-16,6,0,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,WIN,1345,2,6,2,5,0,0,1,4,1,0,0,2,2,2.4
True,2023-01-18,16,-8,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,WIN,1171,6,8,4,6,0,0,0,2,0,1,1,1,1,13.7
True,2023-01-20,4,3,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,899,1,4,0,2,2,4,2,3,0,1,0,1,1,2.7
True,2023-01-22,0,-22,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,711,0,3,0,3,0,0,0,1,2,1,0,2,2,-2.2
True,2023-01-23,8,-14,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,858,2,5,2,5,2,3,0,0,2,0,0,0,1,5.9
True,2023-01-25,13,2,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,1233,5,5,2,2,1,2,1,2,0,0,0,0,2,11.6
True,2023-01-27,5,-3,MEMPHIS GRIZZLIES,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1114,2,9,1,6,0,0,0,4,1,0,0,1,0,0.4
True,2023-01-29,2,4,MEMPHIS GRIZZLIES,HOME,INDIANA PACERS,WIN,912,0,1,0,1,2,2,1,2,2,1,0,0,1,4.6
True,2023-02-01,10,-15,MEMPHIS GRIZZLIES,HOME,PORTLAND TRAIL BLAZERS,LOSS,1052,5,7,0,2,0,0,0,2,0,0,0,0,0,7.7
True,2023-02-02,21,-4,MEMPHIS GRIZZLIES,AWAY,CLEVELAND CAVALIERS,LOSS,2039,7,15,4,7,3,3,0,10,1,1,0,3,3,13.8
True,2023-02-05,15,5,MEMPHIS GRIZZLIES,HOME,TORONTO RAPTORS,LOSS,1921,5,11,2,8,3,3,0,6,4,0,2,3,0,12.3
True,2023-02-07,5,-1,MEMPHIS GRIZZLIES,HOME,CHICAGO BULLS,WIN,1010,2,6,1,4,0,0,2,3,1,1,1,1,2,4.5
True,2023-02-10,18,4,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,WIN,1219,6,8,3,5,3,4,1,3,0,0,0,0,0,16.0
True,2023-02-12,9,-17,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,LOSS,1650,2,11,2,9,3,3,0,7,1,1,2,2,2,4.5
True,2023-02-15,10,18,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,WIN,1284,4,8,2,2,0,0,2,1,2,2,0,0,0,11.1
True,2023-02-23,6,6,MEMPHIS GRIZZLIES,AWAY,PHILADELPHIA 76ERS,LOSS,910,2,5,0,3,2,4,0,0,1,0,1,0,5,1.9
True,2023-02-25,5,14,MEMPHIS GRIZZLIES,HOME,DENVER NUGGETS,WIN,1370,2,6,1,5,0,0,2,4,1,2,0,1,2,5.1
True,2023-02-28,6,14,MEMPHIS GRIZZLIES,HOME,LOS ANGELES LAKERS,WIN,927,3,7,0,2,0,0,1,2,1,0,0,0,0,4.3
True,2023-03-01,9,-11,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,WIN,1249,4,6,1,1,0,0,0,5,1,0,1,0,1,8.9
True,2023-03-03,1,-14,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,1407,0,4,0,3,1,2,0,4,2,0,1,2,3,-2.1
True,2023-03-05,9,-13,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,1180,4,8,1,3,0,1,0,0,0,0,0,0,3,3.4
True,2023-03-07,11,0,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,1588,4,8,2,4,1,2,0,5,1,0,1,1,5,6.5
True,2023-03-09,15,16,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,1773,5,9,3,5,2,2,2,5,1,0,0,1,0,13.3
