active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,16,13,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,WIN,2248,6,22,3,13,1,2,0,4,6,0,1,2,3,5.5
True,2022-10-21,14,2,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,WIN,1995,3,16,3,10,5,5,2,4,7,2,0,3,2,9.7
True,2022-10-22,14,-8,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,1635,4,11,2,5,4,4,0,5,4,1,0,1,2,11.4
True,2022-10-24,38,18,MEMPHIS GRIZZLIES,HOME,BROOKLYN NETS,WIN,1924,14,21,8,11,2,3,0,1,7,1,1,1,5,32.4
True,2022-10-27,31,13,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,1999,11,18,6,8,3,4,1,5,4,0,0,1,2,25.6
True,2022-10-29,32,-8,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,2069,11,23,3,9,7,8,0,6,2,1,1,5,2,19.0
True,2022-11-02,29,6,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,2209,7,16,5,8,10,11,1,7,5,0,0,3,1,23.1
True,2022-11-04,19,29,MEMPHIS GRIZZLIES,HOME,CHARLOTTE HORNETS,WIN,1461,8,16,3,7,0,0,1,5,2,0,0,3,3,10.4
True,2022-11-06,28,-1,MEMPHIS GRIZZLIES,HOME,WASHINGTON WIZARDS,WIN,2121,9,16,4,8,6,6,0,3,4,1,0,1,1,23.7
True,2022-11-07,19,-6,MEMPHIS GRIZZLIES,HOME,BOSTON CELTICS,LOSS,2128,7,15,2,6,3,3,0,5,5,0,0,1,3,14.1
True,2022-11-09,32,6,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,WIN,2365,12,23,5,10,3,3,1,5,6,0,0,2,2,24.3
True,2022-11-11,24,12,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,WIN,1996,7,16,2,7,8,8,0,3,5,1,0,4,3,15.8
True,2022-12-23,17,8,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,WIN,1461,4,13,2,8,7,7,0,3,2,1,0,1,4,10.2
True,2022-12-25,9,-14,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,1465,2,13,0,7,5,6,0,3,0,0,1,0,3,0.7
True,2022-12-27,14,0,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,LOSS,1644,4,12,0,4,6,6,0,2,0,0,0,2,2,5.0
True,2022-12-29,16,5,MEMPHIS GRIZZLIES,AWAY,TORONTO RAPTORS,WIN,1712,6,13,3,7,1,1,1,4,4,2,0,1,6,12.6
True,2022-12-31,18,8,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,1683,7,19,1,6,3,3,2,5,0,1,1,3,2,8.3
True,2023-01-04,19,24,MEMPHIS GRIZZLIES,AWAY,CHARLOTTE HORNETS,WIN,1567,8,16,2,6,1,2,0,11,4,1,0,2,3,14.5
True,2023-01-08,24,-3,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,WIN,1844,8,18,4,7,4,6,1,5,9,2,1,3,0,22.0
